listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-17T01:05:39	Used	Wyvern Lingo	IEJZY1400005	6QaBosEz0XcT3YuMYeTI1y	7etzKNDxaZ1LefgbGrexsN
2022-05-17T01:01:18	I Don't Really Care for You	CMAT	QZFZ32198616	4CQv2F0m8ssGBVq7v8uBGu	3VBNIRx1LxVdRqOiPgkLwv
2022-05-16T19:59:19	Oh My God	Kevin Morby	USJ5G1919101	2KG4bwNut6K8wrD64QaKuE	6fxk3UXHTFYET8qCT9WlBF
2022-05-16T17:17:37	Crane Song	TOLEDO	GBKPL1897138	3BoOBdUyLxJWRtFKPptsnb	2xK3hBpuuHSxmHr96TzgDO
2022-05-16T17:12:48	For the Time Being	Erlend Øye, La Comitiva	DEKM51906003	0i8nJx8tsHfRMGHDvNmNXM	12AnGvqOxseM5VJLyO5yBs,6qfxmAre9eFDUWxAip06yh
2022-05-16T17:07:43	La Meg	Okay Kaya	QM24S1812547	1TenYwHUfKq18hSfcbc2Rj	7d64ZVOXg02y73HB5UMqkb
2022-05-16T17:04:48	Ikywc	Myles Morgan	QZES92051014	41cyH6sKVThj5AtcLPrkbS	7KPw4tKwK8ONgnrmduQiZf
2022-05-16T16:31:08	Man On The Wire	Max Pope	GB2DY1900143	7jZYksBm8gohw34n6wm9Ae	1pW42WHCsBicnNoBkcbD7i
2022-05-16T16:27:02	For You	Laura Marling	UKKP22000155	4439aAX3jNkNKx1ygUr9WC	7B2edU3Q7btJoNsoHCNohM
2022-05-16T16:23:05	Postmodern Girl	jeremy messersmith	USYAH1700207	6KDKqDAi5e9pmb68tfOe7E	7ifrN0oUJbWF1EhktyTKte
2022-05-16T16:19:25	My Love	Bahamas	USUG11702221	44DNg8OmuNKSDkccspGCIP	4C50EbCS11M0VbGyH3OfLt
2022-05-16T16:15:57	Call It Fate, Call It Karma	The Strokes	USRC11300085	3Y4rUyw7XBCK6hGHCOt6rp	0epOFNiUfyON9EYx7Tpr6V
2022-05-16T13:48:03	Call It Fate, Call It Karma	The Strokes	USRC11300085	3Y4rUyw7XBCK6hGHCOt6rp	0epOFNiUfyON9EYx7Tpr6V
2022-05-16T13:45:29	Surf	Eleni Drake	UK4MC2100201	38mD8iwHVr0zmbTifQdL1E	2y7pPMQioLwMFUKhK9Pyow
2022-05-16T13:41:15	Volta	O Terno	BR73M1600007	4Qq8rERaPWkDuZsvSWR9LL	2TuVzZPwEPqpstqmA0qLl6
2022-05-16T13:37:31	Dream Cave	Cloud Control	AULI01387060	19i39VkE2HdfiHLvGKS0xJ	5DCtsJfyBEzvZ9qN7jSA6j
2022-05-16T13:31:25	Pamplemousse	Flavien Berger	FR2FD1800014	4zA4VYiM01ClfpT5a47CAh	5PyU5aVBI66v0pkCIvEJfu
2022-05-16T13:26:49	Feito Fumaça	Obinrin Trio, Ju Strassacapa	BX7LQ2000004	2WmQKaMmgbvVASSYNlcnd1	7vnpP7uPPqCGiS6PrIap7R,1k3OzqzWVyCPRmwcKPpXWH
2022-05-16T13:22:08	Vitamin T	KERA	TCAEH1934059	60pNex83TSOAjoYxkhW4QE	0ZLjlul3kXdLihVJqJn0PR
2022-05-16T13:18:58	Lucy	Yenkee	QZK6N1961387	4RiI45Iahn7FkK4DFJFgIW	505IK3HblsNtDKDac0Dedd
2022-05-16T13:15:11	She Dances	Billie Marten	GBARL1900009	72655YyFEnLXG54FC6tCtT	02YLJJnWC7YQVixkjEBRn7
2022-05-16T13:10:27	Kingston	Faye Webster	US38W1837601	5WbfFTuIldjL9x7W6y5l7R	5szilpXHcwOqnyKLqGco5j
