listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-18T22:09:51	Six Feet Under - Aire Atlantica Remix	Billie Eilish, Aire Atlantica	USUM71700466	75WGjm9867pcRxGwiLRwK8	6qqNVTkY8uBg9cP3Jd7DAH,6Ta9RS3a6sLulTlM4FWY5K
2022-05-17T21:24:11	lovely (with Khalid)	Billie Eilish, Khalid	USUM71804190	0u2P5u6lvoDfwTYjAADbn4	6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny
2022-05-17T21:03:41	Happier Than Ever	Billie Eilish	USUM72105936	4RVwu0g32PAqgUiJoXsdF8	6qqNVTkY8uBg9cP3Jd7DAH
2022-05-17T20:58:16	Sinners Hymn	Orianthi	ITG272000951	7dUaX05uxCNK5lC3329O0E	0yNy8fi1yBBq526E6mx4Zs
2022-05-17T20:47:50	Beautiful Way	You Me At Six	GBKPL2018245	2xhpnTyhinktiHD3JFdZOC	1kNQXvepPjaPgUfeDAF2h6
2022-05-17T20:42:39	Everything	Nine Inch Nails	USQX91301307	1pK48aPFvfveHf8Ozl9Rms	0X380XXQSNBYuleKzav5UO
2022-05-17T20:39:20	Superblood Wolfmoon	Pearl Jam	USUG11904400	2PETsovNFRjQOSMWj8gNii	1w5Kfo2jwwIPruYS2UWh56
2022-05-17T19:59:21	Six Feet Under - BLU J Remix	Billie Eilish, BLU J	USUM71700465	4D5sitThGoz0RnMsFdFUuz	6qqNVTkY8uBg9cP3Jd7DAH,0bI3VA9gVcpoOzrklKgG7V
2022-05-17T19:55:46	Six Feet Under - Jerry Folk Remix	Billie Eilish, Jerry Folk	USUM71700468	58nxGpcCfNDiqmFXklOslz	6qqNVTkY8uBg9cP3Jd7DAH,356FCJoyYWyzONni54Dgrv
2022-05-17T19:52:27	Ocean Eyes - GOLDHOUSE Remix	Billie Eilish, GOLDHOUSE	TCACL1637941	1JbuC7uZm0P1PyX7N7gDEM	6qqNVTkY8uBg9cP3Jd7DAH,670UISOh9XV1zlq5z5IfoY
2022-05-17T19:48:22	COPYCAT - Sofi Tukker Remix	Billie Eilish, Sofi Tukker	USUM71713025	2njUxZ4151DWIrfIK3loFj	6qqNVTkY8uBg9cP3Jd7DAH,586uxXMyD5ObPuzjtrzO1Q
2022-05-17T19:45:02	Ocean Eyes - Astronomyy Remix	Billie Eilish, Astronomyy	TCACL1611532	6NOq79ynBpBi6BSJMdgReN	6qqNVTkY8uBg9cP3Jd7DAH,3EpmmPtV7DduqNmeqaADIm
