listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-18T09:32:08	Lily - Slowed Remix	Alan Walker, K-391, Emelie Hollow	NOG841813150	1f267tvmtdQTr7oJcV4Vpq	7vk5e3vY1uw9plTHJAMwjN,6pWcSL9wSJZQ9ne0TnhdWr,61pvU6ZLOF3bl0IOtbmME7
2022-07-18T09:24:43	Heaven Takes You Home (feat. Connie Constance) - Extended Mix	Swedish House Mafia, Connie Constance	USUG12205337	6GGYu7crGYv0Rl2PKKtr3Y	1h6Cn3P4NGzXbaXidqURXs,4RB2kk5dmocmMiHFBlmOEt
2022-07-18T09:20:24	One More Time	Armin van Buuren, Maia Wright	NLF712204414	1lXyxleB814ehGUXzsWNXu	0SfsnGyD8FpIN4U4WCkBZ5,5qQFXHDOeYjiZVrCUO56Pk
2022-07-18T09:17:00	Hate It Or Love It	The Game, 50 Cent	USIR10401121	2wGSgTmgSF3xjRrHkTc25R	0NbfKEOTQCcwd6o7wSDOHI,3q7HBObVc0L8jNeTe5Gofh
2022-07-18T09:08:31	Santé	Stromae	BET672100001	3vXnuFnC5RhPGwsFi0ORcI	5j4HeCoUlzhfWtjAfM1acR
2022-07-18T08:59:57	American Idiot	Green Day	USRE10400888	6nTiIhLmQ3FWhvrGafw2zj	7oPftvlwr6VrsViSDV7fJY
2022-07-18T08:57:03	Holiday / Boulevard of Broken Dreams	Green Day	USRE10401218	0HJRAM7Gt9jXskuXjZeFX3	7oPftvlwr6VrsViSDV7fJY
2022-07-15T21:49:47	Holiday / Boulevard of Broken Dreams	Green Day	USRE10401218	0HJRAM7Gt9jXskuXjZeFX3	7oPftvlwr6VrsViSDV7fJY
2022-07-15T21:41:34	PMA (feat. Pale Waves)	All Time Low, Pale Waves	USAT22103782	52BHuLFKoBemaQ1oOPFhFZ	46gyXjRIvN1NL1eCB8GBxo,0wOej91SVqB1zcYkW6xUtA
2022-07-15T21:38:26	Yolo	GIMS	FR8FB2007100	2u4IJKewUvcJ9B6Wng92PI	0GOx72r5AAEKRGQFn3xqXK
2022-07-15T21:35:10	Overpass Graffiti	Ed Sheeran	GBAHS2100673	4btFHqumCO31GksfuBLLv3	6eUKZXaKkcviH0Ku9w2n3V
2022-07-15T21:31:17	Prends ma main	GIMS, Vitaa	FR8FB2122200	32mh68dSJquytIBqAHzjxW	0GOx72r5AAEKRGQFn3xqXK,0Ntl0oWMPWfBOoi9Qcr9ht
2022-07-15T21:28:04	Mood Ring	Lorde	NZUM72100187	7rb4dcBfW0m1LQQcDCh4Hv	163tK9Wjr9P9DmM0AVK7lm
2022-07-15T21:24:21	Stargazing	The Neighbourhood	USSM12006844	0VF7YLIxSQKyNiFL3X6MmN	77SW9BnxLY8rJ0RciFqkHh
2022-07-15T21:20:47	Lost in Translation	The Neighbourhood	USSM12003768	7CUk9X9Qy2nGCNrHVkddiJ	77SW9BnxLY8rJ0RciFqkHh
2022-07-15T21:17:40	Ayo Technology	50 Cent, Justin Timberlake, Timbaland	USUM70735445	6kfQDanT6Buh4Wu73ghbav	3q7HBObVc0L8jNeTe5Gofh,31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ
2022-07-15T21:13:34	She Doesn't Mind	Sean Paul	USAT21102329	4odiyU3myG29Ld0wurMfE8	3Isy6kedDrgPYoTS1dazA9
2022-07-15T21:09:02	Stereo Love	Edward Maya, Vika Jigulina	ROCMA0901578	0gBfLS4aqbrr1ZvVv8dqWB	6XwwFnewNgWp81MYMK8zLq,34dZRjYum6vVBGslgYaBtB
2022-07-15T20:56:53	Heaven Takes You Home (feat. Connie Constance)	Swedish House Mafia, Connie Constance	USUG12202132	3nEHrvNNtgLv9rneTAYVr4	1h6Cn3P4NGzXbaXidqURXs,4RB2kk5dmocmMiHFBlmOEt
2022-07-15T20:52:21	Somebody Like U	Alan Walker, Au/Ra	NOG842207010	2uDyv5rw4333xY5obTeByt	7vk5e3vY1uw9plTHJAMwjN,1eMmoIprPDWeFdB1FxU6ZV
2022-07-15T20:49:14	Demain c'est loin	Nej, Vegedream	FR9KT2100440	5d1pa5SEouUZdmV6Yw40Zv	3BQ9mWlgFRfMr5EdNfc10a,4eYnorQRhVHT2KBl2UyHHd
