listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-20T18:53:00	We No Speak Americano	Yolanda Be Cool, DCup	AUCN30901316	0CJ1quCQhVX9Ax2jYwwovA	4KkHjCe8ouh8C2P9LPoD4F,6OkVmXCnj1BPjTf5aihiwt
2022-05-20T18:48:34	No Beef (feat. Miss Palmer) - Vocal Mix	Afrojack, Steve Aoki, Miss Palmer	NLC281110017	1CZyEpQeKPWp9Eeq4ppzyR	4D75GcNG95ebPtNvoNVXhz,77AiFEVeAVj2ORpC85QVJs,2Vd2ZmSFVZ9LEwHeJ8vf7U
2022-05-20T18:42:36	Calling (Lose My Mind) - Radio Edit	Sebastian Ingrosso, Alesso, Ryan Tedder	GBJ4B1200056	1trC8L8YpawkU553ymy2zC	6hyMWrxGBsOx6sWcVj1DqP,4AVFqumd2ogHFlRbKIjp1t,4we5S2VLjgY9KzIzApL1KI
2022-05-20T18:39:14	Bad (feat. Vassy) - Radio Edit	David Guetta, Showtek, VASSY	GB28K1400007	6eIacmhkE82vZlMDnGS7aP	1Cs0zKBU1kc0i8ypK3B9ai,3gk0OYeLFWYupGFRHqLSR7,7HqEmV7FeCi16bQyHMpIrF
2022-05-20T18:36:27	You Make Me Feel... (feat. Sabi)	Cobra Starship, Sabi	USAT21100959	5FeuH4LtGxDWkSkhRG47QT	2aYJ5LAta2ScCdfLhKgZOY,3tB8VKd0rtEnc9x8l78ymo
2022-05-20T18:32:55	Love Don't Let Me Go	David Guetta	FRZID0100200	0mIAWTIXUP9Os5RBXKclO6	1Cs0zKBU1kc0i8ypK3B9ai
2022-05-20T18:29:22	I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit	Avicii, Nicky Romero	SEUM71201601	1sh6lL6cmlcwhqZKGiKBua	1vCWHaC5f2uS3yhpwWbIA6,5ChF3i92IPZHduM7jN3dpg
2022-05-20T18:25:57	Only Girl (In The World)	Rihanna	USUM71023200	2ENexcMEMsYk0rVJigVD3i	5pKCCKE2ajJHZ9KAiaK11H
2022-05-20T18:22:06	I Don't Know Why	KVSH, Mojjo	RUA491902416	1BRHm6OheXBddJuOT3laxX	2uGKgNuq7MnKksXiSO6HjB,6AVyGjQ7gNzSkGlBldHS1j
2022-05-20T18:18:44	I Gotta Feeling	Black Eyed Peas	USUM70965169	4kLLWz7srcuLKA7Et40PQR	1yxSLGMDHlW21z4YXirZDS
