listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-22T21:46:03	Fear Inoculum	TOOL	USRC11902032	39zWYYZStDgWi32sOU9AX4	2yEwvVSSSUkcLeSTNyHKh8
2022-06-22T21:14:09	Pneuma	TOOL	USRC11902033	03sEzk1VyrUZSgyhoQR0LZ	2yEwvVSSSUkcLeSTNyHKh8
2022-06-22T13:42:44	Fear Inoculum	TOOL	USRC11902032	39zWYYZStDgWi32sOU9AX4	2yEwvVSSSUkcLeSTNyHKh8
2022-06-22T10:40:43	Fear Inoculum	TOOL	USRC11902032	39zWYYZStDgWi32sOU9AX4	2yEwvVSSSUkcLeSTNyHKh8
2022-06-22T09:59:50	Junkhead	Alice In Chains	USSM19200804	1mvEbRAlocvkJvqZIj3zHu	64tNsm6TnZe2zpcMVMOoHL
2022-06-21T19:13:25	Junkhead	Alice In Chains	USSM19200804	1mvEbRAlocvkJvqZIj3zHu	64tNsm6TnZe2zpcMVMOoHL
2022-06-21T17:23:41	Prison	Unknown T	GBUM72001876	6r8gO6Fx07frt2K33dYzu4	3iAhNz3e31lBuXYOsqGsf3
2022-06-21T16:40:59	Next Up - S4-E2, Pt. 1	JBee, Mixtape Madness	USA2P2204409	5wwPdWKbDEiybmWkZqsGGn	3LIh5lV3zpZkgmO0K6R6bq,4ocdD0Bi1syVqLs1GiHqQ9
2022-06-21T16:37:13	Stranger Things Have Happened	Foo Fighters	USRW30700012	7zaZlzl0XhthNwH3GQcyZ0	7jy3rLJdDQY21OgRLCZ9sD
2022-06-21T16:30:27	Cherub Rock - Remastered 2011	The Smashing Pumpkins	USVI21100146	0F2LiyHp9E0pAanpfnzHNp	40Yq4vzPs9VNUrIBG5Jr2i
2022-06-21T16:25:18	Fine Again	Seether	USWU30200015	4eTIe5eqds88bA9ua6p5p6	6B5c4sch27tWHAGdarpPaW
2022-06-21T16:21:14	Jungle	Jimi Hendrix	USQX91702589	4f5nUYzeUioPwNbz2mGx5S	776Uo845nYHJpNaStv1Ds4
2022-06-21T16:17:47	Junkhead	Alice In Chains	USSM19200804	1mvEbRAlocvkJvqZIj3zHu	64tNsm6TnZe2zpcMVMOoHL
2022-06-21T14:39:27	Fear Inoculum	TOOL	USRC11902032	39zWYYZStDgWi32sOU9AX4	2yEwvVSSSUkcLeSTNyHKh8
2022-06-21T12:21:37	Fear Inoculum	TOOL	USRC11902032	39zWYYZStDgWi32sOU9AX4	2yEwvVSSSUkcLeSTNyHKh8
2022-06-21T12:15:43	The Pot	TOOL	USVR10600023	1lATXTBJDHwawvT1UfxWu3	2yEwvVSSSUkcLeSTNyHKh8
2022-06-21T12:09:20	Man in the Box	Alice In Chains	USSM19000727	6gZVQvQZOFpzIy3HblJ20F	64tNsm6TnZe2zpcMVMOoHL
2022-06-21T12:04:34	The Unforgiven	Metallica	GBF089190016	4aYLAF6ckQ5ooGGGM7sWAa	2ye2Wgw4gimLv2eAKyk1NB
2022-06-21T11:58:07	Fine Again	Seether	USWU30200015	4eTIe5eqds88bA9ua6p5p6	6B5c4sch27tWHAGdarpPaW
2022-06-21T11:54:00	Jungle	Jimi Hendrix	USQX91702589	4f5nUYzeUioPwNbz2mGx5S	776Uo845nYHJpNaStv1Ds4
2022-06-21T11:50:31	Junkhead	Alice In Chains	USSM19200804	1mvEbRAlocvkJvqZIj3zHu	64tNsm6TnZe2zpcMVMOoHL
2022-06-21T10:26:41	Invincible	TOOL	USRC11902035	2xKDKtJBLDPd7BF3VmSQQO	2yEwvVSSSUkcLeSTNyHKh8
2022-06-21T10:08:39	Jungle	Jimi Hendrix	USQX91702589	4f5nUYzeUioPwNbz2mGx5S	776Uo845nYHJpNaStv1Ds4
2022-06-21T10:05:20	Junkhead	Alice In Chains	USSM19200804	1mvEbRAlocvkJvqZIj3zHu	64tNsm6TnZe2zpcMVMOoHL
