listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-15T18:57:15	Mexico	Ollie Joseph	NLQ8X1700033	359ixPKJ9UMNitRh9cTAR6	6BZKGQf9EnToQ6F7KdMd1m
2022-05-15T18:54:00	Cigarettes On Patios	BabyJake	USUM71904051	0LJDFZohBgWOMvXQw0cc9W	07Asx51VtMw5kbNXKrpZlq
2022-05-15T18:50:31	With My Homies	Two Friends, JUSCOVA, James Delaney	GBKPL1828411	4ZuZ0JMLbJ2ObQ3Zbe6vt1	44Ewva5aHOX00EwaX2D2mh,2cJUrSCzr8SfuP3P6N1O1X,28hRH6w71u9oXXZuAYBnFX
2022-05-15T18:47:22	If I Know Me	Morgan Wallen	QZ22S1800005	03d8S7FBY2kIzhP0E7l4rn	4oUHIQIBe0LHzYfvXNW4QM
2022-05-15T18:44:43	3am in Chicago	Brendan Bennett, Eddy Rock	TCADT1831509	4Uqva3pLS6FYEQSzxwUWnC	0lpU3HUAjN8AdjApUJ2ykI,2aIU0jOzhmc75mFgJYfPbz
2022-05-15T18:41:41	Take It Easy	Surfaces	QZJ841900238	5Pgq1Gfeth2CuUhyCXwlfC	4ETSs924pXMzjIeD6E9b4u
2022-05-15T18:38:07	How Can I Forget	MKTO	QMRSZ1801328	0ibG3XCJ32Qq9maUY4AViR	2l35CQqtYRh3d8ZIiBep4v
2022-05-15T18:35:09	Gucci Rock N Rolla (feat. Rivers Cuomo & KYLE)	Snakehips, Rivers Cuomo, KYLE	GBARL1801816	2VBYFWgwIlJjyzidPTHQqp	2FwJwEswyIUAljqgjNSHgP,4LAz9VRX8Nat9kvIzgkg2v,4qBgvVog0wzW75IQ48mU7v
2022-05-15T18:32:30	Lonely (with Jonas Brothers)	Diplo, Jonas Brothers	USSM11903345	6eXFl418w8hsxKcLgv1jwJ	5fMUXHkw8R8eOP2RNVYEZX,7gOdHgIoIKoe4i9Tta6qdD
2022-05-15T18:30:09	Making Luv To The Beat (feat. T.I. & DJ E-Feezy) - MERCE Remix	WATCH THE DUCK, T.I., DJ E-Feezy, MERCE	USDM31781101	5F1Sp7ZSrpGkEvYvSYrpJT	5pHc8cGF3alNcHJUx7bcaq,4OBJLual30L7gRl5UkeRcT,2MI9v4Ou3eiDZ1XvZgn5QP,2d4eIpB1YEmNsBrjFqnBI1
2022-05-15T18:25:59	Body	Loud Luxury, Brando	NLF711710457	21RzyxY3EFaxVy6K4RqaU9	6t1gpxYbY8OlLA7D2RiikQ,5uEeqYFuIChoWKy34jp8xE
2022-05-12T20:45:44	The City (with Quinn XCII)	Louis The Child, Quinn XCII	USUM71809382	5X3VpTYsESWoh80dMa60jd	7wg1qvie3KqDNQbAkTdbX0,3ApUX1o6oSz321MMECyIYd
2022-05-12T20:45:21	Honeypie	JAWNY	GBKPL1946902	6FfLg6FFqhCsrFOaHIGkg0	25pd339V2rRJo84USlcSRP
2022-05-12T20:43:05	Sunday Best	Surfaces	TCAEA1802695	1Cv1YLb4q0RzL6pybtaMLo	4ETSs924pXMzjIeD6E9b4u
2022-05-12T20:40:27	Body	Loud Luxury, Brando	NLF711710457	21RzyxY3EFaxVy6K4RqaU9	6t1gpxYbY8OlLA7D2RiikQ,5uEeqYFuIChoWKy34jp8xE
2022-05-12T20:37:13	Mood (feat. iann dior)	24kGoldn, iann dior	USQX92003025	4jPy3l0RUwlUI9T5XHBW2m	6fWVd57NKTalqvmjRd2t8Z,6ASri4ePR7RlsvIQgWPJpS
2022-05-12T20:35:06	Post Malone (feat. RANI)	Sam Feldt, RANI	NLZ541900734	36orMWv2PgvnzXsd5CJ0yL	20gsENnposVs2I4rQ5kvrf,3SYnDj7btg9gFY7ps8m5d5
2022-05-12T20:32:12	Shotgun (The Wild Remix)	George Ezra, The Wild	GBARL1800805	4W7B68ptUXQLym1oIiGuod	2ysnwxxNtSgbb9t1m2Ur4j,74lRkEloOvori8dZJjNEjd
2022-05-10T14:28:59	Shotgun (The Wild Remix)	George Ezra, The Wild	GBARL1800805	4W7B68ptUXQLym1oIiGuod	2ysnwxxNtSgbb9t1m2Ur4j,74lRkEloOvori8dZJjNEjd
2022-05-10T14:21:03	Good Time	Ocean Park Standoff	USHR11839025	7cPKQeCtGjRjoFVw6ub5rS	1qGohIp3a4kh1Euymx0pyL
2022-05-10T14:18:10	Blueberry Faygo	Lil Mosey	USUM72001714	22LAwLoDA5b4AaGSkg6bKW	5zctI4wO9XSKS8XwcnqEHk
2022-05-10T14:15:03	ROXANNE	Arizona Zervas	USSM11914320	696DnlkuDOXcMAnKlTgXXK	0vRvGUQVUjytro0xpb26bs
2022-05-08T14:52:02	ROXANNE	Arizona Zervas	USSM11914320	696DnlkuDOXcMAnKlTgXXK	0vRvGUQVUjytro0xpb26bs
2022-05-08T14:51:47	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone, Swae Lee	USUM71814888	0RiRZpuVRbi7oqRdSMwhQY	246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX
2022-05-08T14:49:09	Magic In The Hamptons (feat. Lil Yachty)	Social House, Lil Yachty	USUM71806833	2Yer0p7uB2lVBUAtANuuQp	5UjifI1TYefXWn9GdqDOHl,6icQOAFXDZKsumw3YXyusw
2022-05-08T14:46:25	Jackie Chan	Tiësto, Dzeko, Preme, Post Malone	CYA111800123	4vvnuJlgBeNVwq3TNmLMNX	2o5jDhtHVPhrJdv3cEQ99Z,5vQfv3s2Z2SRdPZKr82ABw,0bdJZl7TDeiymDYzMJnVh2,246dkjvS1zLTtiykXe5h60
2022-05-08T14:42:32	Honeypie	JAWNY	GBKPL1946902	6FfLg6FFqhCsrFOaHIGkg0	25pd339V2rRJo84USlcSRP
2022-05-08T14:40:17	Good Morning	Kanye West	USUM70749081	6MXXY2eiWkpDCezVCc0cMH	5K4W6rqBFWDnAN6FQUkS6x
2022-05-08T14:37:01	Believer	Imagine Dragons	USUM71700626	0pqnGHJpmpxLKifKRmU6WP	53XhwfbYqKCa1cC15pYq2q
2022-05-08T14:33:36	Body	Loud Luxury, Brando	NLF711710457	21RzyxY3EFaxVy6K4RqaU9	6t1gpxYbY8OlLA7D2RiikQ,5uEeqYFuIChoWKy34jp8xE
2022-05-08T14:30:22	Sunday Best	Surfaces	TCAEA1802695	1Cv1YLb4q0RzL6pybtaMLo	4ETSs924pXMzjIeD6E9b4u
2022-05-08T14:27:43	Sheesh!	Surfaces, Tai Verdes	QZJ842001135	3ddNKnYpVx0uI8vcwbTQ5Y	4ETSs924pXMzjIeD6E9b4u,2kCO8LXN1usaOPL3iEE28I
2022-05-04T10:14:57	Patient	Charlie Puth	USAT21702280	2ZrHbO88rM6Ijeg0aJmSzl	6VuMaDnrHyPL1p4EHjYLi7
2022-05-02T15:16:04	CANDY	ROSALÍA	USSM12109219	70AYiGbc4mWZGEqiipBBDb	7ltDVBr6mKbRvohxheJ9h1
