listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-05T00:03:28	Hate	Loyle Carner	GBUM72203001	0gYNMkxqYwKvUCvYfcRWLs	4oDjh8wNW5vDHyFRrDYC4k
2022-07-05T00:03:13	Só Uma Vibe (Prod. Twins) (feat. Carla Prata)	Dengaz, Carla Prata	PT8CM1800001	6r1dkC7q1PiAB21e6RKwSo	4nT1hsAySSK78ycor1bVn0,7vWp4MLdsECG1Dmu5NDLRS
2022-07-04T19:20:51	Mad (feat. Lil Wayne)	Solange, Lil Wayne	USSM11607809	22DHmfJa31hKpc2Lg0gVBV	2auiVi8sUZo17dLy1HwrTU,55Aa2cqylxrFIXC767Z865
2022-07-04T19:16:55	Brickmile To Montana	Boldy James, The Alchemist, Benny The Butcher	USUYG1382803	3ewqsanI2CJ3vwbP1fzQBE	4fpwOzxFRMVGfd197dKIdY,0eVyjRhzZKke2KFYTcDkeu,5Matrg5du62bXwer29cU5T
2022-07-04T19:14:14	BasicBitchTearGas	JPEGMAFIA	QZD5H1800115	2XEdf7cprB6FSURwzFdxMp	6yJ6QQ3Y5l0s0tn7b0arrO
2022-07-04T19:12:58	I Pray For You (feat. Labrinth & MALICE)	Pusha T, Malice, Clipse, Labrinth	USUM72203837	7HsG7U7aQhafXqa41dBxlK	0ONHkAv9pCAFxb0zJwDNTy,7LqDQrlQSwZ2XAv3rEd98V,2J257euzcjnDLipsyJH3F2,2feDdbD5araYcm6JhFHHw7
2022-07-04T19:08:35	Quero o Mundo	NGA	ES71G2052097	1UiozcYfTcTGBzs89HhsBO	3ONLrDrnWMglipr2yWeg7s
2022-07-04T19:03:44	Tamadar	Kappa Jotta	PT6GV2200001	7MSZgiH3L0qyiqUcAsM4P5	2MREhFiavCOZXs0thPLuWu
2022-07-04T19:00:58	NR5	Sippinpurpp	PTBM12100039	6IAVU9psKD2kJ2bGg4Vemp	6ngR2kHxjibH7bdDUBqL3z
2022-07-04T18:57:11	Please Do Not Lean (feat. BADBADNOTGOOD)	Daniel Caesar, BADBADNOTGOOD	USUG12202503	5uXO1sjZ7VbNKexKaFRna3	20wkVLutqVOYrc0kxFs7rA,65dGLGjkw3UbddUg2GKQoZ
2022-07-04T18:53:09	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T18:48:46	LA COMBI VERSACE (feat. Tokischa)	ROSALÍA, Tokischa	USSM12109231	5gCNf9wMVrYuM2fvfgLTlF	7ltDVBr6mKbRvohxheJ9h1,2p4aN0Uxkk3iT3HK0cJ2cJ
2022-07-04T18:46:05	Assassino	Mirai	PTUM72200135	78CpoadoaXB6mcIDX5JXLk	343oeu5WwCY3D2d4OLN5FC
2022-07-04T18:42:30	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-04T18:39:57	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T18:03:57	Calcanhar	GROGNation	PT7GV2200001	2QtcUDaXtpIDcp9WCt2Cfi	1rtrFjartQj3xws8TZ1dXu
2022-07-04T18:00:14	Assassino	Mirai	PTUM72200135	78CpoadoaXB6mcIDX5JXLk	343oeu5WwCY3D2d4OLN5FC
2022-07-04T17:56:41	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T13:01:20	Juventus	Kaps	PT4GT2200001	1IPYFY0PNMUeSLNXM2vcnZ	3LHoFLdOjSILRX0fMvfrjT
2022-07-04T12:58:48	True Love	Kanye West, XXXTENTACION	USQX92202485	06JvOZ39sK8D8SqiqfaxDU	5K4W6rqBFWDnAN6FQUkS6x,15UsOTVnJzReFVN1VCnxy4
2022-07-04T12:56:19	Papaia	Dillaz	PT5HT2200007	17MPtgaJHgr2WlJVyhA6kw	15p1isN7VcGsjeSq8s9YeP
2022-07-04T12:53:16	Popo	Julinho Ksd, Harley KSD	PT1II2200001	24QcmVdz7CwEYhohJxJ4EX	7kR1Yw4RqYhhDD3a8QRyG6,0AyoY8RFId4AqueSJvE99D
2022-07-04T12:49:56	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-07-04T12:45:36	5MINUTES	Extrazen, Lucy Val	ES71G2220775	4f96bCyt3UILSEJbfBUMqg	2PcroavCL0hrKcRgRUGa7O,5qRt6hfvseSt0Xn0V300vx
2022-07-04T12:42:27	Assassino	Mirai	PTUM72200135	78CpoadoaXB6mcIDX5JXLk	343oeu5WwCY3D2d4OLN5FC
2022-07-04T10:49:58	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-04T10:47:35	Assassino	Mirai	PTUM72200135	78CpoadoaXB6mcIDX5JXLk	343oeu5WwCY3D2d4OLN5FC
2022-07-04T09:59:56	Veni, Vidi, Vici	benji price, Mike El Nite	PTBM12200005	7zXIHI7Oo4ptoy6AyTgdTN	2XWfm5Ts8pvNzZMENVZ65I,2MPXfFQ72KWgQGUDXrnCwO
2022-07-04T09:55:45	Diva	Yuri NR5	PT2HG2200005	2v2tuqtW3N9U32LpG5or2p	0Dx6HmR7Rhi8G1osUOxAew
2022-07-04T09:52:08	Fermento	Mirai	PTUM72100663	5gK2DEq64erT5cZ0gMshrX	343oeu5WwCY3D2d4OLN5FC
2022-07-04T09:48:49	Assassino	Mirai	PTUM72200135	78CpoadoaXB6mcIDX5JXLk	343oeu5WwCY3D2d4OLN5FC
2022-07-04T09:21:37	Calcanhar	GROGNation	PT7GV2200001	2QtcUDaXtpIDcp9WCt2Cfi	1rtrFjartQj3xws8TZ1dXu
2022-07-04T09:17:54	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-04T09:15:20	Sombra (feat. Chyna)	Walez, Alley, Chyna	ES71G2058310	6L4NFioRgbHZFV4KRDIEpO	4WOReK4Hx25HlQlXVkhwt5,3UG1z27A3si5shq3Fg57Bt,3xytrTXgH7SQTEjMZewnWF
2022-07-04T09:09:26	Venham Mais 7	EU.CLIDES	PT2DY2200148	1TThW3zpCjFpucjqVfkr3k	74CsbgI3oYJcNJM3ealhBY
2022-07-04T09:06:29	Squad	Tom	ES71G1927707	5N9G8wNembjHIJnzfsutPT	12Yvr7qTRDCZaGP2vHqbM5
2022-07-04T09:03:25	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T01:50:35	ES7ÁDIO	Lhast, Rafaell Dior, T-Rex	QZDA82268751	430EuoJ6KwzO0fFuCwu6am	46uaNKR4GSjmDEK732EeVw,4G8d2H1R7P1rlGptL7Uzla,6QHREBOQktWsYBfrxW93rk
2022-07-04T01:48:52	NR5	Sippinpurpp	PTBM12100039	6IAVU9psKD2kJ2bGg4Vemp	6ngR2kHxjibH7bdDUBqL3z
2022-07-04T01:45:05	Transparente (feat. Milhanas)	9 Miller, jon., Milhanas	PT4IA2200005	3I6JMeMU9D4shndj3G4VGC	4yqP75Gm0jSMIS1gQ7s6lX,1FqCf6XWsq13JJXjiLhzLK,4NbHlXvmfisJ4e9tNkTqgC
2022-07-04T01:42:10	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T01:37:46	Where I Belong	Joey Bada$$	USQX92202956	1PwY8OpvFFt7CmnpnPAw7O	2P5sC9cVZDToPxyomzF1UH
2022-07-04T01:34:38	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-04T01:32:16	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-04T01:25:40	DISTÂNCIA	T-Rex	PT2JP2200016	1NpIxgz5LrqKrB7FaIQ1bm	6QHREBOQktWsYBfrxW93rk
2022-07-04T01:22:32	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-04T01:19:44	Praça Onze	Wet Bed Gang	ES71G2223419	30WnHkBkq3vE8jJcNZ3RKr	5jfz7uWPwf03hdEewW8AI8
2022-07-03T19:00:49	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-03T00:58:38	DISTÂNCIA	T-Rex	PT2JP2200016	1NpIxgz5LrqKrB7FaIQ1bm	6QHREBOQktWsYBfrxW93rk
2022-07-03T00:58:35	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-07-03T00:54:15	Energy (feat. Mahalia)	Pa Salieu, Mahalia	GBAHT2001020	1KSz0dMTPwRq9OqLkNxcfd	290nCNEce1y6rfoJiO2rK7,16rCzZOMQX7P8Kmn5YKexI
2022-07-03T00:51:05	Same Old Ways	Ama Lou	USUM72120651	4kgKjHMIDWri9XHjyxSbpy	2tAqnHDAgnGtjnlzyoa38L
2022-07-03T00:48:22	Time Moves Slow	BADBADNOTGOOD, Samuel T. Herring	USD8D1634003	1IqF5PUDUnaykHLs0RWbDO	65dGLGjkw3UbddUg2GKQoZ,6K4I1MPd7m8IztUdtrF4YU
2022-07-03T00:42:06	NR5	Sippinpurpp	PTBM12100039	6IAVU9psKD2kJ2bGg4Vemp	6ngR2kHxjibH7bdDUBqL3z
2022-07-03T00:38:19	Floating	Richie Campbell	PT9AN2200003	6mzUqJRO5UzphWpk1en0sb	2swvbEAfN70ZFcQB4Y7MaS
2022-07-03T00:35:12	Where I Belong	Joey Bada$$	USQX92202956	1PwY8OpvFFt7CmnpnPAw7O	2P5sC9cVZDToPxyomzF1UH
2022-07-03T00:32:03	Por Enquanto	Plutonio	PT9EV2200015	5fjD0vHh9XRL6b657FWe9C	39HJXjH5hKcCzaU0g6mv8G
2022-07-03T00:27:06	Please Do Not Lean (feat. BADBADNOTGOOD)	Daniel Caesar, BADBADNOTGOOD	USUG12202503	5uXO1sjZ7VbNKexKaFRna3	20wkVLutqVOYrc0kxFs7rA,65dGLGjkw3UbddUg2GKQoZ
2022-07-03T00:23:04	Cash In Cash Out	Pharrell Williams, 21 Savage, Tyler, The Creator	USSM12202926	3S68RFe1lsdCdTMPIMJM3X	2RdwBSPQiwcmiDo9kixcl8,1URnnhqYAYcrqrcwql10ft,4V8LLVI7PbaPR0K2TGSxFF
2022-07-03T00:19:27	papi bones (feat. shygirl)	FKA twigs, Shygirl	USAT22200030	5W2s4S60GoNsUthU51aUb8	6nB0iY1cjSY1KyhYyuIIKH,3M3wTTCDwicRubwMyHyEDy
2022-07-03T00:15:55	papi bones (feat. shygirl)	FKA twigs, Shygirl	USAT22200030	5W2s4S60GoNsUthU51aUb8	6nB0iY1cjSY1KyhYyuIIKH,3M3wTTCDwicRubwMyHyEDy
2022-07-03T00:15:50	Juventus	Kaps	PT4GT2200001	1IPYFY0PNMUeSLNXM2vcnZ	3LHoFLdOjSILRX0fMvfrjT
2022-07-03T00:13:18	Floating	Richie Campbell	PT9AN2200003	6mzUqJRO5UzphWpk1en0sb	2swvbEAfN70ZFcQB4Y7MaS
2022-07-03T00:10:11	WHEN SPARKS FLY	Vince Staples	USUM72202407	1jhdCONafFj1hzJsPvZx27	68kEuyFKyqrdQQLLsmiatm
2022-07-03T00:06:22	Count Me Out	Kendrick Lamar	USUM72208980	6BU1RZexmvJcBjgagVVt3M	2YZyLoL8N0Wb9xBt1NhZWg
2022-07-03T00:01:39	Papaia	Dillaz	PT5HT2200007	17MPtgaJHgr2WlJVyhA6kw	15p1isN7VcGsjeSq8s9YeP
2022-07-02T23:58:35	D.M.B.	A$AP Rocky	USRC12101600	7IBLt4Qarf4JDLxIQDv2O5	13ubrt8QOOCPljQ2FL1Kca
2022-07-02T23:53:43	NR5	Sippinpurpp	PTBM12100039	6IAVU9psKD2kJ2bGg4Vemp	6ngR2kHxjibH7bdDUBqL3z
2022-07-02T23:49:57	Pick Up Your Feelings	Jazmine Sullivan	USRC12003898	4k2cAUUPp3VZdK4gwG9pxy	7gSjFKpVmDgC2MMsnN8CYq
2022-07-02T23:46:07	Transparente (feat. Milhanas)	9 Miller, jon., Milhanas	PT4IA2200005	3I6JMeMU9D4shndj3G4VGC	4yqP75Gm0jSMIS1gQ7s6lX,1FqCf6XWsq13JJXjiLhzLK,4NbHlXvmfisJ4e9tNkTqgC
2022-07-02T23:43:11	Energy (feat. Mahalia)	Pa Salieu, Mahalia	GBAHT2001020	1KSz0dMTPwRq9OqLkNxcfd	290nCNEce1y6rfoJiO2rK7,16rCzZOMQX7P8Kmn5YKexI
2022-07-02T23:40:03	EUROPA (feat. Gson)	Mizzy Miles, Deejay Telio, Teto, Gson	PT6I22000001	5bBQI31u2eqXJE5OyP4hxq	0QoKkMC6uy7fUng96fab1I,7BWNRZyZ9mhgp5t0m7Ny0n,68YeXpLt3jB7JHQS5ZjMGo,6XjHGcba7ZbaZ6nYtwhaCj
2022-07-02T23:36:25	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-07-02T23:32:04	This Hell	Rina Sawayama	GBK3W2202198	6A6yKpsgFr4gIKd7gsfHhm	2KEqzdPS7M5YwGmiuPTdr5
2022-07-02T23:28:07	Não tem como	9 Miller, jon.	PT4IA2200002	3W7NRSYccc2Iy2fCK1JaGe	4yqP75Gm0jSMIS1gQ7s6lX,1FqCf6XWsq13JJXjiLhzLK
