listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-25T01:09:08	Leggero	Ligabue	ITQ009500831	11d6VGMNHC2CqBFQVKnKgm	7H8ZC8uHJMPZGLMApRRNIz
2022-07-25T01:04:39	Lontano, lontano	Luigi Tenco	ITB006600628	7EDMham9KB0OcdKJLB1d4P	4F9VFl80sWpvTfXwLJZbhK
2022-07-25T01:00:35	All Star	Smash Mouth	USIR19902220	3cfOd4CMv2snFaKAnMdnvK	2iEvnFsWxR0Syqu2JNopAd
2022-07-24T22:47:02	Disperato erotico stomp - Remastered	Lucio Dalla	ITB001500229	37aeDVoz9BqqkFpnfkvmEY	25MkkfEousyfp2eyh38FUl
2022-07-24T22:41:13	C'est la vie (feat. Fiorella Mannoia)	Achille Lauro, Fiorella Mannoia	ITV022000021	4gFRf4Qcs8kYr7A3MPS7Y3	0lI3rF4hi4op6UxqlLHPzv,5VxhGHbcuvqTLRUWzBUN8L
2022-07-24T22:38:00	Il mondo nuovo	Neffa	IT0750600019	27wy4h8t59zVvaM7gJhLY9	54dqxLAclwu0QSaTwCyCaF
2022-07-24T22:34:01	In Your Eyes	Peter Gabriel	GBCPB1200871	1wyluqXP2ujdTpCfm1E617	7C4sUpWGlTy7IANjruj02I
2022-07-24T22:21:33	Time Has Told Me	Nick Drake	GBAAN7000018	20FLGZPgMHXlU0VpQ0HpxN	5c3GLXai8YOMid29ZEuR9y
2022-07-24T19:35:40	Time Has Told Me	Nick Drake	GBAAN7000018	20FLGZPgMHXlU0VpQ0HpxN	5c3GLXai8YOMid29ZEuR9y
2022-07-24T18:31:25	Ridere	Pinguini Tattici Nucleari	ITB002000022	5LZVK19ieaV8Mk9FsqTL3F	6RdcIWVKYYzNzjQRd3oyHS
2022-07-24T12:21:12	Etude No. 16	Philip Glass, Maki Namekawa	US65R1409816	7iXFtup6RbQ26P4XqI5pmE	69lxxQvsfAIoQbB20bEPFC,6htuRIPptVcECBt22n7MGo
2022-07-24T12:16:57	Violin Concerto No. 1 (1987) Movement II	Philip Glass, Renaud Capuçon, Dennis Russell Davis, Bruckner Orchester Linz	US65R1611402	14JguI1ttjlnIDzrANthR5	69lxxQvsfAIoQbB20bEPFC,6ttz1LgWFVgRiNDOjtDb2L,47AFhmJuHIlo58MbEG8EWe,0P3FfzjOGEHknmwzb2qEQl
2022-07-24T12:05:06	Symphony No. 3 - Movement III	Philip Glass, Michael Riesman, Anne Manson, Manitoba Chamber Orchestra	US65R1208606	5gALXW3tLnPUUfyMTWQ7So	69lxxQvsfAIoQbB20bEPFC,1KPzLZHZrqvYILcVTEMCP1,7EEmqfqhXZ7BYhuUNNMG5l,2j8tNSxw5XlqWAOCAEXU9i
2022-07-24T11:54:33	Knee 5	Philip Glass Ensemble	US65R1363020	5LBTIPGXEn7I7ON0BB961z	3d8ZNJ7en7Rf9cnI9U8gbp
2022-07-24T11:46:28	Concerto for Saxophone Quartet: Movement I	Philip Glass, The Raschèr Saxophone Quartet, Dennis Russell Davies	US65R0804204	6y34pSTyU4j9wxPnTuIzua	69lxxQvsfAIoQbB20bEPFC,5rOaxFxp2vk3KURqOCJO7j,6Ap58z5zmafflrr6BRbre8
2022-07-24T11:40:05	"String Quartet no. 2 ""Company"": II."	Philip Glass, Dublin Guitar Quartet	US65R1309202	74ABFfTOF0Bsq4RRKVfDxs	69lxxQvsfAIoQbB20bEPFC,2HlDze2dhT575tHcGzZcT5
2022-07-24T11:38:23	Facades	Philip Glass, Michael Riesman	USSM10015214	17Ymh369W4qCPXYzndYurO	69lxxQvsfAIoQbB20bEPFC,1KPzLZHZrqvYILcVTEMCP1
2022-07-24T11:30:58	Etude No. 2	Philip Glass	US65R0300902	5bi8ryL6gy6a1BRXOf43y9	69lxxQvsfAIoQbB20bEPFC
2022-07-24T11:26:02	Secret Agent	Philip Glass	US65R0905901	6hWOzchcVbVHuyA5Mb88bs	69lxxQvsfAIoQbB20bEPFC
2022-07-24T11:21:11	Mishima: Blood Oath	Philip Glass, Angèle Dubeau, La Pietà	US65R0805507	6Y3JXsXRN3Uh37225YxAKl	69lxxQvsfAIoQbB20bEPFC,3aKoUd44IrrqOa6Rzn9Ybq,1Ym2xfkbYM2QZqBty2cTGU
2022-07-24T11:15:28	Experience	Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani	ITB281200070	1BncfTJAWxrsxyT9culBrj	2uFUBdaVGtyMqckSeCl0Qj,59r5UU2HOytn9V5uMZ5Vur,1k1AM2ESRQseVAj6rvBdtx
2022-07-24T11:10:08	Fourth of July	Sufjan Stevens	US64G1509906	5Qnrgqy1pAm9GyNQOgyVFz	4MXUO7sVCaFgFjoTI5ox5c
2022-07-24T10:04:48	Every You Every Me	Placebo	GBAAA9820460	3tRv4ZYZimrL27flnjgeR6	6RZUqkomCmb8zCRqc9eznB
2022-07-24T10:01:13	CRUDELIA - I nervi	Marracash	ITUM71901148	5dsz7MTrNdN9aMTrnp7sOG	5AZuEF0feCXMkUCwQiQlW7
2022-07-24T09:39:57	Nothing Compares 2 U	Sinéad O'Connor	GBAYK9000017	5GHY1DFWKz3Prg2V0Iodqo	4sD9znwiVFx9cgRPZ42aQ1
2022-07-24T09:33:35	Scrivile Scemo	Pinguini Tattici Nucleari	ITB002000601	71r3UlkV7sWvUYjas5paqi	6RdcIWVKYYzNzjQRd3oyHS
2022-07-24T09:04:46	Faccio un casino	Coez	ITNTP1700005	6qNXkVk19OYLu4CoqjDfZ0	5dXlc7MnpaTeUIsHLVe3n4
2022-07-24T09:01:32	Un battito ancora	Gli Ultimi	ITY862100111	2YQKpGTFcuIeNvpksxrZ5v	1lp30zHy5eE7oZARdUC9cC
