listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-24T16:49:27	I'm with You	Avril Lavigne	USAR10200224	1jlG3KJ3gdYmhfuySFfpO1	0p4nmQO2msCgU4IF37Wi3j
2022-05-24T16:45:12	Home	Phillip Phillips	QMTM61200272	1J6bub4kiTe4h0RCo9IszE	6p5JxpTc7USNnBnLzctyd4
2022-05-24T16:41:41	Last Call	Khalid	USRC12200429	7k0wVBW3cvV6Xmb87JikIf	6LuN9FCkKOj5PcnpouEgny
2022-05-24T16:37:59	Free Bird	Lynyrd Skynyrd	USMC17301722	5EWPGh7jbTNO2wakv8LjUI	4MVyzYMgTwdP7Z49wAZHx0
2022-05-24T16:28:52	Back to the Beginning	Aaron Espe	CAN111700384	0vyNxE8W1tkbOA9s64UfGa	11nbBcaBk8uXBPQsc3Sq9p
2022-05-24T16:25:01	My Hero	Foo Fighters	USRW29600007	4dVbhS6OiYvFikshyaQaCN	7jy3rLJdDQY21OgRLCZ9sD
2022-05-24T16:11:18	My Hero	Foo Fighters	USRW29600007	4dVbhS6OiYvFikshyaQaCN	7jy3rLJdDQY21OgRLCZ9sD
2022-05-24T16:09:47	Sacrifice	Elton John	GBALX8900001	0e3yhVeNaTfKIWQRw9U9sY	3PhoLpVuITZKcymswpck5b
2022-05-24T16:04:12	Eu Sei ...	Sara Tavares	PTBM19900098	0vJtLwyeboNJ8jLejDaWwC	57zZoaRDFEjqRwq6FlT0va
2022-05-24T15:57:48	(Bem) na minha mão	Susana Félix	PTFA10700642	3KiBeJKxsQZuD9EhKwHa0e	0fLztiAKw57kcdPdJyfWD7
2022-05-24T15:54:10	Thinkin Bout You	Frank Ocean	USUM71202995	7DfFc7a6Rwfi3YQMRbDMau	2h93pZq0e7k5yf4dywlkpM
2022-05-24T15:43:32	Walking On A Dream	Empire of the Sun	AUEI10800039	5r5cp9IpziiIsR6b93vcnQ	67hb7towEyKvt5Z8Bx306c
2022-05-24T15:35:09	The Less I Know The Better	Tame Impala	AUUM71500303	6K4t31amVTZDgR3sKmwUJJ	5INjqkS1o8h1imAzPqGZBb
2022-05-24T15:31:32	Sweetie Little Jean	Cage The Elephant	USRC11502823	4dpEYOPcmHNfvERbiajp3G	26T3LtbuGT1Fu9m0eRq5X3
2022-05-24T15:27:46	Hit the Ground (Superman)	The Big Pink	GBAFL1100260	6wXEW6UfxNJcTHiRiqCCfR	4xM0Rz2FbjZevoVLVJUgEQ
2022-05-24T15:22:49	Last Nite	The Strokes	USRC10100765	7kzKAuUzOITUauHAhoMoxA	0epOFNiUfyON9EYx7Tpr6V
2022-05-24T15:18:52	Fluorescent Adolescent	Arctic Monkeys	GBCEL0700067	2x8evxqUlF0eRabbW2JBJd	7Ln80lUS6He07XvHI8qqHH
2022-05-24T15:15:48	Ruby	Kaiser Chiefs	GBDVX0600080	2fAIfPLrPUTW1AmJRR428Q	0LbLWjaweRbO4FDKYlbfNt
2022-05-24T15:09:20	Set Fire to the Rain	Adele	GBBKS1000348	3di5hcvxxciiqwMH1jarhY	4dpARuHxo51G3z768sgnrY
2022-05-23T23:35:48	I Drink Wine	Adele	USSM12105975	6v0UJD4a2FtleHeSYVX02A	4dpARuHxo51G3z768sgnrY
2022-05-23T23:25:31	Make You Feel My Love	Adele	GBBKS0700586	273QnyCvJB65rScHJ1nPZb	4dpARuHxo51G3z768sgnrY
2022-05-23T20:42:57	Prisoner (feat. Dua Lipa)	Miley Cyrus, Dua Lipa	USRC12003364	2Oycxb8QbPkpHTo8ZrmG0B	5YGY8feqx7naU7z4HrwZM6,6M2wZ9GZgrQXHCFfjv46we
2022-05-23T20:40:07	Beautiful Mistakes (feat. Megan Thee Stallion)	Maroon 5, Megan Thee Stallion	USUM72103449	5zFglKYiknIxks8geR8rcL	04gDigrS5kc9YWfZHwBETP,181bsRPaVXVlUKXrxwZfHK
2022-05-23T20:36:20	Halo	Beyoncé	USSM10804556	2CvOqDpQIMw69cCzWqr5yr	6vWDO969PvNqNYHIOW5v0m
2022-05-23T20:31:57	Beautiful Liar	Beyoncé, Shakira	USSM10700448	2HWWNoWEEEECwZhAiLg7ib	6vWDO969PvNqNYHIOW5v0m,0EmeFodog0BfCgMzAIvKQp
2022-05-23T20:28:24	Hello	Beyoncé	USSM10804758	3ID5lLzkh4uM8XPUuB2VKq	6vWDO969PvNqNYHIOW5v0m
2022-05-23T20:21:28	What Now	Rihanna	USUM71214747	2RWs4c3ZJ74WwXlVC3QCQN	5pKCCKE2ajJHZ9KAiaK11H
2022-05-23T20:17:22	Maps	Maroon 5	USUM71407116	4gbVRS8gloEluzf0GzDOFc	04gDigrS5kc9YWfZHwBETP
2022-05-17T17:46:35	Umbrella	Rihanna, JAY-Z	USUM70736771	49FYlytm3dAAraYgpoJZux	5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB
2022-05-17T17:32:03	Wake Me Up	Avicii	SEUM71301326	0nrRP2bk19rLc0orkWPQk2	1vCWHaC5f2uS3yhpwWbIA6
2022-05-17T17:27:55	Just the Way You Are	Bruno Mars	USAT21001269	47Slg6LuqLaX0VodpSCvPt	0du5cEVh5yTK9QJze8zA0C
2022-05-17T17:24:14	Mama	Jonas Blue, William Singe	GBUM71701777	47OVNnZJzIkrsEiZ4n187p	1HBjj22wzbscIZ9sEb5dyf,5exS0bytCYdixgv02DaCm3
2022-05-17T17:21:09	Oh My God	Adele	USSM12105973	3Kkjo3cT83cw09VJyrLNwX	4dpARuHxo51G3z768sgnrY
2022-05-17T17:17:23	Time of Our Lives	Pitbull, Ne-Yo	USRC11402647	2bJvI42r8EF3wxjOuDav4r	0TnOYISbd1XYRBk9myaseg,21E3waRsmPlU7jZsS13rcj
2022-05-17T17:13:34	Galway Girl	Ed Sheeran	GBAHS1700026	0afhq8XCExXpqazXczTSve	6eUKZXaKkcviH0Ku9w2n3V
2022-05-17T17:10:42	Banana Pancakes	Jack Johnson	USMC60400032	0BgbobvykXxEvxo2HhCuvM	3GBPw9NK25X1Wt2OUvOwY3
2022-05-17T17:07:29	Million Reasons	Lady Gaga	USUM71609736	7dZ1Odmx9jWIweQSatnRqo	1HY2Jd0NmPuamShAr6KMms
2022-05-17T17:04:04	Prisoner (feat. Dua Lipa)	Miley Cyrus, Dua Lipa	USRC12003364	2Oycxb8QbPkpHTo8ZrmG0B	5YGY8feqx7naU7z4HrwZM6,6M2wZ9GZgrQXHCFfjv46we
2022-05-17T11:21:46	Hit the Ground (Superman)	The Big Pink	GBAFL1100260	6wXEW6UfxNJcTHiRiqCCfR	4xM0Rz2FbjZevoVLVJUgEQ
2022-05-17T11:08:00	All About That Bass	Meghan Trainor	USSM11401317	5jE48hhRu8E6zBDPRSkEq7	6JL8zeS1NmiOftqZTRgdTz
2022-05-17T11:04:55	Best Day Of My Life	American Authors	USUM71302187	5Hroj5K7vLpIG4FNCRIjbP	0MlOPi3zIDMVrfA9R04Fe3
2022-05-17T11:02:13	Good Time	Owl City, Carly Rae Jepsen	USUM71206288	1kPpge9JDLpcj15qgrPbYX	07QEuhtrNmmZ0zEcqE9SF6,6sFIWsNpZYqfjUpaCgueju
2022-05-17T10:58:27	Valerie (feat. Amy Winehouse) - Version Revisited	Mark Ronson, Amy Winehouse	GBARL0700173	6kopmMZiyLmw7h66uXcXR7	3hv9jJF3adDNsBSIQDqcjp,6Q192DXotxtaysaqNPy5yR
2022-05-17T10:54:54	Coming of Age	Foster The People	USSM11305799	1yzbqrSF0vuaO7nuKYSd6f	7gP3bB2nilZXLfPHJhMdvc
2022-05-17T10:50:42	Believe	The Bravery	USUM70729586	4Wvr1YaxNsCujq77dKujys	2bcrMsFlF632EQ6VZERWFu
2022-05-17T10:47:08	Be the One	The Ting Tings	GBARL0800131	6SiufeAINMyX2STnmkZd2R	2wvUfjKGoXvcnDHq7GgMOa
2022-05-17T10:44:29	Rollercoaster	Bleachers	USRC11400984	5L95vS64rG1YMIFm1hLjyZ	2eam0iDomRHGBypaDQLwWI
2022-05-17T10:41:40	Remember	Becky Hill, David Guetta	GBUM72102420	4laAKIq9ZxBCwf99rauPYb	4EPJlUEBy49EX1wuFOvtjK,1Cs0zKBU1kc0i8ypK3B9ai
2022-05-17T10:39:06	Summer Of '69	Bryan Adams	USAM18490006	0GONea6G2XdnHWjNZd6zt3	3Z02hBLubJxuFJfhacLSDc
2022-05-16T16:36:08	Bonfire Heart	James Blunt	GBAHS1300301	2N0volXQpwsvjDorTTxBAU	7KMqksf0UMdyA0UCf4R3ux
