listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-24T20:41:02	Pontos de Exclamação	Jovem Dionisio	BXKF42000001	2mlsK27VNUj8y08BvtIbXu	4m5LghDfOKFZNEBZ0GO1OQ
2022-07-24T20:38:01	Canto da Sereia	MC Menor da VG	BXG6R2000233	5onALPPboSh4z6cO24tOvW	4maKTxhTIDEnWKra7wEIMR
2022-07-24T20:34:18	Equilibrio	Alcool Club, Sara D. Francisco	RUA1H2000624	1KhRGBHqqfZlEEom7hSe5f	6MWi4rQtt8Jy3Ob6xyHbKN,2ki1sYb4SgO02Vh1Q7QqVf
2022-07-24T20:30:01	Drunk Peel Me	Alcool Club	RUA1H2000571	0fYwyXXlplEnl6q924iJXI	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-24T20:25:27	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-24T13:14:49	No Lie	Sean Paul, Dua Lipa	GBUM71604557	48QmG1dfvMuYLxMPt7KSRA	3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we
2022-07-24T13:11:29	Don't	Bryson Tiller	USRC11501051	3pXF1nA74528Edde4of9CC	2EMAnMvWE2eb56ToJVfCWs
2022-07-24T13:07:40	motive (with Doja Cat)	Ariana Grande, Doja Cat	USUM72020425	5GkQIP5mWPi4KZLLXeuFTT	66CXWjxzNUsdJxJ2JdwvnR,5cj0lLjcoR7YOSnhnX0Po5
2022-07-24T13:04:52	Starboy	The Weeknd, Daft Punk	USUG11600976	7MXVkk9YMctZqd1Srtv4MB	1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi
2022-07-24T13:01:01	Beauty And A Beat	Justin Bieber, Nicki Minaj	USUM71205367	6QFCMUUq1T2Vf5sFUXcuQ7	1uNFoZAHBGtllmzznpCI3s,0hCNtLu0JehylgoiP8L4Gh
2022-07-24T12:57:13	Toxic	Britney Spears	USJI10301005	6I9VzXrHxO9rA9A5euc8Ak	26dSoYclwsYLMAKD3tpOr4
2022-07-24T12:53:23	The Man Who Can't Be Moved	The Script	GBARL0800144	3nqqDo8CcCLke3ZoTgiOKf	3AQRLZ9PuTAozP28Skbq8V
2022-07-22T12:08:07	Honest (feat. Don Toliver)	Justin Bieber, Don Toliver	USUG12202489	2KdKh9vHbKW0tZLqtpxxI0	1uNFoZAHBGtllmzznpCI3s,4Gso3d4CscCijv0lmajZWs
2022-07-22T12:07:50	Swim	Chase Atlantic	USWB11701711	3M0lSi5WW79CXQamgSBIjx	7cYEt1pqMgXJdq00hAwVpT
2022-07-22T12:04:01	She Will Be Loved - Radio Mix	Maroon 5	USUM71204501	4llK75pXNWZz6KAho2Gp16	04gDigrS5kc9YWfZHwBETP
2022-07-22T11:59:41	Don't Wanna Fall In Love	KYLE	USA2P1506725	1YakuHfzKxjnseCEeVQtrY	4qBgvVog0wzW75IQ48mU7v
2022-07-22T11:55:48	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-07-22T11:52:32	Moment 4 Life	Nicki Minaj, Drake	USCM51000722	1ia019RqDK2o4QiANR1Dyn	0hCNtLu0JehylgoiP8L4Gh,3TVXtAsR1Inumwj472S9r4
2022-07-22T11:47:51	That's What I Like	Bruno Mars	USAT21602948	0KKkJNfGyhkQ5aFogxQAPU	0du5cEVh5yTK9QJze8zA0C
2022-07-22T11:44:24	Die For You	The Weeknd	USUG11600995	2LBqCSwhJGcFQeTHMVGwy3	1Xyo4u8uXC1ZmMpatF05PJ
2022-07-22T11:40:04	Prisoner (feat. Dua Lipa)	Miley Cyrus, Dua Lipa	USRC12003364	2Oycxb8QbPkpHTo8ZrmG0B	5YGY8feqx7naU7z4HrwZM6,6M2wZ9GZgrQXHCFfjv46we
2022-07-22T11:37:14	Hate Me	Ellie Goulding, Juice WRLD	GBUM71902944	15og0pCEcTFWEXOFKdcJlU	0X2BH1fck6amBIoJhDVmmJ,4MCBfE4596Uoi2O4DtmEMz
2022-07-22T11:34:05	Into It	Chase Atlantic	USWB11602565	4HwDCXsMBC7SUdp2WT4MZP	7cYEt1pqMgXJdq00hAwVpT
2022-07-22T11:30:32	Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber, Daniel Caesar, Giveon	USUM72102636	4iJyoBOLtHqaGxP12qzhQI	1uNFoZAHBGtllmzznpCI3s,20wkVLutqVOYrc0kxFs7rA,4fxd5Ee7UefO4CUXgwJ7IP
2022-07-22T11:27:13	Don't	Bryson Tiller	USRC11501051	3pXF1nA74528Edde4of9CC	2EMAnMvWE2eb56ToJVfCWs
2022-07-22T11:23:55	motive (with Doja Cat)	Ariana Grande, Doja Cat	USUM72020425	5GkQIP5mWPi4KZLLXeuFTT	66CXWjxzNUsdJxJ2JdwvnR,5cj0lLjcoR7YOSnhnX0Po5
2022-07-22T11:21:05	Save Your Tears (Remix) (with Ariana Grande) - Bonus Track	The Weeknd, Ariana Grande	USUG12101839	1oFAF1hdPOickyHgbuRjyX	1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR
2022-07-22T11:17:54	Need to Know	Doja Cat	USRC12101120	3Vi5XqYrmQgOYBajMWSvCi	5cj0lLjcoR7YOSnhnX0Po5
2022-07-22T11:14:11	All Girls Are The Same	Juice WRLD	USUG11800651	4VXIryQMWpIdGgYR4TrjT1	4MCBfE4596Uoi2O4DtmEMz
2022-07-22T11:11:25	Sorry	6LACK	USUM71812664	2xRyZfWe9bnRfH1ZfhYO98	4IVAbR2w4JJNJDDRFP3E83
2022-07-22T11:07:54	right here	Lil Peep, Horse Head	UKELY2100063	5OFf5pzpIcdstWwAhv5YXE	2kCcBybjl3SAtIcwdWpUe3,0LBfcXnrLErD1afLyzB2xA
2022-07-22T11:03:42	Abre a porta	L7NNON	BR5TG2000003	203U3KPNqw5SSF1z0ZqYaw	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T11:01:18	Não é uma beleza ham X Acho que vou bater uma foto sua	Rand0m	USLZJ2260372	1qhy4UpbDRKBwO4Y9tTixv	2aTteViSuVn6ltrG0KvK94
2022-07-22T11:00:02	EU SÓ QUERO TE VER SENTANDO, KIKANDO E ME OLHANDO VS FUNK RJ	TIKTOK HITS, DJ LC Santos	QZS642200794	5Nif42HLRDIslLo6tuRWCQ	6tAbLbYX95ec4We3uKX9eK,0Nvczm4WANBxO9Ujdz3fXx
2022-07-22T10:59:00	Nada é pra sempre	L7NNON	BR5TG2000049	3W9IY5jMrrDKuwbWEDvoOE	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T10:55:09	sentaDONA (Remix) s2	Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza	BXVK62200004	3sd2p4kE7xQmFH3lPnFl6h	6rygauyIMQJrXRC4e5rQJP,5xKesKsXI1jv2TorLOnbbm,6HJiLhKqnOh32p3LSNWsR3,4PzYKhC14sTJNEr0dzoo0d
2022-07-22T10:53:03	Joga na Cara	MC Braz, MC Gabluca	BX9L12100250	1gKXrwKn5ub6wyefqMsnZp	7htxZTR76qcXYJylEmkLiJ,3t79G9FgRevO8CGsP9B6I8
2022-07-22T10:51:13	Ai Preto	L7NNON, DJ Biel do Furduncinho, Bianca	BR5TG2200019	5vC8UAOHeG95ehRzZChniB	0JjPiLQNgAFaEkwoy56B1C,6Us5Zsn5MAHBk7SHBUsG5X,7Jb6GR4PIxHSkDJK8MWuVg
2022-07-22T10:46:49	Aquele pique aumm	Mc Souza	QMANG2282169	4MsiPIjMsB6XrzkPrd1bLG	1rXWQkRMKVJhZOsKI2Xcjq
2022-07-22T10:44:41	Tipo Gin - Ao Vivo	MC Kevin o Chris	BX5EU2100016	4llr8mcoauwrHBtjGb7F9S	2UMj7NCbuqy1yUZmiSYGjJ
2022-07-22T10:42:01	Liberdade (Quando o Grave Bate Forte)	Alok, Mc Don Juan, Dj GBR	BXG6R2001563	2QLbRVzixE282JSQjBz2DG	0NGAZxHanS9e0iNHpR8f2W,7Lmrb6KcIzfkmgbtokjsAL,0IhzJFf4QBEz0ifqLwScKV
2022-07-22T10:39:31	MORENA	Luan Santana	BR27R2100001	4PQdrXMDHDPl1RczrrlADd	3qvcCP2J0fWi0m0uQDUf6r
2022-07-22T10:36:17	Preta do Cabelo Cacheado	Mc Don Juan, Th CDM, DG e Batidão Stronda	BXG6R2100306	0Ve3XWcrsgy90xo0UL2syx	7Lmrb6KcIzfkmgbtokjsAL,736JbivCkAkdLP9xOA3jLs,7gIeuq2qBfYhO1budb6TSQ
2022-07-22T10:33:34	Eterna Sacanagem	MC JottaPê, MC Kekel, MC Kevinho	BXKZM1900362	1AfNdxHdE4OLcnQUyC6j3i	5GqnSMX8p2hxqsM6LqDty3,2ZXnTEyYopSLCDiz5Z0XIf,1mXAhKnZEdF6rotyyd4GBi
2022-07-22T10:30:45	Desce Pro Play (PA PA PA)	ZAAC, Anitta, Tyga	BRUM72000439	4zGtfOglDBfVUypabBwIjQ	76Xa625geVw0Q7BdyxNjA2,7FNnA9vBm6EKceENgCGRMb,5LHRHt1k9lMyONurDHEdrp
2022-07-22T10:27:25	Agora é Tudo Meu	DENNIS, MC Kevinho	BRT3O1800110	5yH8pYxNckOU1cxfPsMIaz	6xlRSRMLgZbsSNd0BMobwy,1mXAhKnZEdF6rotyyd4GBi
2022-07-22T10:24:33	Din Din Din (Participação especial de MC Pupio e MC Doguinha)	LUDMILLA, Mc Doguinha, MC Pupio	BRWMB1800471	78Q2gghkt8iLJ7J0Uc4QYb	3CDoRporvSjdzTrm99a3gi,6GX3y0u61X0EHZZogsQFbL,0n9VWli2NkR8OqJS4dXTqw
2022-07-22T10:21:28	Devia Ir	Wet Bed Gang	TCADS1831472	1ftBvRj542ol7LT1A0EtL7	5jfz7uWPwf03hdEewW8AI8
2022-07-22T10:16:34	Bipolar	Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900	BXG6R2100310	0qxLQ6opocOGyFnlXqJ53x	1cYhx7ZOhYoVmnDPb9KMwo,1etNnR2SdlelBQAICa2Q5m,7Lmrb6KcIzfkmgbtokjsAL,6Ovxg5WDcnSQc8iQXv0IvI
2022-07-22T10:11:57	Se Essa Bunda	Costa Gold, Kawe, André Nine	BRRGE2102342	7gMWTBRgB5CZdNDSuweCyr	7q1aEytv83jXNECmyaMhgn,1TYJOhNSxMOODWiDVhuyZb,5cc7XCY3YdVmFDYw9LklMq
2022-07-22T10:07:47	Sua amiga deu	MC Levin	BXPYA1900052	142YjJNOuXjzeSDnB1ujw1	0guw2RGoUqaWKpoCY5DzWY
2022-07-22T10:03:56	Não Quer Chifre	Mc Frog, DJ Lucas Beat	BCSG12100004	7Ls0AYtBWAJtt7iORFc6zC	5xKesKsXI1jv2TorLOnbbm,2zWqENF4cnsd1nLmraG9IE
2022-07-22T10:01:26	Não Nasceu pra Namorar	MC Zaquin, MC Rick	BX9L12100029	6pQKUKBpwr6GhfhcFFFozo	1OwYxVDNKP9JtSpp5E0uA4,1mvpEXClANunyiHFtAXCxt
2022-07-22T09:59:05	Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)	DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan	BCLWS2100147	0DsPj89zlY3Us7xb5cXK5h	2MUXvv3lFulPYMUCtNrEBu,6akRUh5g0XiVQaZj6U23fd,6bmZfABIjvLMAMYwujdjFy,6ZiGAU6TJQEyidFQ22eIOS
2022-07-22T09:55:30	Bala Love	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	QZHZ52119798	48Ll1C6qAnP2UjnopQDh4a	0DjQFfVxBipTFTXRCwImMP,01CFmzv28eTtJAjhrvOsiW,7Dq3oCz43MCuWBRgWTltZI
2022-07-22T09:51:57	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:47:21	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:42:46	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:38:09	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:33:35	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:28:58	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:24:03	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:19:27	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:14:52	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:10:16	Perdição	L7NNON	BR5TG1900052	7FikD4RFpmSZIvoP3rRwsS	0JjPiLQNgAFaEkwoy56B1C
2022-07-22T09:00:45	Party Tudo	Alcool Club	AEA0Q2084901	5fO98B8ruqFKURwjadV4sn	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:56:51	Geração Formatada	Alcool Club	AEA0Q2084900	3B5e5QTpLO80i2m1SoQ3oQ	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:53:49	Fora De questão	Alcool Club	AEA0Q2084899	6xdMza5LkVYYpau8sQ6Zmx	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:49:42	Encontra Me Num Bar	Alcool Club	AEA0Q2084898	2hTPzYp2VR0FuWSYq17Rgt	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:45:52	Converas De Balcao	Alcool Club	AEA0Q2084897	2vQo5iYCB31yMeytNjqRxA	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:40:44	Banco Dos Reus	Alcool Club	AEA0Q2084896	0AjB3ssHBfN3SslVDwWP3Z	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:37:00	Os Meus Direitos	Alcool Club	QZNJW2099595	1ZEF7AydoYUODjA8XmsMoD	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:32:28	Poeira de Estrelas	Alcool Club	QZNJW2099594	1rdud9dupVDSbltvGOsdhw	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:28:08	Atlantis	Alcool Club	QZNJW2099593	7fDB2Lxu1Rg3GccMvtl3aB	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:24:21	Quando a Minha Vóz	Alcool Club	QZNJW2099592	7HOOzM1g1NOdWtv0W3JTkX	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:19:32	Se o Amanhã Não Chega	Alcool Club	QZNJW2099591	26cGtKV85hefPGgvcoExke	6MWi4rQtt8Jy3Ob6xyHbKN
2022-07-22T08:16:25	Sério	Alcool Club	QZNJW2099590	3Lxtkx8R5d0rDJ2yx9tJWn	6MWi4rQtt8Jy3Ob6xyHbKN
