listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-12T17:28:45	everything sucks	vaultboy	QZLBC2100155	3z06k8YF9CqX0CGFrlekOK	0K87f3owemzI8NUCoEIXOB
2022-07-11T04:22:19	Morph	Twenty One Pilots	USAT21810685	01vv2AjxgP4uUyb8waYO5Y	3YQKmKGau1PzlVlkL1iodx
2022-07-11T04:21:48	Guns for Hands	Twenty One Pilots	USAT21202558	4RdRa3qq0GBSKjomxrkh5K	3YQKmKGau1PzlVlkL1iodx
2022-07-11T04:12:49	Saturday	Twenty One Pilots	USAT22101332	60dwJ8dnqZ4WrIdiu7LkNR	3YQKmKGau1PzlVlkL1iodx
2022-07-11T04:09:57	Level of Concern	Twenty One Pilots	USAT22002190	6xZ4Q2k2ompmDppyeESIY8	3YQKmKGau1PzlVlkL1iodx
2022-07-11T04:05:42	Ride	Twenty One Pilots	USAT21500598	2Z8WuEywRWYTKe1NybPQEW	3YQKmKGau1PzlVlkL1iodx
2022-07-11T04:01:23	Car Radio	Twenty One Pilots	USAT21203515	5cbpoIu3YjoOwbBDGUEp3P	3YQKmKGau1PzlVlkL1iodx
2022-07-11T03:56:54	Ride	Twenty One Pilots	USAT21500598	2Z8WuEywRWYTKe1NybPQEW	3YQKmKGau1PzlVlkL1iodx
2022-07-11T03:53:19	Chlorine	Twenty One Pilots	USAT21810687	23OXdR7YuUBVWh5hSnYJau	3YQKmKGau1PzlVlkL1iodx
2022-07-10T13:49:22	She Reminds Me Of You	Nomy	SEYOK0932109	7xoyn8tpOpvRXSdJEO5XL3	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:48:13	Freakshow part 4	Nomy	SEYOK1627546	02hcFrXEcHov1OEwq4v55s	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:44:25	Hold me closer	Nomy	SEYOK2213733	2dh2kZW04gQhdw5pxzJn3T	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:41:27	Chaos	Nomy	SEYOK1413734	5jJRNJHhos06UlAPXG1Kfw	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:37:22	Das Wunderland	Nomy	SEYOK2207573	4b4BPc6Biv5Ec6DxFOOfws	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:33:56	Meltdown	Nomy	SEYOK2044875	6bGT08Id0YIG4qNEcsxjLO	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:30:11	Goodbye Diane	Nomy	SEYOK1429337	19E1rYYLfXKkDqksbvmvC0	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:24:39	Never alone	Nomy	SEYOK1309633	4B90NRQ03CaWtm0BqM3g2U	20bAxKr0YrCvceZeLqs37e
2022-07-10T13:20:01	Before you go	Nomy	SEYOK1627541	2Gz4s6Rc6gAGQJZl6hhZUG	20bAxKr0YrCvceZeLqs37e
2022-07-08T00:03:16	Wrong Side of Heaven	Five Finger Death Punch	US5Z51300299	11Ojp7JniVvwd0gmgvyKkd	5t28BP42x2axFnqOOMg3CM
2022-07-08T00:01:05	AfterLife	Five Finger Death Punch	USDPK2200047	51lcM37Li2HOhk8F8kPwUv	5t28BP42x2axFnqOOMg3CM
2022-07-07T23:57:00	Jekyll and Hyde	Five Finger Death Punch	US5Z51500620	6efSwlK3LOlWOeKK9xlUKF	5t28BP42x2axFnqOOMg3CM
2022-07-07T23:50:53	Bad Company	Five Finger Death Punch	US5Z50900004	1UWGkn34CD31VQfdi4D8Zp	5t28BP42x2axFnqOOMg3CM
2022-07-07T23:42:51	I Only Wanna Be With You	Volbeat	NLB930501102	2MAJJJu89ogKPctelr3F7f	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T23:40:06	Guitar Gangsters & Cadillac Blood	Volbeat	NLB930800311	5CLQ70QLoefhq3VMfoDl4w	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T23:36:56	Heaven Nor Hell	Volbeat	DKNE11000106	5Hgx4ssabqTTD1fmGFTmi2	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T23:31:34	Temple Of Ekur	Volbeat	DKNE12100002	1SsCpBXMHUYlrHR7Hozgvu	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T19:23:09	Temple Of Ekur	Volbeat	DKNE12100002	1SsCpBXMHUYlrHR7Hozgvu	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T19:11:17	Black Rose	Volbeat, Danko Jones	DKNE11600106	2PIrlAdig9MxYLMYId11rg	0L5fC7Ogm2YwgqVCRcF1bT,7CGoviGsNXYmGOBkXk8dtW
2022-07-07T19:04:39	Last Day Under The Sun	Volbeat	DKNE11900001	6QrC8IQV29mwLgLMW1zGmm	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T18:59:05	Wait A Minute My Girl	Volbeat	DKNE12100003	6nDHNHOVNuWK48N24Fktcs	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T18:56:45	The Devil's Bleeding Crown	Volbeat	DKNE11600101	3TjQAc2PzWzlSDrnq61J1y	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T16:06:50	The Devil's Bleeding Crown	Volbeat	DKNE11600101	3TjQAc2PzWzlSDrnq61J1y	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T16:03:48	Lola Montez	Volbeat	DKNE11300109	3ear11tYbMEmNDm2lxZTqL	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T15:59:20	A Warrior's Call	Volbeat	DKNE10900101	4o6k1XHlrIZay8v1m5VU83	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T15:54:57	Shotgun Blues	Volbeat	DKNE12100005	2SMNxADB0ffqaIoOwl2x06	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T15:50:28	For Evigt	Volbeat, Johan Olsen	DKNE11600103	59fQzvSv0wPQorW2Bh0pns	0L5fC7Ogm2YwgqVCRcF1bT,3iYvxketuV7AAPCJuWSDH2
2022-07-07T15:45:44	Still Counting	Volbeat	NLB930800317	7nsO4eXkY7DvrWbjYUDLJS	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-07T13:41:34	I Was A Teenage Werewolf	The Cramps	USIR38900032	43StRaT5CenByVyJWFdGp3	4lYtGx5NZQJHsMyhHc5iz3
2022-07-05T02:49:49	Heaven Nor Hell	Volbeat	DKNE11000106	5Hgx4ssabqTTD1fmGFTmi2	0L5fC7Ogm2YwgqVCRcF1bT
2022-07-05T02:44:57	Last Day Under The Sun	Volbeat	DKNE11900001	6QrC8IQV29mwLgLMW1zGmm	0L5fC7Ogm2YwgqVCRcF1bT
