listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-10T12:50:55	A paixão (Segundo Nicolau da Viola)	Rui Veloso	PTEM19000006	564tHu6RJmSLd6a7mC011x	1HHcnYrMqv4xpwHJAzUfqO
2022-07-10T12:47:02	The Reason	Hoobastank	USIR20300704	77loZpT5Y5PRP1S451P9Yz	2MqhkhX4npxDZ62ObR5ELO
2022-07-10T12:43:09	Our Song	Anne-Marie, Niall Horan	GBAHS2100222	3fGW43fnu3OHEw6ohTC2Bw	1zNqDE7qDGCsyzJwohVaoX,1Hsdzj7Dlq2I7tHP7501T4
2022-07-10T12:40:25	Say You Won't Let Go	James Arthur	DEE861600586	5uCax9HTNlzGybIStD3vDh	4IWBUUAFIplrNtaOHcJPRM
2022-07-10T12:36:54	Lifetime	Justin Bieber	USUM72102644	10Z9RbwrTbQ0gQeNRJ2dC1	1uNFoZAHBGtllmzznpCI3s
2022-07-10T12:33:25	Lucky	Jason Mraz, Colbie Caillat	USEE10800806	0IktbUcnAGrvD03AWnz3Q8	4phGZZrJZRo4ElhRtViYdl,6aZyMrc4doVtZyKNilOmwu
2022-07-10T12:30:16	Longe	Nuno Ribeiro	PT3CB1800008	2DTRpejy3ljDcv9t3ZGecJ	6vgClJhn4BAJ4pmLvsT8lt
2022-07-10T12:26:56	Dois Corações	Melim	BRUM71801611	4xwPOyN9VgaTPehdsLiYul	6uYrXgVHctAJtIdSODcyLJ
2022-07-10T12:23:29	Porque Eu Te Amo	ANAVITÓRIA	BRUM71802905	3idU6lZVKD6hvGjnpSHde8	1sPg5EHuQXTMElpZ4iUgXe
2022-07-10T12:19:51	Without Me	Halsey	USUM71813499	5p7ujcrUXASCNwRaWNHR1C	26VFTg2z8YR0cCuwLzESi2
2022-07-10T12:16:29	Honey	Noble	PTMR11900001	2nP773KzXxjhpQqDa527Qc	32W3C6bE5nWdRdC22xZBNy
2022-07-10T12:12:43	I Won't Give Up	Jason Mraz	USEE11100768	5ivF4eQBqJiVL5IAE9jRyl	4phGZZrJZRo4ElhRtViYdl
2022-07-10T12:08:42	Nós os Dois	Bárbara Bandeira	PT2IL1900001	2M38H7BtsuxZ2Q1nRelVp8	4zhMand4AowXuUz4VpGiTJ
2022-07-10T12:05:17	You Are The Reason	Calum Scott	USUM71710315	69vToJ9BMbbLlFZo7k7A7B	6ydoSd3N2mwgwBHtF6K7eX
2022-07-10T12:01:47	Diferença Mara	Juliette	BC3RD2100002	0dLkZwE2Xt4ETtUt5cED2l	5coW9ioCpvEYGx4v1nvWec
2022-07-10T11:58:56	Love Someone	Lukas Graham	USWB11801903	0OCRwXbQRdOZ1OtB4Imsp1	25u4wHJWxCA9vO0CzxAbK7
2022-07-10T11:55:30	Photograph	Ed Sheeran	GBAHS1400094	1HNkqx9Ahdgi1Ixy2xkKkL	6eUKZXaKkcviH0Ku9w2n3V
2022-07-10T11:51:09	Overpass Graffiti	Ed Sheeran	GBAHS2100673	4btFHqumCO31GksfuBLLv3	6eUKZXaKkcviH0Ku9w2n3V
2022-07-10T11:47:12	Treat You Better	Shawn Mendes	USUM71604711	3QGsuHI8jO1Rx4JWLUh9jd	7n2wHs1TKAczGzO7Dd2rGr
2022-07-10T11:44:03	Monarquia	Diogo Piçarra, Bispo	PTUM72100505	38EnNqW16JfwQMmKzxX1yc	3tOS3iTJSHwowFPRdR4Wsf,3LZCMaZWwvhYyQeEfWgVdY
2022-07-10T11:40:44	Raro	Fernando Daniel	PTUM72100632	0gOKxWywNtopkgmE2NabRn	3Cpjz5dY9HNR41QuMn3oYC
2022-07-10T11:37:49	Perfect	Ed Sheeran	GBAHS1700024	0tgVpDi06FyKpA1z0VMD4v	6eUKZXaKkcviH0Ku9w2n3V
2022-07-10T11:33:26	Gosto de Ti	Paulo Sousa	PT3GL2100016	6cJZkr398Y1vYNReRiTy0q	66vIDuG9LDQ0LkmNFPrA25
2022-07-10T11:31:04	De Janeiro a Janeiro	Roberta Campos, Nando Reis	BRDEP1000005	27Es7REkNYsWCMBoIbmwCW	5CC2At3k0Xnyc5s9yHdyax,7n1XMwvxPf10t4OX6h6Ufy
2022-07-10T11:27:52	Meu Abrigo	Melim	BRUM71706702	5U28PY9MekLyCBYtLHGQpe	6uYrXgVHctAJtIdSODcyLJ
2022-07-10T11:23:28	In My Mind	Alok, John Legend	BCAKL2100018	4JUjUe1zor1myq8f2eq3Kq	0NGAZxHanS9e0iNHpR8f2W,5y2Xq6xcjJb2jVM54GHK3t
2022-07-10T10:22:01	In My Mind	Alok, John Legend	BCAKL2100018	4JUjUe1zor1myq8f2eq3Kq	0NGAZxHanS9e0iNHpR8f2W,5y2Xq6xcjJb2jVM54GHK3t
2022-07-10T10:21:07	Can't Take My Eyes off You	Frankie Valli	USRH11000238	0bfvHnWWOeU1U5XeKyVLbW	3CDKmzJu6uwEGnPLLZffpD
