listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-28T15:35:28	Congratulations	Post Malone, Quavo	USUM71614484	3a1lNhkSLSkpJE4MSHpDu9	246dkjvS1zLTtiykXe5h60,0VRj0yCOv2FXJNP47XQnx5
2022-06-28T15:29:50	Ano Novo	Jimmy P, Deejay Telio	ES71G1879262	7sbEmVgE68ngice4deuQaP	0Odg6UKDVyJQruefzF19FU,7BWNRZyZ9mhgp5t0m7Ny0n
2022-06-28T15:26:26	Praise God	Kanye West	USUM72116287	0WSEq9Ko4kFPt8yo3ICd6T	5K4W6rqBFWDnAN6FQUkS6x
2022-06-28T15:20:50	I Want You Back	The Jackson 5	USMO19400306	5LxvwujISqiB8vpRYv887S	2iE18Oxc8YSumAU232n4rW
2022-06-28T15:12:45	Lay All Your Love On Me	ABBA	SEAYD8001090	4euAGZTszWPrriggYK0HG9	0LcJLqbBmaGUft1e9Mm8HV
2022-06-27T00:38:40	Wow.	Post Malone	USUM71822626	7xQAfvXzm3AkraOtGPWIZg	246dkjvS1zLTtiykXe5h60
2022-06-25T04:06:30	The Unforgiven	Metallica	GBF089190016	4aYLAF6ckQ5ooGGGM7sWAa	2ye2Wgw4gimLv2eAKyk1NB
2022-06-25T03:59:23	The Unforgiven II	Metallica	GBAMC9700004	6nswV1Lz3OZkaiCJfmVUOa	2ye2Wgw4gimLv2eAKyk1NB
2022-06-25T03:52:03	The Day That Never Comes	Metallica	GBUM70812419	13Uvqll8OQDjw3wDweIK9y	2ye2Wgw4gimLv2eAKyk1NB
2022-06-25T03:41:10	Tchuco Nela	MC Rogerinho, Wesley Safadão	BCN5Z2200003	3ShKPhFkexrwl7WoyTtNND	5JbQpbeFaKfuZVFzKwaawP,1AL2GKpmRrKXkYIcASuRFa
2022-06-25T03:39:01	Amor de Chocolate	Naldo Benny	BRDEP1200368	0MC7aaYm9G2sGZ8B0uxPtw	4xnFkvb5Pk259qAXQ6yrYU
2022-06-25T03:34:58	Bandidas (feat. Julinho KSD, Kibow, Trista & Yuran)	Instinto 26, Julinho Ksd, Kibow, Trista, Yuran	PT8IR2100001	6MEZbtP3lg3mHnE9LzZn4S	0XrDy5XUWRVcD4O8sSyzEV,7kR1Yw4RqYhhDD3a8QRyG6,09R2ZnVOtZJjYH5CkDkA0M,1hsrQJC4A7sVS6wOwTxRxw,3zvbATHitSjEZ54l7QnJN0
2022-06-25T03:30:32	GALOPA	PEDRO SAMPAIO	BRWMB2100721	3gK5ckT0cq3t5enyqzzRgV	5wbf52LA6kcaboHSN6NEF1
2022-06-25T03:28:11	Vampiro	Matuê, WIU, Teto	BXW922100034	6bTdZ7xfKp3NqqADJ8HLyj	5nP8x4uEFjAAmDzwOEc9b8,3MrDVzg7ZXaYMyQmbDInr7,68YeXpLt3jB7JHQS5ZjMGo
2022-06-25T03:23:59	Pandora	DJ Matt D, Menor MC, MC GP, Vulgo FK	BXG5C2100582	0yL7K9MzC20uBesZTPY81r	1rIc4yTieeRq25NA3T8RQ5,78Y1NpgD0yMKoBetaYlUzS,5s27i7oqhNWIcE4HeoVdq0,27azwwkxutWL1BWMkgNIh0
2022-06-25T03:20:44	Ride (feat. Bárbara Bandeira)	Mike11, Bárbara Bandeira	PT1JT2100011	0GNgrdn3uuVzssBxJzdpcF	0aMc96Z4utxfPMgOETIL3x,4zhMand4AowXuUz4VpGiTJ
2022-06-25T03:17:31	BEAT DO AKON (Funk Remix)	Dj Vm, DJ Lucas Beat	USANG2164334	2Z0ndOPDVXKENAVeQeced9	0u1gvgaBg3WjHRFOig5Um7,2zWqENF4cnsd1nLmraG9IE
2022-06-25T03:15:07	Melhor de Mim	Lupambo	QZMEQ2191454	08PxO0Ip7jChiYQHmOEyjq	3VhkOgqrqw8bBm5PPJbHXA
2022-06-25T03:11:24	SENTADÃO	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	BRWMB1901455	4lKuzrdZrJuCAedbIslF3A	5wbf52LA6kcaboHSN6NEF1,2Cra8I2P4OnMkVguqZRVwi,7C7NNCiIFavKH6oDarjp0v
2022-06-25T03:09:01	Simplesmente Ela	Mc Gabzin	BCHFD2200013	4NJKCE1TBC653P3dCnto0u	5RmXJq0g7MNmgtxXLGbd6K
2022-06-25T03:06:19	Stunka	Julinho Ksd	PT1II2100005	0A0NJtd7yYuegBrj6qvqSo	7kR1Yw4RqYhhDD3a8QRyG6
2022-06-25T03:03:09	Nortada	Jimmy P	ES71G2208954	342DnijpVnHcZNdl5eHeQA	0Odg6UKDVyJQruefzF19FU
2022-06-25T02:58:50	Pode Tentar	Maninho	PT3CB2100018	2vFjbIf5sKoXsXdBG2E9Xf	0c1Tiu4dJze8OTzxJ7Yowr
2022-06-25T02:56:14	Avé Maria (feat. MC Zuka)	Supa Squad, MC Zuka	PT5HR1900002	3I33WaPNkYEvXY9PDLviBU	4kMEocHCIwaO4u4J01U8Dw,3MSqfnvBVsuUasELt0gFOE
2022-06-25T02:51:44	ATENÇÃO	PEDRO SAMPAIO, Luísa Sonza	BRWMB2100205	4mBto7hyeS6yHhx8lIkn4l	5wbf52LA6kcaboHSN6NEF1,4PzYKhC14sTJNEr0dzoo0d
2022-06-25T02:49:29	Novinha Malada do Insta	MC Josh	BX9L12100164	0VF2XFdgeID7448iU2Vyg9	2sJi2UQrxTzhekQYGLxvT6
2022-06-25T02:47:41	Oi, Como Ce Tá?	Vulgo FK, Elenko Music, WEY, Wall Hein	BCENK2200007	5Z4TYur0O9OxmxIo6GC2Gq	27azwwkxutWL1BWMkgNIh0,6OAAuXhPzzofYSaiIGHasL,6nZ39vMOOOgXQ471Jy5jhR,5wEgjH2s4SAiffRmzkBqHB
2022-06-25T02:44:07	Não Nasceu pra Namorar	MC Zaquin, MC Rick	BX9L12100029	6pQKUKBpwr6GhfhcFFFozo	1OwYxVDNKP9JtSpp5E0uA4,1mvpEXClANunyiHFtAXCxt
2022-06-25T02:41:46	NO CHÃO NOVINHA	Anitta, PEDRO SAMPAIO	BRWMB2101163	7ARoqP7G8UYW8SyYPyPp7k	7FNnA9vBm6EKceENgCGRMb,5wbf52LA6kcaboHSN6NEF1
2022-06-25T02:38:50	DANÇARINA	PEDRO SAMPAIO, Mc Pedrinho	BRWMB2200077	5zNxUkUW9WiV5oyg6gh2wB	5wbf52LA6kcaboHSN6NEF1,1etNnR2SdlelBQAICa2Q5m
2022-06-24T22:47:10	Look At Me!	XXXTENTACION	USUYG1131080	7floNISpH8VF4z4459Qo18	15UsOTVnJzReFVN1VCnxy4
2022-06-24T22:45:55	Wishing Well	Juice WRLD	USUG12001905	2U5WueTLIK5WJLD7mvDODv	4MCBfE4596Uoi2O4DtmEMz
2022-06-24T22:42:41	Lucid Dreams (feat. Lil Uzi Vert) - Remix	Juice WRLD, Lil Uzi Vert	USUG12100801	1jKlRcH7X78ps1yKBTWyUV	4MCBfE4596Uoi2O4DtmEMz,4O15NlyKLIASxsJ0PrXPfz
2022-06-24T22:29:13	20 Min	Lil Uzi Vert	USAT21704166	0uxSUdBrJy9Un0EYoBowng	4O15NlyKLIASxsJ0PrXPfz
2022-06-24T22:23:33	Sky	Playboi Carti	USUM72024699	29TPjc8wxfz4XMn21O7VsZ	699OTQXzgjhIYAHMy9RyPD
2022-06-24T20:20:03	SICKO MODE	Travis Scott	USSM11806660	2xLMifQCjDGFmkHkpNLD9h	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T20:17:25	CAN'T SAY	Travis Scott	USSM11806670	27a1mYSG5tYg7dmEjWBcmL	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T20:14:10	YOSEMITE	Travis Scott	USSM11806669	7lAK3oHbfEnvUQWosrMMpR	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T20:11:32	WAKE UP	Travis Scott	USSM11806665	20MuVazoNMv6xjKPnRFOxG	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T20:07:39	NO BYSTANDERS	Travis Scott	USSM11806663	6OaVWaGfhXn70ZJfdVcabn	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T19:59:06	BUTTERFLY EFFECT	Travis Scott	USSM11704799	2cYqizR4lgvp4Qu6IQ3qGN	0Y5tJX1MQlPlqiwlOH1tJY
2022-06-24T17:57:44	Pira Nos Caipira	Dj Chris No Beat, Luan Pereira	BXHZ02100002	5aQsAijCXIoHqGXu9RGS6s	0vdcZzmneH0nK9CYFHQBjk,5kVgcCdPbeUwxBqWxi2Ktl
2022-06-24T17:56:55	BAGUNÇA	PEDRO SAMPAIO	BRWMB2200075	0w4eRv2fCerS49SgrStS1V	5wbf52LA6kcaboHSN6NEF1
2022-06-24T17:52:54	Gostosinho Tu Cai	Mc Pepeu, DJ Swat	BCHFD2200027	75fCsUnTiDelE4HMd06t4O	3THyxXDkvAVvmfZKP3Fq7G,3JrsRa8z1Pngkkf4pDrokD
2022-06-24T17:50:34	Incrivel Jogando a Potranca	Mc Gabzin, DJ Swat	BCHFD2200008	1Kplq3MbmYv11tcud2ftHp	5RmXJq0g7MNmgtxXLGbd6K,3JrsRa8z1Pngkkf4pDrokD
