listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-12T18:46:13	Miss You - Trentemøller Remix Radio Edit	trentemøller	DEL020850017	1Nke2zd7kiWcnGF6K6Mktn	4O71i7ke5iIBX6RNSFoZbS
2022-04-12T18:42:09	Marionette	Mathew Jonson	DECY52003349	0LG0XwV3KdCgHsGrqN1u4u	6PTy8QkZxHr7Thp8SPYE71
2022-04-12T18:30:46	Soopertrack	Extrawelt	DEQ202000026	0tZFL2LU8XSThRttMJif6Q	3VRvi42U8SsiT4YKP5LNCB
2022-04-12T18:22:43	Photon	Pantha Du Prince, The Bell Laboratory	GBCVZ1203242	3B1NKxKp55UEZefdilmQtH	7Go2Fj2YWEQkYBqTVQArYi,5aShQ4cWL0kisiYUVEynGI
2022-04-12T18:17:39	Dirge	Death In Vegas	GBARS9800149	015SmK4Fvjv13dVwtGoMC0	5aj3LEYRbuaabjjHkj5oE1
2022-04-12T18:11:56	Melankoli (featuring Alice Carreri)	Lulu Rouge	DKAZ70842101	1YSx6FlJpSMR6NSBPmLIvA	5nCR6L56rJtT8Us0CuYQmv
2022-04-12T18:07:06	Vamp	trentemøller	DEL020620013	19PbsNjVPH0gZu0SgWiqsV	4O71i7ke5iIBX6RNSFoZbS
2022-04-12T18:02:13	Half Broken Harp	Kelpe	GBHKS0800011	1lIJosNeeNPoFR3GYmV97N	6D5qrT7NQXcdvFTtCJNszl
2022-04-12T17:57:45	Levo	Recondite	DEEC31400025	1Xgg0bhjK57PJ6WLYOi3oY	1doQgXssRfKnLx70adszbK
2022-04-12T17:53:01	Breathe	Télépopmusik, Angela McCluskey	FR06S0100640	0uKrhHBDUQ4w5fv4qwOubP	3aKCo8gLJfuPYtr88aWKjF,5AlIxbb8HarTSm2tdA5F0x
2022-04-12T17:48:20	You Are Here - Four Tet Remix	Nathan Fake	GBLBR0500035	5SaZJcj10oWtM4NwR5SWrW	5rZVjGkZZI4TnpMHQwrxfG
2022-04-12T17:42:50	Memoria	Murcof	GBCKB0200001	2WhqPkVoPN7LAAndjHOmBE	0liG9qD19eWrt5Ur4cnsYd
2022-04-12T17:36:51	Take Me Into Your Skin	trentemøller	DEL020620047	5RQqQkd8Z8gcscl9ce6ESk	4O71i7ke5iIBX6RNSFoZbS
2022-04-12T17:28:50	Fog	Nosaj Thing	US25X0901402	72Zjy98juHFWSq8CXtXfAB	0IVapwlnM3dEOiMsHXsghT
2022-04-12T17:25:07	Secret	Clark	GBBPW1200006	2zvuqfYQhIB6uWg6FtCxZP	6kic5bCjlohhDn9KzXbOta
2022-04-12T17:21:23	Colomb	Nicolas Jaar	FR2T01100006	5PV6r93MQICDlBiCEbURLZ	5a0etAzO5V26gvlbmHzT9W
2022-04-12T17:18:00	The Sky Was Pink - Holden Remix	Nathan Fake	GBUZD0800603	2oeEq7M17OE5rqcYYYHZet	5rZVjGkZZI4TnpMHQwrxfG
2022-04-12T17:08:29	Nights Off	Siriusmo	DEAF70900364	3UubSlnwOhvZQq4lyCzTJG	22680B8sUdq6bL6nQaJfwg
2022-04-12T17:04:20	Young Again	Kasper Bjørke, Jacob Bellens	DEL020970014	4uhEAzijB4Im1TXnt1Bidi	4xcn3zUUGf03kOIJueXHVp,4HEZdTnwi6G8nAotn7x6nz
2022-04-12T16:59:12	Sleep Deprivation 1	The Black Dog	GBBVL1008311	5zr6njRaOrZRoYEdnzeJjC	7qdsk0UXx2jCX7jbp6rxeq
2022-04-12T16:54:18	Moan	trentemøller	DEL020620038	2dg6A2dFk58LWJslItorJM	4O71i7ke5iIBX6RNSFoZbS
2022-04-12T16:48:26	Resynthesis 3D (Binaural Version - Headphones Only)	Max Cooper	GB45A2002001	1c7inucFjGndMO3QTsl0lg	0WSSKmoRbxqLf3MnXInQ2J
2022-04-12T16:43:29	Tulpa Ovi	Robag Wruhme	DEMM11000032	1Kv08WTW66nvnt9PrUf70H	47UDvjDVedKddLfGWk3keI
2022-04-11T19:02:29	Eyen	Plaid, Benet Walsh	GBBPW0100017	4VJBvbJO0hb8rbksWMwVyC	5akVqMzdZOdbMYbE4vNZWD,4MqsYgT5rDgG907p84pzIY
2022-04-11T18:58:19	Itchy	Siriusmo	DEOE81310011	3nuqSXnU3YUUpZ4yBdNlOG	22680B8sUdq6bL6nQaJfwg
2022-04-11T18:54:46	The Forest	trentemøller	DEL020450009	0mBGXGSiVWJ9rxk0H06pB9	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:48:59	Miss You	trentemøller	DEL020620046	4WTmtPRtIpjzgwBbQsMYyo	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:44:52	Moan	trentemøller	DEL020620038	2dg6A2dFk58LWJslItorJM	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:39:00	Into The Trees (Serenetti Part 3)	trentemøller	DEL020620045	1gDIdzEwlM1tbuqc4R33gt	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:31:46	Chameleon	trentemøller	DEL020520022	6BCsmwRk46pJE0oMMEfdsG	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:23:50	Snowflake	trentemøller	DEL020620044	5TssCy8jWgdqBNxapCNF3U	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:14:32	The Very Last Resort	trentemøller	DEL020620049	14U3Jkn1uCMOGlkQFzbFFd	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:05:44	Like Two Strangers	trentemøller	DEL020620043	0wR21T7HelKOc55hRuCNId	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T18:02:06	Nightwalker	trentemøller	DEL020620042	6igGki8HRnfmVqBb0Tpiqo	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T17:56:17	While The Cold Winter Waiting	trentemøller	DEL020620048	0kMbQ79AV7gr91zfyoZ9sk	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T17:51:03	Always Something Better	trentemøller	DEL020620040	1UEBDaYjYovILJowM1wpsJ	4O71i7ke5iIBX6RNSFoZbS
2022-04-11T17:44:54	Evil Dub	trentemøller	DEL020620041	57mOgOtDk8n1OSSoF1SsvG	4O71i7ke5iIBX6RNSFoZbS
