listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-14T17:41:47	Naquele Hotel	Praso	AEA0D2059355	3TiI9VyNW28715eC6UzEcL	2R0PAd7Jy1ohyMqnbCg7Ti
2022-05-14T17:34:04	FALADUKÊ	Piruka, Jimmy P	ES71G2214245	17b8o9O29o3QGTRuprj7nd	5iZ6jMDkRa7RKLQplJuQUC,0Odg6UKDVyJQruefzF19FU
2022-05-14T17:30:44	Veni, Vidi, Vici	benji price, Mike El Nite	PTBM12200005	7zXIHI7Oo4ptoy6AyTgdTN	2XWfm5Ts8pvNzZMENVZ65I,2MPXfFQ72KWgQGUDXrnCwO
2022-05-14T17:25:54	Conto	Dillaz	ES71G2013860	5lYAphI00oZ5ZtH7CEJDqV	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:22:31	19/01	Dillaz	PT5HT2200005	2l3fPI8SqdgbT8XSS3JMfh	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:19:23	Avioneta	Dillaz	PT5HT2200010	2TbBiaX3YqO4IBHba713d0	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:15:58	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:11:38	Juvena	Dillaz	PT5HT2100002	6vbFZuziJPaFPRCWyQxOxP	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:08:58	Papaia	Dillaz	PT5HT2200007	17MPtgaJHgr2WlJVyhA6kw	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:04:53	Galileu	Dillaz	PT5HT2000001	3i7DYnwcLwCUHyaJlEh3od	15p1isN7VcGsjeSq8s9YeP
2022-05-14T17:01:50	Galileu	Dillaz	PT5HT2000001	3i7DYnwcLwCUHyaJlEh3od	15p1isN7VcGsjeSq8s9YeP
2022-05-14T16:58:47	Maçã	Dillaz	PT5HT2200001	0UW3wnVAl9vzLiTHIwN075	15p1isN7VcGsjeSq8s9YeP
2022-05-14T09:36:45	International Luv	Da Weasel com Atiba	PTEM10700041	1BNbYv8P3ZTdJQtmFlGz4j	7AtmAM2x8V7nuAlFFnmnbO
2022-05-14T09:32:41	Mata-me de novo	Da Weasel	PTEM10100131	3dTomEqkG506W5cPLEtVBI	71SuRO9s3mJNnwAlw7TD7l
2022-05-14T09:27:36	Dialectos da ternura	Da Weasel	PTEM10700025	5nDueiCzwXxZIX3Y5ODuA5	71SuRO9s3mJNnwAlw7TD7l
2022-05-14T09:23:28	Re-tratamento	Da Weasel	PTEM10400001	0YtFqZhheQZIrVc0qbqL8D	71SuRO9s3mJNnwAlw7TD7l
