listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-05T17:31:59	Eraser	Ed Sheeran	GBAHS1700020	7oolFzHipTMg2nL7shhdz2	6eUKZXaKkcviH0Ku9w2n3V
2022-05-05T17:28:11	Antisocial (with Travis Scott)	Ed Sheeran, Travis Scott	GBAHS1900966	1DhRbox3xkceP64k3JeYfW	6eUKZXaKkcviH0Ku9w2n3V,0Y5tJX1MQlPlqiwlOH1tJY
2022-05-05T17:25:28	Take Me Back to London (feat. Stormzy)	Ed Sheeran, Stormzy	GBAHS1900716	1AI7UPw3fgwAFkvAlZWhE0	6eUKZXaKkcviH0Ku9w2n3V,2SrSdSvpminqmStGELCSNd
2022-05-05T17:22:18	Youngblood	5 Seconds of Summer	GBUM71800366	2iUXsYOEPhVqEBwsqP70rE	5Rl15oVamLq7FbSb0NNBNy
2022-05-05T17:18:54	"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack"	Hailee Steinfeld	USUM71510764	6W5RmgWh46p9RQ4LDezHKE	5p7f24Rk5HkUZsaS3BLG5F
2022-05-05T17:15:55	Without You (feat. Usher)	David Guetta, Usher	GB28K1100030	3UN6cIn3VIyg0z1LCuFSum	1Cs0zKBU1kc0i8ypK3B9ai,23zg3TcAtWQy7J6upgbUnj
2022-05-05T17:12:26	Viva La Vida	Coldplay	GBAYE0800265	1mea3bSkSGXuIRvnydlB5b	4gzpq5DPGxSnKTe4SA8HAU
2022-05-05T17:08:24	Rewrite The Stars	Zac Efron, Zendaya	USAT21704623	65fpYBrI8o2cfrwf2US4gq	6U1dBXJhC8gXFjamvFTmHg,6sCbFbEjbYepqswM1vWjjs
2022-05-05T17:04:46	Heart Attack	Demi Lovato	USHR11334249	25n4NECujqOxQHdXVIVc9I	6S2OmqARrzebs0tKUEyXyp
2022-05-05T17:00:14	Alone	Alan Walker	NOG841617010	0JiVRyTJcJnmlwCZ854K4p	7vk5e3vY1uw9plTHJAMwjN
2022-05-05T16:57:33	Carta	Toranja	PTUM10300086	5caUpMNinz52sFOHqGMOdd	4XxYfvbUN7S4JBsmsBH9EC
2022-05-05T16:52:43	Crying in the Club	Camila Cabello	USSM11704592	1SJtlNRJDeYHioymcvsqev	4nDoRrQiYLoBzwC5BhVJzF
2022-05-05T16:49:06	Take Back the Night	Justin Timberlake	USRC11301011	0a4ZGSRZOgspQy2HYzU82l	31TPClRtHm23RisEBtV3X7
2022-05-05T16:43:12	Finesse - Remix; feat. Cardi B	Bruno Mars, Cardi B	USAT21705441	3Vo4wInECJQuz9BIBMOu8i	0du5cEVh5yTK9QJze8zA0C,4kYSro6naA4h99UJvo89HB
2022-05-05T00:32:47	My Side	Stray Kids	US5TA2100130	2yTpNVq1gSpfaW9TNNtqeM	2dIgFjalVxs4ThymZ67YCE
2022-05-04T18:10:24	Behind The Light	Stray Kids	US5TA2100129	4PpMKj0qmas8OncPsDH7F1	2dIgFjalVxs4ThymZ67YCE
2022-05-04T18:05:54	Insomnia	Stray Kids	US5TA2100128	27ONBeTAyqpBJG2Nv01qdf	2dIgFjalVxs4ThymZ67YCE
2022-05-04T18:02:28	Placebo	Stray Kids	US5TA2100127	62x6J6Mfom0h7J509dvusH	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:58:33	3rd Eye	Stray Kids	US5TA2100126	26TIfStHIKPlgzr4PkTB0i	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:54:29	ROCK	Stray Kids	US5TA2100125	6p4pfgTkaktK4sp3ZP7NzA	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:51:15	Awaken	Stray Kids	US5TA2100124	3vaCSLh9vDnG75rIbD2l3f	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:48:02	Scars - Korean Ver.	Stray Kids	US5TA2100123	0bqTleRlZBXtueX1fyVlcc	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:44:42	Muddy Water (Changbin, Hyunjin, HAN, Felix)	Stray Kids	US5TA2200032	0oHn3CGVerdfLqIrN6CT42	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:41:25	Waiting For Us (Bang Chan, Lee Know, Seungmin, I.N)	Stray Kids	US5TA2200031	2LzRBroL4J9pXLf1Nsen4s	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:37:45	Lonely St.	Stray Kids	US5TA2200030	2xo84jGkxFPrZmmBtS3Pkd	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:35:00	FREEZE	Stray Kids	US5TA2200029	2L7hSYdvF0CtaM6JisfKEG	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:32:02	Charmer	Stray Kids	US5TA2200028	4QDpsNBlllaLGj8zbF2EE0	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:28:53	MANIAC	Stray Kids	US5TA2200027	63irPUP3xB74fHdw1Aw9zR	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:25:50	VENOM	Stray Kids	US5TA2200026	4b3rGL8LDSkbARUUA20136	2dIgFjalVxs4ThymZ67YCE
2022-05-04T17:22:35	Airplane pt.2	BTS	QM6MZ1886148	60nwvOMLA1uzLHz3CLp4Na	3Nrfpe0tUJi4K4DXYWgMUX
2022-05-04T17:18:56	Savage Love (Laxed – Siren Beat) [BTS Remix]	Jawsh 685, Jason Derulo, BTS	USSM12005696	4TgxFMOn5yoESW6zCidCXL	56mfhUDKa1vec6rSLZV5Eg,07YZf4WDAMNwqr4jfgOZ8y,3Nrfpe0tUJi4K4DXYWgMUX
2022-05-01T14:44:41	Valerie - Live At BBC Radio 1 Live Lounge, London / 2007	Amy Winehouse	GBUM70702678	6nLvaCZFR1wEzW3sIKpsnr	6Q192DXotxtaysaqNPy5yR
2022-05-01T14:27:19	Forgettable (feat. Olivia)	Project 46, Olivia	USUS11203423	464aQpCDwedVA34R0kHRC9	2RhRT6DNOVoDTfS0rG31pZ,5YBSzuCs7WaFKNr7Bky0Uf
2022-05-01T14:24:03	Since U Been Gone	Kelly Clarkson	GBCTA0400231	3xrn9i8zhNZsTtcoWgQEAd	3BmGtnKgCSGYIUhmivXKWX
2022-05-01T14:20:54	Sun Is Shining	Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso	USUG11500070	4b2tcjrG1qUkSdsqEFP2dB	2XnBwblw31dfGnspMIwgWz,1xNmvlEiICkRlRGqlNFZ43,6hyMWrxGBsOx6sWcVj1DqP
2022-05-01T14:16:40	1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)	Ed Sheeran, Meek Mill, A Boogie Wit da Hoodie	GBAHS1900725	4vIKzWqtn44umal5jXq4wE	6eUKZXaKkcviH0Ku9w2n3V,20sxb77xiYeusSH8cVdatc,31W5EY0aAly4Qieq6OFu6I
2022-05-01T14:13:06	Church	Fall Out Boy	USUM71704117	0OUQhRKgGSb0PPrLUuEQka	4UXqAaa6dQYAk18Lv7PEgX
2022-05-01T14:09:34	One of the Drunks	Panic! At The Disco	USAT21801177	5trCWbYtza0QUxdmF9HAPX	20JZFwl6HVl6yg8a4H3ZqK
2022-05-01T14:06:15	No Promises (feat. Demi Lovato)	Cheat Codes, Demi Lovato	QMCE31700953	1louJpMmzEicAn7lzDalPW	7DMveApC7UnC2NPfPvlHSU,6S2OmqARrzebs0tKUEyXyp
2022-05-01T14:02:30	I Think I'm In Love	Kat Dahlia	USSM11408712	3U1TuSqHIubBA10cVP7Sk6	1peH5tSqnYm8W6Bo3I5egE
2022-05-01T13:59:07	Particular Taste	Shawn Mendes	USUM71804958	4BH9zDv1Ys6kw0j3lU1hTx	7n2wHs1TKAczGzO7Dd2rGr
2022-05-01T13:56:11	Dangerous Woman	Ariana Grande	USUM71601826	3nef5W8jTkXrOKgCu4kmq7	66CXWjxzNUsdJxJ2JdwvnR
2022-05-01T13:52:15	The Mighty Fall	Fall Out Boy, Big Sean	USUM71302619	4rNOFJdwQq0ulVDKOF447L	4UXqAaa6dQYAk18Lv7PEgX,0c173mlxpT3dSFRgMO8XPh
2022-05-01T13:48:42	I Don’t Wanna Live Forever (Fifty Shades Darker)	ZAYN, Taylor Swift	USQ4E1602586	55n9yjI6qqXh5F2mYvUc2y	5ZsFI1h6hIdQRw2ti0hz81,06HL4z0CvFAxyc27GXpf02
2022-05-01T13:44:01	Havana (feat. Young Thug)	Camila Cabello, Young Thug	USSM11706905	1rfofaqEpACxVEHIZBJe6W	4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn
2022-05-01T13:40:23	Smooth Criminal - 2012 Remaster	Michael Jackson	USSM11204989	2bCQHF9gdG5BNDVuEIEnNk	3fMbdgg4jU18AjLCKBhRSm
2022-05-01T13:36:05	Side To Side	Ariana Grande, Nicki Minaj	USUM71602107	44ONERBHALxftQNWq6dmyd	66CXWjxzNUsdJxJ2JdwvnR,0hCNtLu0JehylgoiP8L4Gh
2022-05-01T13:32:18	Me And My Broken Heart	Rixton	USUM71401800	1oew3nFNY3vMacJAsvry0S	0kkxsdcaWmWU2yWAqclDh4
2022-05-01T13:29:04	Cross Me (feat. Chance the Rapper & PnB Rock)	Ed Sheeran, Chance the Rapper, PnB Rock	GBAHS1900715	543bCW2ruMPmxUBWirQ3MR	6eUKZXaKkcviH0Ku9w2n3V,1anyVhU62p31KFi8MEzkbf,21WS9wngs9AqFckK7yYJPM
2022-05-01T13:24:47	Man on a Wire	The Script	GBARL1400980	4b30rxe4kxjNl8YpE17Sew	3AQRLZ9PuTAozP28Skbq8V
2022-05-01T13:20:40	All Time Low	Jon Bellion	USUM71603666	1CnPYaKxTVb4LWOtiGOm0m	50JJSqHUf2RQ9xsHs0KMHg
2022-05-01T13:12:58	Skyscraper	Demi Lovato	USHR11132837	4B3RmT3cGvh8By3WY9pbIx	6S2OmqARrzebs0tKUEyXyp
2022-05-01T13:09:15	Let Me Go (with Alesso, Florida Georgia Line & watt)	Hailee Steinfeld, Alesso, Florida Georgia Line, WATT	USUM71709685	5Gu0PDLN4YJeW75PpBSg9p	5p7f24Rk5HkUZsaS3BLG5F,4AVFqumd2ogHFlRbKIjp1t,3b8QkneNDz4JHKKKlLgYZg,4olE3I5QU0dvSR7LIpqTXc
2022-05-01T13:06:19	Skin	Rag'n'Bone Man	GBARL1601147	6y2Kaz9QI01XBKJ8mTb7Pf	4f9iBmdUOhQWeP7dcAn1pf
2022-05-01T12:49:20	I Know What You Did Last Summer	Shawn Mendes, Camila Cabello	USUM71516597	2GyA33q5rti5IxkMQemRDH	7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF
2022-05-01T12:37:16	MIROH	Stray Kids	US5TA1900035	3888prAY7qaqRx1vjQZSdI	2dIgFjalVxs4ThymZ67YCE
2022-05-01T12:33:47	Forever My Love	J Balvin, Ed Sheeran	QZM5U2200344	6TYuTMfBTU4hpXrhLsjIiV	1vyhD5VmyZ7KMfW5gqLgo5,6eUKZXaKkcviH0Ku9w2n3V
