listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-28T10:11:54	MANIAC	Stray Kids	US5TA2200027	63irPUP3xB74fHdw1Aw9zR	2dIgFjalVxs4ThymZ67YCE
2022-05-28T10:07:51	Roller Coaster	JEONG SEWOON	KRA382204992	6Y8iUOQbIwQaYzEYs0r9ZV	2l9aF9jOgB7GI1uyNkx836
2022-05-26T17:10:46	Lock Me In	Circus Mircus	DK2DY2200050	7ed3JsAPk6u0NjRhylnKmY	751CmpzStQkZd5MNQtSgAB
2022-05-26T17:08:23	STRIPPER	Achille Lauro	ITV022200013	1PpH00KzrWRN3um8vSbi7A	0lI3rF4hi4op6UxqlLHPzv
2022-05-26T17:05:30	Not The Same	Sheldon Riley	QZFZ22226126	27ThQIsofXro6xEz3SzQWi	4C1LOSp9paX8u9JMaWXfKc
2022-05-26T17:02:32	In corpore sano	Konstrakta	RSA042200033	1JaOUMmaSZlWfONvT4HTlg	0mrbJs6eUt85g1ozyYMiUt
2022-05-26T16:56:52	SPACE MAN	Sam Ryder	GBAYE2101762	3nhGk6VnrDHy67pXvMhdPa	1rvnJJghrxl1xakJZct08m
2022-05-26T16:53:13	Brividi	Mahmood, BLANCO	ITUM72200040	1ZMGp9MTXbtAPvcKa0U3zS	06nvjg4wBANK6DCHjqtPNd,1MRiIeZbc0cRuxOafDUCtH
2022-05-26T16:49:50	SloMo	Chanel	ES94B2100282	3XREkzDHsWdBL5tybyCDBH	5DeX42pr2TilrnsUgjG8D1
2022-05-26T16:46:52	Lights Off - ESC Version	We Are Domi	FR2X42252810	0tOKpglJb9cza4WdTtxsv7	68nZwIknhC5s9gLHPly09S
2022-05-26T16:42:45	Slow Mo	BamBam	KRMIM2200983	2stElshTCkdXTnCkD9moQF	2p48L95TwEaYkSdn6R7LOr
2022-05-26T16:39:02	GingaMingaYo (the strange world)	Billlie	KRA382203656	3jHg6QE70y2FTdnsxSrCbv	2GQxKDojobwBjZMPf7aoh0
2022-05-26T16:33:54	Adrenaline	CRAVITY	KRA382204133	5SbVAjEbm6YS9qF8m8EYGD	6FkhUhUwSPl3mGB6mmE8wn
2022-05-26T16:30:40	Yesterday	ChoA	KRA382204508	6LWz3PICJVUEWaA7xfK2qC	4Nw7hgyeIEP5w5ehrMNKpq
2022-05-26T16:26:49	Drive	MIYEON	KRA392200020	0nsIi8do34jaxhKI8C6QLP	779v40cWIJUUoIDtC1IGaF
2022-05-26T16:23:27	Glitch	KWON EUN BI	KRA382204215	3Xzyta15TXF33ggEjA5FxN	0qr7Rhj0yU7BPySYecNUlm
2022-05-26T16:19:41	Make Me Happy	Whee In	KRG132200001	6ry670EtSALRt1yd0W0wca	0BqRGrwqndrtNkojXiqIzL
2022-05-26T16:16:23	That That (prod. & feat. SUGA of BTS)	PSY, SUGA	QZEKE2084402	5oH4DQAuu1J1800RzUsBWa	2dd5mrQZvg6SmahdgVKDzh,0ebNdVaOfp6N0oZ1guIxM8
2022-05-26T08:51:53	FIRST	EVERGLOW	KRMIM2120970	021L6LlBBtr34BmFRHd9Ic	3ZZzT0naD25RhY2uZvIKkJ
2022-05-26T08:50:08	Get Away	VERIVERY	KRA772100001	5W37S0nq1XvGEyTlUkmr3f	1fWUcRSok57yRm8gPKj1Fc
2022-05-26T08:45:09	Don't Stop	ATEEZ	KRMIM2203063	1BrZwASv0NW4L61k4IJU3k	68KmkJeZGfwe1OUaivBa2L
2022-05-26T08:41:50	Blow	Jackson Wang	USWB12200837	0QPPJN3d42PINVAyBPZTC3	1kfWoWgCugPkyxQP8lkRlY
2022-05-26T08:37:42	Love In Space	Cherry Bullet	KRA382203664	0lML1OdwDWQIyGF3i9vk2y	3IJCdgkBZbieocLZ4e94GZ
2022-05-25T10:12:40	Believer	Imagine Dragons	USUM71700626	0pqnGHJpmpxLKifKRmU6WP	53XhwfbYqKCa1cC15pYq2q
