listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-19T12:53:16	Telepath	Conan Gray	USUM72119694	3Z39gbqdaGL3WJXBG0gcuE	4Uc8Dsxct0oMqx0P6i60ea
2022-06-19T12:50:01	What If	StreamBeats Originals, Fuslie	QZFZ52169790	5hZZpyKrq8WB2jVlCv7GJU	3082VkqpM8uMzqngKCe279,4YxSBUiusvnTJZ1duIEp5R
2022-06-18T12:55:10	Telepath	Conan Gray	USUM72119694	3Z39gbqdaGL3WJXBG0gcuE	4Uc8Dsxct0oMqx0P6i60ea
2022-06-18T12:53:39	sad disco	mxmtoon	GBKPL2287672	2AuvCgODcdFVPHdErDoQuY	0HthCchcL0kVLHTr113Vk1
2022-06-18T12:50:41	When You're Gone	Shawn Mendes	USUM72204098	0U1W2LZVUX7qTm7dDpqxh6	7n2wHs1TKAczGzO7Dd2rGr
2022-06-18T12:47:08	Shadow Of Mine	Alec Benjamin	USAT22200650	0uth6JMSGzbmREU9esuWX5	5IH6FPUwQTxPSXurCrcIov
2022-06-17T13:51:09	Shadow Of Mine	Alec Benjamin	USAT22200650	0uth6JMSGzbmREU9esuWX5	5IH6FPUwQTxPSXurCrcIov
2022-06-17T13:49:34	As It Was	Harry Styles	USSM12200612	4LRPiXqCikLlN15c3yImP7	6KImCVD70vtIoJWnq6nGn3
2022-06-16T13:15:22	Scrawny	Wallows	USAT21812259	1pNUmVxDiE8t6P1XxcZAv8	0NIPkIjTV8mB795yEIiPYL
2022-06-16T13:15:21	Last Cup of Coffee Cover	Natsumiii, Valkyrae, LilyPichu	QZES52180082	6KrCjRC23MEc6Xe2kDrqjq	3faWjSGISqopPb4VqxHWaZ,3K2cCKNyDtFpzkJZfuvqMP,6maAVJxVTGW1xA3LokpQm8
2022-06-16T13:11:55	Olivia	One Direction	GBHMU1500110	5dONhl6aXFuN86UBdayF6W	4AK6F7OLvEQ5QYCBNiQWHq
2022-06-16T13:09:03	Can I Call You Tonight?	Dayglow	TCADL1825079	64lsIF5pw0sJY0gV5kz0RN	6eJa3zG1QZLRB3xgRuyxbm
2022-06-16T13:04:22	Rollercoaster	Jonas Brothers	USUG11900650	7dxKdQC9Vo1hDxIUnt1z0Q	7gOdHgIoIKoe4i9Tta6qdD
2022-06-16T13:01:20	When You're Gone	Shawn Mendes	USUM72204098	0U1W2LZVUX7qTm7dDpqxh6	7n2wHs1TKAczGzO7Dd2rGr
2022-06-16T12:58:27	Telepath	Conan Gray	USUM72119694	3Z39gbqdaGL3WJXBG0gcuE	4Uc8Dsxct0oMqx0P6i60ea
2022-06-16T12:53:27	Bam Bam (feat. Ed Sheeran)	Camila Cabello, Ed Sheeran	USSM12200047	2DB4DdfCFMw1iaR6JaR03a	4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V
2022-06-16T12:49:33	Isla de Japón	Fresquito, Mango	ES09S2100235	5cUPdZir4P02ZamNpr9Izn	1fURW117sgaPpgIoz8YLXW,1hus2QLWtdEpTUSgopRRZq
2022-06-16T10:28:35	ZOOM	Juliet Ivy, Jeffrey Eli	QZNWV2139342	1pXmAjMULNZwng70yRapHQ	3sHvvFIzt6FKUQuksXhZn3,7y2o4IQi5QnL6PbsOYuNp5
2022-06-16T10:27:40	If You're Broke I'm Busy	April Fooze, Ryan King	QZES62257115	74BsYtp6KX7as5uitssaBq	7ESLon2DXikMkiPW6xne9S,1Lci40lzpAXaiylv2zT8oD
2022-06-16T10:25:19	bleachers	templuv	QZHN42286473	6VI4OmjLh5NBzfdW4INBi1	7c4qQ1lik128TAf5e1ELbS
2022-06-16T10:23:10	Memories	Conan Gray	USUM72204111	7AYP21Q4qnxw2WxETEvSRb	4Uc8Dsxct0oMqx0P6i60ea
2022-06-16T10:18:49	Car Crash	eaJ	TCAGC2254526	2tlJ22iQwiO1CWBQSma23n	0kX41bvrBQtgqSEXbmTzMN
2022-06-16T10:15:40	People Watching	Conan Gray	USUM72109491	4JeOesjcWWlprTAvucDSJX	4Uc8Dsxct0oMqx0P6i60ea
2022-06-16T10:13:01	The Way You Felt	Alec Benjamin	USAT22101715	3zJSoBd3kE0EFyqYiEzexC	5IH6FPUwQTxPSXurCrcIov
2022-06-16T10:09:58	Bam Bam (feat. Ed Sheeran)	Camila Cabello, Ed Sheeran	USSM12200047	0QBzMgT7NIeoCYy3sJCof1	4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V
2022-06-16T10:06:31	Enemy feat. J.I.D. (from the series Arcane League of Legends)	Imagine Dragons, JID	USUM72119916	4qXKkOZ691yYgQu4Lunrds	53XhwfbYqKCa1cC15pYq2q,6U3ybJ9UHNKEdsH7ktGBZ7
2022-06-16T10:03:37	Jigsaw	Conan Gray	USUM72200064	1WzOonguDKuWQrTTf5yR0D	4Uc8Dsxct0oMqx0P6i60ea
2022-06-16T10:00:08	April's Fool	April Fooze, SocialTea, Ryan King	QZES82255241	2KteZyu8KYS9PXnVBzzbir	7ESLon2DXikMkiPW6xne9S,0uIqf9ex7wZp0fEoM0ukJV,1Lci40lzpAXaiylv2zT8oD
2022-06-16T09:57:00	Older	Alec Benjamin	USAT22104490	7ozAd3eyeWkFA8yC5R2A2U	5IH6FPUwQTxPSXurCrcIov
2022-06-16T09:54:15	Telepath	Conan Gray	USUM72119694	3Z39gbqdaGL3WJXBG0gcuE	4Uc8Dsxct0oMqx0P6i60ea
2022-06-16T09:51:01	mona lisa	mxmtoon	GBKPL2278099	7f7kRhbVwNicY05IUFTmSd	0HthCchcL0kVLHTr113Vk1
2022-06-13T13:46:22	POGO STICK	Big Toe, P Money	QZDA62216628	1KYThtnV4Tv3XcoLxywWsP	29znzvIHLUmUVwvpTR7jiW,6WjX4pepHwXa85B9KMk0PY
