listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-22T17:45:38	Fica Comigo	Irma	PTNO12200017	6LDMpUu347t6GVf1X8k8nF	06bkZI3iWhUmFYWNovMkCp
2022-06-22T17:41:52	Paz	Carolina Deslandes	PTNO12200028	72ecBkW6t3u3N3cdpZLX3L	6xolQjWFT24ykWke55u9fU
2022-06-22T14:57:02	Quando Nós Formos Velhinhos	Rogério Charraz	PT3DA2000007	3H1Tw8Pu16YRi8nIt1BFV6	6V65VajCmyg8fnAoP89BZB
2022-06-22T14:53:14	Ride (feat. Bárbara Bandeira)	Mike11, Bárbara Bandeira	PT1JT2100011	0GNgrdn3uuVzssBxJzdpcF	0aMc96Z4utxfPMgOETIL3x,4zhMand4AowXuUz4VpGiTJ
2022-06-22T14:50:08	Cinderela	Vandex, Deejay Rifox	PTVI12100306	04mKt0HdrDcJmpgR0uneEz	2YS9UTLtV8gkc4AfEOIgUj,3Hl21P35ibOe7iYpN0fDMs
2022-06-22T14:46:34	Refém	Vai e Vem	PTVI12100372	7is5iVfsqAskXjcCOxY8IM	6e65FdJvCZ0odppPawl9H8
2022-06-22T14:43:24	Bandido	Bateu Matou, Pité	PT6IU2000008	6Gk9sxttBeLINXO4879ZBb	13PM7jFuPib2KDjzsnVD4q,0JgAJ2RAMsXRt2KGNcbcly
2022-06-22T14:39:40	Peito Dividido	Tainá	PTNO12100064	2fYYL2T649OlDLApZUbX1z	0XXftdqBugbSuMCYFiisaC
2022-06-22T14:37:04	Pegate a Mi	Nininho	ES71G2118189	3L08lo13GMWRTaT8KjVY7F	7bMt24fjCeUulKxEUyLdL6
2022-06-22T14:34:49	Não Faz Mal Não Estar Bem	Mimi Froes	QZES82011041	1hb8jpw8xY7k78aOQK9arU	7dj67AKOjHzIzTvFMAmm7b
2022-06-22T14:32:04	Camomila	Lázaro	PTUM72200063	1lMsfcFht03l9kRyN3asTN	4e7bUinclzH7iZ0vGr476X
2022-06-22T14:28:59	SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)	Amaarae, Kali Uchis, Moliy	US23A1540104	09gysnJpfQ3ublBmJDfcEC	21UPYSRWFKwtqvSAnFnSvS,1U1el3k54VvEUzo3ybLPlM,2hVWBpjLW4Q7fboYz2pVYK
2022-06-22T14:25:41	Cara Bonita	Vai e Vem, Alicia	PTVI12100001	2eAUcIJ5SQPRODUlJkq5Ca	6e65FdJvCZ0odppPawl9H8,3TnKHAglZypf9hxGt7OrDh
2022-06-22T14:23:05	Tiro Ao Lado	Tiago Cardoso	PT0GP2000074	6xAj5FxhmY8FUi2QC2ZsFR	12xrXxBlmVEWRgYZTZIVcz
2022-06-22T14:20:03	2AM - Acoustic	Cubita	PTUM72100570	57UvTUllx2pnCXMeWyQYbw	22uy6DyvpF9Vt2PMWSm5di
2022-06-22T14:16:57	Alfazema	Irma	PTNO12000022	0isdPoTDMeXoEc3MmwWRzO	06bkZI3iWhUmFYWNovMkCp
2022-06-22T14:13:13	Como Eu	Bárbara Bandeira	FRX201811367	1YqnwlKHXQ1XYhIhakVikB	4zhMand4AowXuUz4VpGiTJ
2022-06-22T14:09:51	Vem	Sebastião, Pipa	PT1HL2100001	5CxqPKmu8xePwwkGNbBOWe	66EGA0q7UIs9HXKFEEVIZJ,03zNTLE7XHchSSzU4gOYDN
2022-06-22T14:06:28	Beija-Me A Boca	Irma	PTNO12000023	0qn5n6fGKFZ2vS7Ro3RGOZ	06bkZI3iWhUmFYWNovMkCp
2022-06-22T14:02:55	A tua namorada	Joana Almeirante	PT1JX2200003	2P12TZnlYNSmx4IQ8Vyism	4sjur6yJyz7QCyNpiG5Ynm
2022-06-22T13:59:22	Heartbreak Anniversary	Giveon	USSM12000998	3FAJ6O0NOHQV8Mc5Ri6ENp	4fxd5Ee7UefO4CUXgwJ7IP
2022-06-22T13:56:03	Bom Bom	Batida, Mayra Andrade	BE6F52200210	6pXFHyVvrP7wDxrLkEJZkp	5rILRopfIgqH4Cg6Ean6AJ,7uriYlc9ETgOg8VPFbdnbE
2022-06-22T13:52:37	Is There Someone Else?	The Weeknd	USUG12106692	0mL82sxCRjrs3br407IdJh	1Xyo4u8uXC1ZmMpatF05PJ
