listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-28T20:16:37	Suite for Theorbo & Violin in G Major: II. Allemande	Robert de Visée, Amandine Beyer, Pascal Monteilhet	FR1P70501470	0CCxUHakfHk0enJcqI2nZP	4br5HVmW3Xed5Zvffl0RSU,0h4vFpxze8tNNOcg1YrC3E,6Bb0OEvk0oOFhhmaFDrwDF
2022-06-28T20:05:26	Suite for Theorbo & Violin in G Major: I. Prélude	Robert de Visée, Amandine Beyer, Pascal Monteilhet	FR1P70532507	2IOoTrrIiEw4lz0El4wzYf	4br5HVmW3Xed5Zvffl0RSU,0h4vFpxze8tNNOcg1YrC3E,6Bb0OEvk0oOFhhmaFDrwDF
2022-06-28T20:04:29	Sonate No. 6 en Si Mineur: IV. Viste	Jean-Féry Rebel, Amandine Beyer, Assemblée des honnestes curieux	FR1P70501270	1VHwRvc2JCArEmYxeBBO2Y	4c3si9qNKLmlXvHAbYdZH3,0h4vFpxze8tNNOcg1YrC3E,7FN8autsyehc2vknahRJgP
2022-06-28T20:03:18	Sonate No. 6 en Si Mineur: III. Gracieusement	Jean-Féry Rebel, Amandine Beyer, Assemblée des honnestes curieux	FR1P70501260	3gwHQrl358Lp5EYNRQRgW4	4c3si9qNKLmlXvHAbYdZH3,0h4vFpxze8tNNOcg1YrC3E,7FN8autsyehc2vknahRJgP
2022-06-28T18:07:02	Sonate No. 6 en Si Mineur: III. Gracieusement	Jean-Féry Rebel, Amandine Beyer, Assemblée des honnestes curieux	FR1P70501260	3gwHQrl358Lp5EYNRQRgW4	4c3si9qNKLmlXvHAbYdZH3,0h4vFpxze8tNNOcg1YrC3E,7FN8autsyehc2vknahRJgP
2022-06-28T17:52:41	Sonate No. 6 en Si Mineur: II. Légèrement	Jean-Féry Rebel, Amandine Beyer, Assemblée des honnestes curieux	FR1P70501250	4Hade9VIDJiBbAGdHFlGSa	4c3si9qNKLmlXvHAbYdZH3,0h4vFpxze8tNNOcg1YrC3E,7FN8autsyehc2vknahRJgP
2022-06-28T11:41:49	Sonata Da Chiesa No. 5 in G minor, Op.5: V. Giga: Allegro	Arcangelo Corelli, Ottavio Dantone, Stefano Montanari	GBCRW0572525	3WC2yjrrd42mglW8CxFAGL	5dmMpIyAVaH6b9FLFgWPrF,5CwK5oXgjqjjcU5JSo8200,4F0wl1l8bennfUYUMhrovM
2022-06-28T11:40:18	Sonata Da Chiesa No. 5 in G minor, Op.5: IV. Vivace	Arcangelo Corelli, Ottavio Dantone, Stefano Montanari	GBCRW0572524	79HchHdz2D8JiFPaU1IBOr	5dmMpIyAVaH6b9FLFgWPrF,5CwK5oXgjqjjcU5JSo8200,4F0wl1l8bennfUYUMhrovM
2022-06-28T11:37:33	Sonata No. 5 in G Minor, Op. 5: IV. Vivace (2)	Arcangelo Corelli, Enrico Gatti, Gaetano Nasillo, Guido Morini	FRW180300065	4hx3H4llPToNk7XFpZBfBZ	5dmMpIyAVaH6b9FLFgWPrF,4gKOUO4lMpSerC5dWcrJAl,5viAlzRcXqZnaVjhgAAfTe,5jKCyCJZut0O62Bx0oY8Nd
2022-06-27T18:51:33	The Warrior's Code	Dropkick Murphys	USHEL0504102	6ivzLSDw82LpxXfToyb0He	7w9jdhcgHNdiPeNPUoFSlx
2022-06-27T18:51:29	The State of Massachusetts	Dropkick Murphys	USK250700003	7b7mtUwxYqTCPsxBvfzbd2	7w9jdhcgHNdiPeNPUoFSlx
2022-06-27T18:47:32	Rose Tattoo	Dropkick Murphys	USK251300003	3j5QcKYJ836ZBbcj1OoEod	7w9jdhcgHNdiPeNPUoFSlx
2022-06-27T18:42:28	I'm Shipping Up To Boston	Dropkick Murphys	USHEL0504111	7rSERmjAT38lC5QhJ8hnQc	7w9jdhcgHNdiPeNPUoFSlx
2022-06-27T18:39:17	Cancelo	Rhove	ITDJ72200008	4lstxdn27jZqnTuyaLeJfq	44DWomjW1oDuxIoBIRpmQ4
2022-06-27T18:36:22	Shakerando	Rhove	ITDJ72100030	4EC028SvtlC25iHQSG2OIa	44DWomjW1oDuxIoBIRpmQ4
2022-06-27T08:43:48	Cancelo	Rhove	ITDJ72200008	4lstxdn27jZqnTuyaLeJfq	44DWomjW1oDuxIoBIRpmQ4
2022-06-27T08:29:40	Shakerando	Rhove	ITDJ72100030	4EC028SvtlC25iHQSG2OIa	44DWomjW1oDuxIoBIRpmQ4
2022-06-27T08:25:55	Haze - Original Mix	Anfisa Letyago	BEN582200362	5BzsY9SIZapFmhjQgb1W3F	7icoOm5fKKPo49jVxoj1Cq
2022-06-27T08:21:49	Too Good	Burak Yeter, AtcG	ITL012200043	53y8w20LNnGcch3LWhNGSq	4ON1ruy5ijE7ZPQthbrkgI,3ejR3scp9kP7ywaI0VHXYj
2022-06-27T08:17:28	Somebody's Nobody	Alexander 23	USUM72204394	3Bc5XUS5sTHtAde1ZA2FzC	6sFHvCyqklnJpXC9Nh1aag
2022-06-27T08:13:38	True Romance	Tove Lo	QMUY42200055	7G4aD9GSe262y5lisfaIGy	4NHQUGzhtTLFvgF5SZesLK
2022-06-27T08:08:59	Learn to Say No	KAYMA	IL4040102004	14ZRyQGoyNIG5NmHFhlqGs	14wBYDU3jhWxMfiLWyg0Sx
2022-06-27T08:06:05	Learn to Say No	KAYMA	IL4040102004	14ZRyQGoyNIG5NmHFhlqGs	14wBYDU3jhWxMfiLWyg0Sx
2022-06-25T21:25:30	FAME (feat. Laila Al Habash)	PLASTICA, Laila Al Habash	ITFR82200056	0jNiQhRIRxu6IGapnsQkY4	2fB3iExnBIP2AA713JAqIM,6TlzdBQJ60fuenBUtDARlg
2022-06-25T21:25:07	Twinkle Twinkle Little Bitch	Leah Kate	QZJ842001793	6zBqlhWjEhNyH4Z8eUDzMT	6oWOHAOyBUn6aJlKIPJK9r
2022-06-25T21:22:29	Psychic	Chris Brown, Jack Harlow	USRC12201883	64pUytZWfCpeeMBN0XAadF	7bXgB6jMjp9ATFy66eO08Z,2LIk90788K0zvyj2JJVwkJ
2022-06-25T21:18:48	9 lives	Machine Gun Kelly	USUM72211763	17XY1uAyl0lrFqiMp1aQXO	6TIYQ3jFPwQSRmorSezPxX
2022-06-25T21:15:28	Méchante	Aya Nakamura	FRZ042200733	5k5duWxo5HqhetBe6ucgZJ	7IlRNXHjoOCgEAWN5qYksg
