listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-26T16:03:41	Daydreaming	Harry Styles	USSM12200617	69w5X6uTrOaWM32IetSzvO	6KImCVD70vtIoJWnq6nGn3
2022-05-26T16:03:38	Cinema	Harry Styles	USSM12200616	35TyJIMR3xRouUuo2sjS6v	6KImCVD70vtIoJWnq6nGn3
2022-05-26T15:59:25	Matilda	Harry Styles	USSM12200615	6uvh0In7u1Xn4HgxOfAn8O	6KImCVD70vtIoJWnq6nGn3
2022-05-26T15:55:20	Little Freak	Harry Styles	USSM12200614	3i058E8uxTsYqJ5NWZzqSj	6KImCVD70vtIoJWnq6nGn3
2022-05-26T15:51:30	Daylight	Harry Styles	USSM12200613	51Zw1cKDgkad0CXv23HCMU	6KImCVD70vtIoJWnq6nGn3
2022-05-26T15:48:27	As It Was	Harry Styles	USSM12200612	4Dvkj6JhhA12EX05fT7y2e	6KImCVD70vtIoJWnq6nGn3
2022-05-26T14:45:06	STUPIDO	Massimo Pericolo, Crookers	ITRWL2000103	6HVRRlc2sBlkcKEkhlsp86	1El4YQA8oCXX7ynFSxRTFq,3o1cwVQfiDWafhYA02k13C
2022-05-26T14:41:58	make you mine (Massimo Pericolo Remix) feat. Snøw, Powfu, Rxseboy	Fudasca, Massimo Pericolo, Snøw, Powfu, Rxseboy	ITB002000409	0wfuRE5vpm0pBOtnfoDRXW	3gVs02kUSkMOkErgzttj7T,1El4YQA8oCXX7ynFSxRTFq,5fSVkkuijRIpxuvSqysYiP,6bmlMHgSheBauioMgKv2tn,1ScHz7wPPxVTEKsc9g3Z0c
2022-05-26T14:39:08	Amici	Massimo Pericolo, Crookers, Nic Sarno	ITRWL1900043	7aVX95NjONZszSeb8vJZF3	1El4YQA8oCXX7ynFSxRTFq,3o1cwVQfiDWafhYA02k13C,3PbxfXGwcCLn85zVQK1ulo
2022-05-25T11:29:24	Mentre Fa Giorno	Ministri	ITCV31806306	3HoowsSyfsYrv1NF7VCuBT	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:26:54	Tienimi Che Ci Perdiamo	Ministri	ITCV31806305	23iiD9RcT621mKfPcam8pH	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:23:04	Crateri	Ministri	ITCV31806304	0lZvd3KSQmocpAycLTMiF0	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:19:45	Spettri	Ministri	ITCV31806303	6gsYYRHrxFJ4j6G4oj7Q9Z	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:15:40	Fidatevi	Ministri	ITCV31806302	25HTiX1Wu37wwsXM9zxQZK	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:12:02	Tra Le Vite Degli Altri	Ministri	ITCV31806301	1mXy9QvQf53asBhzGe1l07	6an9YCv0S0Mj3rsaD9Ahpz
2022-05-25T11:08:24	Del Tempo Che Passa La Felicità	Motta	ITZ041600083	16gbxMlS8MGg2Q5ZugXv75	1gRsYpSd9fR8x92ppdlCg3
