listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-27T20:34:00	All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	Taylor Swift	USUG12103690	5enxwA8aAbwZbf5qCHORXi	06HL4z0CvFAxyc27GXpf02
2022-04-27T20:33:12	drivers license	Olivia Rodrigo	USUG12004749	5wANPM4fQCJwkGd4rN57mH	1McMsnEElThX1knmY4oliG
2022-04-27T20:28:45	deja vu	Olivia Rodrigo	USUG12101240	6HU7h9RYOaPRFeh0R3UeAr	1McMsnEElThX1knmY4oliG
2022-04-27T20:23:59	What A Time (feat. Niall Horan)	Julia Michaels, Niall Horan	USUM71900686	5WtfUKzXircvW8l5aaVZWT	0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4
2022-04-14T13:10:08	Amsterdam	Coldplay	GBAYE0200779	2uQ4px5SPONsgcUpulywIQ	4gzpq5DPGxSnKTe4SA8HAU
2022-04-14T13:04:48	A Rush of Blood to the Head	Coldplay	GBAYE0200778	4JJ5zGKnb1IpERyBrfmb1y	4gzpq5DPGxSnKTe4SA8HAU
2022-04-14T12:58:57	A Whisper	Coldplay	GBAYE0200777	7KolrFGhfDi1JTSgQBT5sI	4gzpq5DPGxSnKTe4SA8HAU
2022-04-14T12:45:12	Warning Sign	Coldplay	GBAYE0200776	4bPkBHKLKd9WHizsvM2zV3	4gzpq5DPGxSnKTe4SA8HAU
2022-04-14T12:39:41	Green Eyes	Coldplay	GBAYE0200774	3ou9rSNUQnE7XYmJkUUIOc	4gzpq5DPGxSnKTe4SA8HAU
2022-04-14T12:35:58	Daylight	Coldplay	GBAYE0200773	4fP4xTSBli3tKck172LEZ4	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T19:18:17	Daylight	Coldplay	GBAYE0200773	4fP4xTSBli3tKck172LEZ4	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T13:29:55	Clocks	Coldplay	GBAYE0200771	0BCPKOYdS2jbQ8iyB56Zns	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T13:24:48	The Scientist	Coldplay	GBAYE0200772	75JFxkI2RXiU7L9VXzMkle	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T13:19:39	God Put a Smile upon Your Face	Coldplay	GBAYE0200775	4hf0hL4kWyjWztZzVsM39V	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T13:14:41	In My Place	Coldplay	GBAYE0200606	2nvC4i2aMo4CzRjRflysah	4gzpq5DPGxSnKTe4SA8HAU
2022-04-12T13:10:54	Politik	Coldplay	GBAYE0200770	0u35Dpz37TY2M2j20RUdMf	4gzpq5DPGxSnKTe4SA8HAU
2022-03-29T17:29:30	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-03-29T15:54:34	drivers license	Olivia Rodrigo	USUG12004749	5wANPM4fQCJwkGd4rN57mH	1McMsnEElThX1knmY4oliG
2022-03-29T15:48:38	drivers license	Olivia Rodrigo	USUG12004749	5wANPM4fQCJwkGd4rN57mH	1McMsnEElThX1knmY4oliG
2022-03-29T15:44:35	deja vu	Olivia Rodrigo	USUG12101240	6HU7h9RYOaPRFeh0R3UeAr	1McMsnEElThX1knmY4oliG
2022-03-29T15:40:59	favorite crime	Olivia Rodrigo	USUG12101249	5JCoSi02qi3jJeHdZXMmR8	1McMsnEElThX1knmY4oliG
2022-03-29T15:38:26	The Zephyr Song	Red Hot Chili Peppers	USWB10201693	1ndGB6rvxKYN9seCYO1dTF	0L8ExT028jH3ddEcZwqJJ5
2022-03-28T17:47:36	Desmancha-Prazeres	EU.CLIDES	PT2DY2100008	35uEEDQB3th2F41HobgjAG	74CsbgI3oYJcNJM3ealhBY
2022-03-28T11:55:30	All For Us - from the HBO Original Series Euphoria	Labrinth, Zendaya	USUG11902729	10hMM5nsZQf66ldBlgWBfG	2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs
2022-03-28T11:52:16	Ghost	Justin Bieber	USUM72102635	6I3mqTwhRpn34SLVafSH7G	1uNFoZAHBGtllmzznpCI3s
2022-03-14T17:34:47	saudade, saudade (live in studio)	MARO	QZLBC2200104	2rJjQtTgzAnmQf7YboeM90	3NP4jJcW3R6qO6rbtnH0wn
2022-03-11T18:42:45	Blitzkrieg Bop - 2016 Remaster	Ramones	USRH11601901	4KcH1ZRV2W1q7Flq0QqC76	1co4F2pPNH8JjTutZkmgSm
2022-03-11T18:18:45	Roxanne	The Police	GBAAM0201086	3EYOJ48Et32uATr9ZmLnAo	5NGO30tJxFlKixkPSgXcFE
2022-03-11T18:15:32	Houses of the Holy - Remaster	Led Zeppelin	USAT21300967	0gJmT4VMZd6iYDvqfOou0A	36QJpDe2go2KgaRleHCDTp
2022-03-11T18:11:27	Born To Be Wild	Steppenwolf	USMC16846563	63OFKbMaZSDZ4wtesuuq6f	1WRM9i067hd2ujxxi8FI3m
