listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-19T01:16:15	Leave Before You Love Me (with Jonas Brothers)	Marshmello, Jonas Brothers	USUG12102313	4qu63nuBpdn0qHUHuObEj1	64KEffDW9EtZ1y2vBYgq8T,7gOdHgIoIKoe4i9Tta6qdD
2022-06-19T01:10:23	Woman	Doja Cat	USRC12101532	6Uj1ctrBOjOas8xZXGqKk4	5cj0lLjcoR7YOSnhnX0Po5
2022-06-19T01:07:30	Bam Bam (feat. Ed Sheeran)	Camila Cabello, Ed Sheeran	USSM12200047	0QBzMgT7NIeoCYy3sJCof1	4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V
2022-06-19T01:04:04	Barely on My Mind	The Regrettes	USWB12105145	7LigIDzs63Y4uFlZvNzCZq	67WNUxmM7y4WzHPAVzBu3E
2022-06-19T01:00:46	As It Was	Harry Styles	USSM12200612	4LRPiXqCikLlN15c3yImP7	6KImCVD70vtIoJWnq6nGn3
2022-06-19T00:57:58	Save Your Tears (Remix) (with Ariana Grande) - Bonus Track	The Weeknd, Ariana Grande	USUG12101839	1oFAF1hdPOickyHgbuRjyX	1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR
2022-06-19T00:54:46	Off My Face	Justin Bieber	USUM72102631	3T03rPwlL8NVk1yIaxeD8U	1uNFoZAHBGtllmzznpCI3s
2022-06-19T00:50:07	MORENA	Luan Santana	BR27R2100001	4PQdrXMDHDPl1RczrrlADd	3qvcCP2J0fWi0m0uQDUf6r
2022-06-19T00:46:53	Malemolência	Dynho Alves	BXG6R1800843	0ZTr6t4E5UurJE9oRYocbk	1BRkfP0amngMbqJ4aV3KKp
2022-06-19T00:44:37	Vai Embrazando	ZAAC, MC Vigary	US7VG1710688	41RtcX3L4Ee6AzgZEBkMFC	76Xa625geVw0Q7BdyxNjA2,7kT7skfOOZaxMm52OqW2Oe
2022-06-19T00:41:50	A Distância Tá Maltratando	MC G15, MC Bruninho	BXG6R1800525	5TE7Y9ycqyglDqKPEriXdR	3Nipsl6GVwwGyeAk0J29C6,3shPgAzHMyRwWOkXeoWKeB
2022-06-19T00:39:02	Sem Sal - Ao Vivo	Marília Mendonça	BRWNV1800273	0EZuXcsnjEmGuRYdFdcctX	1yR65psqiazQpeM79CcGh8
2022-06-19T00:36:19	O Sol	Vitor Kley	BR3751700143	3tgyU2gWin30Gx48U8CvFB	4FGcERJWMg8ENOLixwF71U
2022-06-19T00:32:47	50 Reais	Naiara Azevedo, Maiara & Maraisa	BXA8E1600044	2DAGCHu5aoo2FOjmtU9ojo	0jD7VeE1m2SdHbOWeCtB9l,59jlthNnbmim5l9tmNA7se
2022-06-19T00:29:19	ILHA	Luan Santana	BR27R2100003	2zvfMwpBdm9zC4zwLWq1Wg	3qvcCP2J0fWi0m0uQDUf6r
2022-06-19T00:26:16	Escreve Aí - Ao Vivo	Luan Santana	BRRGE1500602	69uKYDeTWn1wFssqP6OZjb	3qvcCP2J0fWi0m0uQDUf6r
2022-06-19T00:22:12	água com açúcar - Ao Vivo	Luan Santana	BRRGE1907118	1cAdkfg0Ch8a9aYgYfpBjm	3qvcCP2J0fWi0m0uQDUf6r
2022-06-19T00:18:02	cê vai perder essa mulher - Ao Vivo	Luan Santana	BRRGE1907142	3fU6I6KOKo7JXfLZ4GOnVd	3qvcCP2J0fWi0m0uQDUf6r
