listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-24T23:52:57	Music For a Sushi Restaurant	Harry Styles	USSM12200609	5LYMamLv12UPbemOaTPyeV	6KImCVD70vtIoJWnq6nGn3
2022-05-24T17:44:31	Sweet Child O' Mine	Guns N' Roses	USGF18714809	7o2CTH4ctstm8TNelqjb51	3qm84nBOXUEQ2vnTfUTTFC
2022-05-24T17:07:02	Drink Up Me Hearties Yo Ho	Hans Zimmer	USWD10731845	0HewdQ1l9bckQXPfIO3CYH	0YC192cP3KPCRWx8zr8MfZ
2022-05-24T13:56:42	Right Down the Line	Gerry Rafferty	GBAYE7800544	2Xb6wJYGi0QXwURw5WWvI5	7tjbDPvrdvDshcpEMXKRVb
2022-05-24T13:51:52	Save Your Tears (with Ariana Grande) (Remix)	The Weeknd, Ariana Grande	USUG12101839	37BZB0z9T8Xu7U3e65qxFy	1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR
2022-05-24T13:48:41	Blinding Lights	The Weeknd	USUG11904206	0VjIjW4GlUZAMYd2vXMi3b	1Xyo4u8uXC1ZmMpatF05PJ
2022-05-24T13:45:21	First Class	Jack Harlow	USAT22203024	1rDQ4oMwGJI7B4tovsBOxc	2LIk90788K0zvyj2JJVwkJ
2022-05-24T13:42:23	Physical	Dua Lipa	GBAHT1901298	5UncbfPKpWlxsWWyhmM87l	6M2wZ9GZgrQXHCFfjv46we
2022-05-24T13:39:08	On My Own	Darci	QM24S1808865	0F4FejjWi3bf5vGOkuQwPS	1lAvOODEAbUI5b51WRBbdx
2022-05-24T13:36:16	Celebrity Skin	Doja Cat	USRC12200478	66bLKGXOk3kPWWHP7Tbrki	5cj0lLjcoR7YOSnhnX0Po5
2022-05-24T13:33:36	right where you left me - bonus track	Taylor Swift	USUG12004720	3zwMVvkBe2qIKDObWgXw4N	06HL4z0CvFAxyc27GXpf02
2022-05-24T13:29:31	New Person, Same Old Mistakes	Tame Impala	AUUM71500302	52ojopYMUzeNcudsoz7O9D	5INjqkS1o8h1imAzPqGZBb
2022-05-23T21:16:57	Cool	Dua Lipa	GBAHT1901297	4Ulqu89XempybuL8ApUeqL	6M2wZ9GZgrQXHCFfjv46we
2022-05-23T21:10:22	Take on Me	a-ha	USWB19901214	2WfaOiMkCvy7F5fcp2zZ8L	2jzc5TC5TVFLXQlBNiIUzE
2022-05-23T20:56:44	Ley Seca	Jhay Cortez, Anuel AA	USUM72113444	3JCaq3KDSROg3TXhdiDa9n	0EFisYRi20PTADoJrifHrz,2R21vXR83lH98kGeO99Y66
2022-05-23T20:49:39	DANÇARINA	PEDRO SAMPAIO, Mc Pedrinho	BRWMB2200077	5zNxUkUW9WiV5oyg6gh2wB	5wbf52LA6kcaboHSN6NEF1,1etNnR2SdlelBQAICa2Q5m
2022-05-23T19:44:51	Touch The Sky	Kanye West, Lupe Fiasco	USUM70502527	2dxjKgT0li4qBI3QwuN9Ih	5K4W6rqBFWDnAN6FQUkS6x,01QTIT5P1pFP3QnnFSdsJf
2022-05-23T19:44:40	Love Of My Life	Harry Styles	USSM12200621	1mw0RgNXIpYRyyCdBQbLgA	6KImCVD70vtIoJWnq6nGn3
2022-05-23T19:29:40	All The Stars (with SZA)	Kendrick Lamar, SZA	USUM71713947	3GCdLUSnKSMJhs4Tj6CV3s	2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP
2022-05-23T15:08:28	"What Is Love - 7"" Mix"	Haddaway	DEA410500401	2IHaGyfxNoFPLJnaEg4GTs	0Suv0tRrNrUlRzAy8aXjma
2022-05-23T01:04:48	Love Of My Life	Harry Styles	USSM12200621	1mw0RgNXIpYRyyCdBQbLgA	6KImCVD70vtIoJWnq6nGn3
2022-05-22T17:25:33	Pretty Please	Dua Lipa	GBAHT1901300	6boViHmG6c8ubzxTvcMoJY	6M2wZ9GZgrQXHCFfjv46we
2022-05-22T17:09:09	Levitating	Dua Lipa	GBAHT1901299	41z2bSbbtJ9wiIee4RXdi5	6M2wZ9GZgrQXHCFfjv46we
2022-05-22T17:05:45	Physical	Dua Lipa	GBAHT1901298	5UncbfPKpWlxsWWyhmM87l	6M2wZ9GZgrQXHCFfjv46we
2022-05-22T17:02:31	Cool	Dua Lipa	GBAHT1901297	4Ulqu89XempybuL8ApUeqL	6M2wZ9GZgrQXHCFfjv46we
2022-05-22T16:59:00	Don't Start Now	Dua Lipa	GBAHT1901121	2FlcxnvybdwpaMmMhaRtSN	6M2wZ9GZgrQXHCFfjv46we
2022-05-22T16:55:37	Demeanor (feat. Dua Lipa)	Pop Smoke, Dua Lipa	USUM72112397	3DMs7bahbQTnoxCjgP7qoK	0eDvMgVFoNV3TpwtrVCoTj,6M2wZ9GZgrQXHCFfjv46we
2022-05-22T15:02:39	Hey Now - Arty Remix	London Grammar	GBCEN1300930	3LsiTVim2hBRogdJxiJ3Ry	3Bd1cgCjtCI32PYvDC3ynO
2022-05-22T14:54:19	Souvenir	Selena Gomez	USUM72002990	3ZCBSFcZSRM9Z48ew28Zrf	0C8ZW7ezQVs4URX5aX7Kqx
2022-05-22T14:51:33	Love Of My Life	Harry Styles	USSM12200621	1mw0RgNXIpYRyyCdBQbLgA	6KImCVD70vtIoJWnq6nGn3
2022-05-22T14:47:48	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
