listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-14T14:05:23	Lady	LANNÉ, Giorgio Gee, Scott Rill	QZMHM2002615	5MZtSCAvjvCoUbJ0a9ljum	0K3HwnyYaxoQO9hZCBLtOH,2uNkbVQ2yfwLDR79cYe92R,7dNg7OLrxcWU9cVe3sQoMV
2022-05-14T13:31:59	Lady	LANNÉ, Giorgio Gee, Scott Rill	QZMHM2002615	5MZtSCAvjvCoUbJ0a9ljum	0K3HwnyYaxoQO9hZCBLtOH,2uNkbVQ2yfwLDR79cYe92R,7dNg7OLrxcWU9cVe3sQoMV
2022-05-14T13:11:44	Safe & Sound	KEES POP, The OVRMRS, Dcoverz	QZS642258337	0dWnNnAddRSUum14iI1nOF	2hyTxsipYZ4IKdiHhTzufD,3NmCwiYlO17nyWcKWuMvcC,4775F8S2UI48FfjdnMRzIw
2022-05-14T13:09:41	Be Your Man	LANNÉ, Averro	DEPI82106268	3Ux0LfYWrUTl0GbNjQd3ud	0K3HwnyYaxoQO9hZCBLtOH,3PTNHymcsvmbSrlF7tTK74
2022-05-14T13:07:22	Moonlight Shadow	Remady, Ane	CH7812215177	1GfMBd5UDvqoWieLVQ3lZh	3JxNeLgMuJI0DEmDt9dLzc,0832DbKyCSpPqX9lkf7aCj
2022-05-14T13:05:05	Have You Ever Really Lived	Max Fail, Blaze U	DEPI82204740	5kzaiymi5RGyjGaA9iaVGL	6fyLFM7G6aSFpZ1BUUDCLf,2qY02HUpBMVIy3oGX8URf1
2022-05-14T13:03:12	Believe	Blaze U, BASTL, ONYX	QZKDK2226398	1CGr5aoBFeJWDt5LuSciOx	2qY02HUpBMVIy3oGX8URf1,2QYmb5VU9IPtOC7gs9esJB,6nIIDzmxCGV3QAzFxdkAXs
2022-05-14T13:00:51	My Pony	R3HAB	AEA2D2200207	3cDfo3bJzLgBTQ5ccL8VUp	6cEuCEZu7PAE9ZSzLLc2oQ
2022-05-14T12:58:21	SAD!	beatenvy, Blue Man, MORRES	QZKDK2258735	0o3g9xDnKjtDFh0ao1mBtb	4Di4xhHHT5rqcnag3Kr2I9,5bVrQimnfCnZacitI0aejI,4azZGTGDrYUGQAB3qcPU6O
2022-05-14T12:56:18	Castle On The Hill	Kilian K, MRTY, Jordan Smithy	QZKDK2221136	3Ud0xOWSTUQ5T5QYgi8snQ	04sHHRws8Q7apGxRnUnjQs,27DBIUuMP6IRsfiQshCbaM,4FAZEEvKJZEYINm3Z0Wfti
