listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T20:44:23	열기	LOONA	KRE081800013	72NewffMWAO9kH55vT6dXj	52zMTJCKluDlFwMQWmccY7
2022-05-16T20:44:21	Butterfly	LOONA	KRA381900458	6wNKKoUQfLPmch7cqSFytV	52zMTJCKluDlFwMQWmccY7
2022-05-16T20:40:23	Stay Alive (Prod. SUGA of BTS)	Jung Kook	USA2P2203296	7CAdT0HdiQNlt1C7xk2hep	6HaGTQPmzraVmaVxvz6EUc
2022-05-16T20:17:11	LOVE DIVE	IVE	KRA382204375	0Q5VnK2DYzRyfqQRJuUtvi	6RHTUrRF63xao58xh9FXYJ
2022-05-16T17:45:08	Ghosting	TOMORROW X TOGETHER	USA2P2034177	6mS8cd33jFrighnLc0obxQ	0ghlgldX5Dd6720Q3qFyQB
2022-05-16T17:44:22	No Love Again	TAEYEON	KRA302200034	2b0RhgCNG1jIU8gc5HoGRM	3qNVuliS40BLgXGxhdBdqu
2022-05-16T17:41:01	SO BAD	STAYC	KRA382006274	13KR2yNRDrbKwR3dOKCDl4	01XYiBYaoMJcNhPokrg0l0
2022-05-16T17:35:47	Save Me, Save You	WJSN	KRA381801230	20yOiJHRQGirFYehRSIb6i	6hhqsQZhtp9hfaZhSd0VSD
2022-05-16T17:32:01	Narcissism	SUNMI	KRMIM2127584	4VVbHgWyMvvuvSo4h36xS9	6MoXcK2GyGg7FIyxPU5yW6
2022-05-16T17:28:08	Dear Sputnik	TOMORROW X TOGETHER	USA2P2108447	7ypFllJwlotXBJfLjsXhvo	0ghlgldX5Dd6720Q3qFyQB
2022-05-16T17:17:14	Colors	LOONA	KRA381900461	5udzPjfCFLvrKvdu5TyGn6	52zMTJCKluDlFwMQWmccY7
2022-05-16T17:13:58	Set Myself On Fire	TAEYEON	KRA302200028	002wiS64p2qXaYYVAP7KOW	3qNVuliS40BLgXGxhdBdqu
2022-05-16T14:53:20	Set Myself On Fire	TAEYEON	KRA302200028	002wiS64p2qXaYYVAP7KOW	3qNVuliS40BLgXGxhdBdqu
2022-05-16T14:51:19	INVU	TAEYEON	KRA302200026	7rXcCpIAoOUCydkVDMcoPV	3qNVuliS40BLgXGxhdBdqu
