listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-14T19:55:44	The Guts of Christ	Nunslaughter	uscgh1513949	0IEjwizy1eqkBTZ7KjSKHO	1RRRmpSvStg4uN6uAZRyGQ
2022-05-14T19:52:50	Ritual of Darkness	Nunslaughter	uscgh1513948	43L2uD4pSdg9hjO45DDQUo	1RRRmpSvStg4uN6uAZRyGQ
2022-05-14T19:45:56	Raid the Convent	Nunslaughter	uscgh1513944	22ofsi1CB42F8zpjtGvkV7	1RRRmpSvStg4uN6uAZRyGQ
2022-05-14T19:40:19	Live Wire	Mötley Crüe	USBY29900144	4Z69VxUgbZyMX7uN6Xg0q9	0cc6vw3VN8YlIcvr1v7tBL
2022-05-14T19:36:31	Rock Hard Ride Free	Judas Priest	GBBBN8402035	5KQY3KDpQ3tO29W7iJNfFq	2tRsMl4eGxwoNabM08Dm4I
2022-05-14T19:11:48	You Give Love A Bad Name	Bon Jovi	USPR39402224	0rmGAIH9LNJewFw7nKzZnc	58lV9VcRSjABbAbfWS6skp
2022-05-14T19:07:40	Fool for Your Loving	Whitesnake	GB01A8900003	7zydM7FeDlFUPCXdY2GCgZ	3UbyYnvNIT5DFXU4WgiGpP
2022-05-14T19:03:20	Cheri Cheri Lady	Modern Talking	DEC738500001	2aEuA8PSqLa17Y4hKPj5rr	79bxUQsBIXO8nVLB9fYKf7
2022-05-14T18:59:33	Living After Midnight	Judas Priest	GBBBN8000005	0IXpUl1fn2QZcBavfuq0H4	2tRsMl4eGxwoNabM08Dm4I
2022-05-14T18:55:22	Mistreated - Remastered 2004	Deep Purple	GBDXG0400007	34RISamoO5iubsOanSlpQo	568ZhdwyaiCyOGJRtNYhWf
2022-05-14T18:46:57	A Touch of Evil	Judas Priest	GBBBN0102564	08hn5vq1XnVmVQI4mfzsXa	2tRsMl4eGxwoNabM08Dm4I
2022-05-14T18:35:26	You're Gonna Break My Heart Again - 2018 Remaster	Whitesnake	GB01A1800014	1Oep4HqXu8tW6BgQzqmoYJ	3UbyYnvNIT5DFXU4WgiGpP
2022-05-14T18:31:01	I Believe in a Thing Called Love	The Darkness	GBAHS0300635	756CJtQRFSxEx9jV4P9hpA	5r1bdqzhgRoHC3YcCV6N5a
2022-05-14T18:26:52	Runaway	Bon Jovi	USPR39402231	0X1sqQ652p1sceKM2nJlIJ	58lV9VcRSjABbAbfWS6skp
2022-05-14T18:23:01	Separate Ways (Worlds Apart)	Journey	USSM18300106	1pTw2cNrp9L3esxLAvWnN2	0rvjqX7ttXeg3mTy8Xscbt
2022-05-14T18:16:57	Rock Hard Ride Free	Judas Priest	GBBBN8402035	5KQY3KDpQ3tO29W7iJNfFq	2tRsMl4eGxwoNabM08Dm4I
2022-05-13T16:58:38	You Bleed	Nunslaughter	uscgh1513940	54RUyDKQkTgWKjzBdR8OLY	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:57:22	Red is the Color of Ripping Death	Nunslaughter	QZK6H2149995	5eXXbu5P4bbLCjKXi6ux8G	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:53:48	The Dead Plague	Nunslaughter	ushm90889034	1FCU9gDGrn5bHRlTpiXpYF	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:52:09	I Hate Christians	Nunslaughter	USI4R0816041	24FaPw5s7oBlkossx215C1	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:50:26	Murmur	Nunslaughter	QZK6H2149991	1Lrqt4jrfcuFEtQLKPfQ9B	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:48:52	Looking Into The Abyss	Nunslaughter	QZES82180770	6cGoEp4BLT8tOkAViQtnAl	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:46:01	Death By the Dead	Nunslaughter	ushm90889032	0LltdITSsLkDK1HNUvuDgM	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:44:47	I Am Death	Nunslaughter	ushm90889031	70SY6S4hbgWKzEgamBYqSw	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:41:51	Satanic Slut	Nunslaughter	uscgh1513947	6Yd3kYAKUngG7V5BNkKwXL	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:38:06	The Final Rape of Night	Midnight	USMBR1914115	688B3DJ1zjjiL4gQujkCFM	28KjD5HkkDDytQzKW7JzTp
2022-05-13T16:34:43	Satan Is Back	Deathhammer	usdy41594305	6OFo2JjQop46mewe2czACK	5mVI4OOATqklEKc0ZOFomS
2022-05-13T16:28:53	Who Gives a Fuck?	Midnight	USMBR1914056	0XikAPBz2QDHjZxDQCGe06	28KjD5HkkDDytQzKW7JzTp
2022-05-13T16:07:48	Raid the Convent	Nunslaughter	uscgh1513944	22ofsi1CB42F8zpjtGvkV7	1RRRmpSvStg4uN6uAZRyGQ
2022-05-13T16:05:30	Groin Gripper	Midnight	USMBR1914058	6EI1ZYGfxZs1yBQ53mHZwL	28KjD5HkkDDytQzKW7JzTp
2022-05-13T16:02:15	Service for a Vacant Coffin	Autopsy	GBCQV9000005	3PBMlvAlOkdzhrvZMOk9nP	6hR8mUd2yyHFazoCuweiIJ
2022-05-13T15:59:24	Fucking Speed and Darkness	Midnight	USMBR1913953	4tVzcd2nExn6zGYJRHwV4q	28KjD5HkkDDytQzKW7JzTp
2022-05-13T15:54:52	Nocturnal Molestation	Midnight	USMBR2215124	2ZnHxAteyz41p2cnbDVMP5	28KjD5HkkDDytQzKW7JzTp
2022-05-13T15:51:10	Warriors of Evil	Deathhammer	usdy41594303	6jwaOZS3PhZk4SNxII4Uof	5mVI4OOATqklEKc0ZOFomS
2022-05-13T15:47:51	You Can't Stop Steel	Midnight	USMBR1914101	58qToQt5BeTlrqbJbfZKWR	28KjD5HkkDDytQzKW7JzTp
2022-05-13T15:43:54	Children of the Grave	Black Sabbath	GBAJE7100085	3ZuVfQriS93y6ofwbIf7lp	5M52tdBnJaKSvOpJGz8mfZ
2022-05-13T15:37:14	Live Wire	Mötley Crüe	USBY29900144	4Z69VxUgbZyMX7uN6Xg0q9	0cc6vw3VN8YlIcvr1v7tBL
2022-05-13T15:33:23	I Wanna Be Somebody	W.A.S.P.	GBCQV8400008	6w8dBm5KlXxWejYrbGS1EJ	3BVkDHWRvLJEyKdvhLbjsq
2022-05-13T15:27:02	Hot for Teacher - 2015 Remaster	Van Halen	USWB11403684	6QDbGdbJ57Mtkflsg42WV5	2cnMpRsOVqtPMfq7YiFE6K
2022-05-13T15:21:49	Holy Diver	Dio	NLF050390016	54yLLvpezvPO1lA3GspiZj	4CYeVo5iZbtYGBN4Isc3n6
2022-05-13T15:15:35	Angel Witch	Angel Witch	GBAJE8000037	4G3Nnoae2XF1cdbdgATKKq	6L48AOtGmQL1ELLoKML7cS
2022-05-13T15:11:24	Painkiller	Death	US2641115409	4uOSpJxcpzeNCWXYoXGJM1	4f5V3PQ66nIrBCqugJtaGn
2022-05-13T15:04:13	Painkiller	Death	US2641115409	4uOSpJxcpzeNCWXYoXGJM1	4f5V3PQ66nIrBCqugJtaGn
2022-05-13T15:02:50	Spirit Crusher	Death	US2641115403	3sSonVXqDeoEFj2lM7mpYT	4f5V3PQ66nIrBCqugJtaGn
2022-05-13T14:56:02	Symbolic	Death	NLA329501640	0dpFb4qv92TE9R00Lq4SAW	4f5V3PQ66nIrBCqugJtaGn
2022-05-13T12:47:11	Rock Hard Ride Free	Judas Priest	GBBBN8402035	5KQY3KDpQ3tO29W7iJNfFq	2tRsMl4eGxwoNabM08Dm4I
2022-05-13T12:41:37	Runaway	Bon Jovi	USPR39402231	0X1sqQ652p1sceKM2nJlIJ	58lV9VcRSjABbAbfWS6skp
2022-05-13T12:31:43	Separate Ways (Worlds Apart)	Journey	USSM18300106	1pTw2cNrp9L3esxLAvWnN2	0rvjqX7ttXeg3mTy8Xscbt
2022-05-13T12:26:18	You're Gonna Break My Heart Again - 2018 Remaster	Whitesnake	GB01A1800014	1Oep4HqXu8tW6BgQzqmoYJ	3UbyYnvNIT5DFXU4WgiGpP
2022-05-13T12:22:05	Fool for Your Loving	Whitesnake	GB01A8900003	7zydM7FeDlFUPCXdY2GCgZ	3UbyYnvNIT5DFXU4WgiGpP
2022-05-13T11:43:09	I Believe in a Thing Called Love	The Darkness	GBAHS0300635	756CJtQRFSxEx9jV4P9hpA	5r1bdqzhgRoHC3YcCV6N5a
2022-05-13T11:38:57	Princess of the Night	Saxon	GB01A8100015	6SUudbR4vTazN9Jb7QWQn5	71vVmHeNgCVSa5SVmfvscU
2022-05-13T10:55:05	A Touch of Evil	Judas Priest	GBBBN0102564	08hn5vq1XnVmVQI4mfzsXa	2tRsMl4eGxwoNabM08Dm4I
2022-05-13T10:48:49	Mistreated - Remastered 2004	Deep Purple	GBDXG0400007	34RISamoO5iubsOanSlpQo	568ZhdwyaiCyOGJRtNYhWf
2022-05-13T10:21:43	Gold - 2003 Remaster	Spandau Ballet	GBAYK0200004	0Z9UkcT1pnrmLciUJPcMMS	2urZrEdsq72kx0UzfYN8Yv
2022-05-13T10:11:29	No One Like You - 2015 Remaster	Scorpions	DELV41501039	0hLQWHwB6GZlkASpS7DkdW	27T030eWyCQRmDyuvr1kxY
2022-05-13T10:07:30	Still of the Night - 2018 Remaster	Whitesnake	GB01A1800006	7AtwQRLPdttsxcLM5tPL0t	3UbyYnvNIT5DFXU4WgiGpP
2022-05-13T10:00:52	Hysteria	Def Leppard	GBF088700612	2PFIZFcGry0po3ZfRZkzKc	6H1RjVyNruCmrBEWRbD0VZ
2022-05-13T09:54:17	Crazy	Aerosmith	USIR10000428	74irxdVWstNlEQjsvArITq	7Ey4PD4MYsKc5I2dolUwbH
2022-05-13T09:38:29	Cheri Cheri Lady	Modern Talking	DEC738500001	2aEuA8PSqLa17Y4hKPj5rr	79bxUQsBIXO8nVLB9fYKf7
2022-05-13T09:33:47	Take What You Want	Def Leppard	GBUM72107486	4OYMEAquAbr1EWDtp5kx1x	6H1RjVyNruCmrBEWRbD0VZ
2022-05-13T09:25:26	we've been loving in silence	MARO	QZLBC2200180	1RAJ8qmx6WVnhqQ8Duj8yS	3NP4jJcW3R6qO6rbtnH0wn
2022-05-13T08:53:52	Alleviate	Leprous	GBDHC1911305	1L2dVs7ppm3cSYpSuHId5S	4lgrzShsg2FLA89UM2fdO5
2022-05-13T08:52:56	Slave	Leprous	GBDHC1571308	6RYWCMf5LvlUlgyYPTtplQ	4lgrzShsg2FLA89UM2fdO5
2022-05-13T08:44:14	Out of Here	Leprous	GBDHC2121902	3u7a2c9595rXVuZUEh9a8H	4lgrzShsg2FLA89UM2fdO5
2022-05-13T08:40:07	Nighttime Disguise	Leprous	GBDHC2121910	2cXtLOiUWyCDebAT65p5cJ	4lgrzShsg2FLA89UM2fdO5
