listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T09:14:48	A Kind Of Magic - Remastered 2011	Queen	GBUM71029621	5RYLa5P4qweEAKq5U1gdcK	1dfeR4HaWDbWqFHLkxsg1d
2022-05-25T09:10:13	Lovers on the Sun (feat. Sam Martin)	David Guetta, Sam Martin	GB28K1400016	2rgtCOVK2tpfao2VjURn84	1Cs0zKBU1kc0i8ypK3B9ai,66AE89GQTx88zLYhXn1wFK
2022-05-25T09:00:43	Hey Brother	Avicii	CH3131340084	4lhqb6JvbHId48OUJGwymk	1vCWHaC5f2uS3yhpwWbIA6
2022-05-25T08:56:15	Dog Days	Dubdogz, Brannco, Rodrigo Luca	TCADU1833484	3o6D9gHkSumEECclUt0tCN	4cdyqaBREB68H77QKCrKP1,27TqtA3DJFLCXv7o8h0GgL,0rfjTf0SkufosBwBlstrL6
2022-05-25T08:51:46	My Life Is Going On - Remix Version	Cecilia Krull, Alok, Jetlag Music, WADD, HOT-Q	ES84S1700605	7ht7UcsH5dlcaFX5pMHycn	4SLEmV2rAQ71Ts0qyDGhE8,0NGAZxHanS9e0iNHpR8f2W,29bg2tYJCCyiuZdbsc9mFh,0fmnyoLAzKdbcWccIqYper,6CO3icJe86W5FK3U73zyyR
2022-05-25T08:44:32	L'Amour Toujours	Gigi D'Agostino	NLS241000174	52LJ3hyknOijCrE5gCD0rE	1OAjDaKgg00KCUYqDe68un
2022-05-25T08:40:28	Shot Me Down (feat. Skylar Grey) - Radio Edit	David Guetta	GB28K1400001	6qVXkG01rBYGfxIndGOQ3z	1Cs0zKBU1kc0i8ypK3B9ai
2022-05-25T08:37:16	New York, New York (feat. Debbie Harry) - Extended	Moby, Debbie Harry	GBAJH0602038	64CWyO7g09fhVSsxqUuWXE	3OsRAKCvk37zwYcnzRf5XF,7FxMjqH6DH056sdsstGeVl
2022-05-25T08:32:47	Wake Me Up	Avicii	SEUM71301326	0nrRP2bk19rLc0orkWPQk2	1vCWHaC5f2uS3yhpwWbIA6
2022-05-25T08:27:21	Played-A-Live (The Bongo Song)	Safri Duo	DKBKA0100501	7uuo02BIR76qZ6ZXQhz7Ys	2UOx6w3eHpPKc3RBnNV3Rl
2022-05-24T21:46:28	Una Rosa Pericolosa - Remastered	Adriano Celentano	DEVU51838915	1BtzuFeQTdAcR1UUW3zWXV	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:27:20	Mi Fa Male	Adriano Celentano	ITR050200234	43CPn7aZ2nxF8TorOaVJvU	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:22:31	Prisencolinensinainciusol - Remastered	Adriano Celentano	DEVU51838912	0fCKXEY5X6pIxoTtIB8LqP	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:18:39	Susanna (Susanna) - Remastered	Adriano Celentano	ITR051200066	7yXG9q5m4uZF8HxHaE1fKH	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:13:52	Storia D'Amore	Adriano Celentano	ITR056900002	6virNIvTC9sciwrjOGa4cv	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:08:56	Un Albero Di Trenta Piani	Adriano Celentano	ITR057200067	3YLkXtqcNzSuwFJKCkg1By	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:04:55	Pregherò (Stand By Me)	Adriano Celentano	ITR056200004	12gjzBLtaBDOqpiLMSprlR	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T21:01:59	Soli	Adriano Celentano	ITR057900001	6WpAIbP1puUQTXsY6rmlGr	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T20:57:55	Azzurro	Adriano Celentano	ITR050300278	5373TY0KPZ5vpjTnOxd74e	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T20:54:14	Una Carezza In Un Pugno	Adriano Celentano	ITR050300366	5qytpSodfa0arNXwt94N7T	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T20:51:18	Svalutation	Adriano Celentano	ITR057601215	6WiWM4l2ykD5m9XJr1U1Ku	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T20:48:10	Il Tempo Se Ne Va	Adriano Celentano	ITR058000013	28B3hPOLvDiW2Hah3Gnnci	1yq9UuPp5DIb5w6eswGbKV
2022-05-24T20:44:32	Il Tempo Se Ne Va	Adriano Celentano	ITR058000013	28B3hPOLvDiW2Hah3Gnnci	1yq9UuPp5DIb5w6eswGbKV
