listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-06T23:44:51	Seven Nation Army	The FifthGuys, Polina Grace	DEXN82064983	4TYtTnLsCL1N2iFipRwkNL	0Jk0TeNXrhhwOMmR2nNyZR,1NHTQwuk3e6uBGMd4V74ug
2022-05-06T23:42:23	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	Jason Derulo, Nicki Minaj, Ty Dolla $ign	USWB11700237	6kex4EBAj0WHXDKZMEJaaF	07YZf4WDAMNwqr4jfgOZ8y,0hCNtLu0JehylgoiP8L4Gh,7c0XG5cIJTrrAgEC3ULPiq
2022-05-06T16:38:43	Moncler	LEO2745, HOODZ	QZTVM2158157	1mTiSUWBsXiAyBTAReWtdt	1MBezd5OaoWoOTQVs16FOx,3y4q2i7dNCUrGM1u3CcHMY
2022-05-06T16:34:30	FALADUKÊ	Piruka, Jimmy P	ES71G2214245	17b8o9O29o3QGTRuprj7nd	5iZ6jMDkRa7RKLQplJuQUC,0Odg6UKDVyJQruefzF19FU
2022-05-02T17:49:27	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	Jason Derulo, Nicki Minaj, Ty Dolla $ign	USWB11700237	6kex4EBAj0WHXDKZMEJaaF	07YZf4WDAMNwqr4jfgOZ8y,0hCNtLu0JehylgoiP8L4Gh,7c0XG5cIJTrrAgEC3ULPiq
2022-05-02T17:47:21	i hate u, i love u (feat. olivia o'brien)	Garrett Nash, Olivia O'Brien	USAT21601051	7vRriwrloYVaoAe3a9wJHe	3iri9nBFs9e4wN7PLIetAw,1QRj3hoop9Mv5VvHQkwPEp
2022-05-02T17:43:09	Trevo (Tu)	ANAVITÓRIA, Diogo Piçarra	BRUM71705074	0o21KBZdbK4M0iY3mBwVmm	1sPg5EHuQXTMElpZ4iUgXe,3tOS3iTJSHwowFPRdR4Wsf
2022-05-02T17:39:12	Natural	Imagine Dragons	USUM71806694	2FY7b99s15jUprqC0M5NCT	53XhwfbYqKCa1cC15pYq2q
2022-05-02T17:36:01	You Give Love A Bad Name	Bon Jovi	USPR39402224	0rmGAIH9LNJewFw7nKzZnc	58lV9VcRSjABbAbfWS6skp
2022-05-02T17:31:48	Heaven	Richie Campbell	PT9AN1700001	3CqELUCD4xPw5ERPXTyPq1	2swvbEAfN70ZFcQB4Y7MaS
2022-05-02T17:27:52	Finesse - Remix; feat. Cardi B	Bruno Mars, Cardi B	USAT21705441	3Vo4wInECJQuz9BIBMOu8i	0du5cEVh5yTK9QJze8zA0C,4kYSro6naA4h99UJvo89HB
2022-05-02T17:24:15	Adventure of a Lifetime	Coldplay	GBAYE1500981	4MFCXniy7I8tj0GXtf3wgC	4gzpq5DPGxSnKTe4SA8HAU
2022-05-02T17:19:50	What A Wonderful World	Louis Armstrong	USMC16758823	1qCQTy0fTXerET4x8VHyr9	19eLuQmk9aCobbVDHc6eek
2022-05-02T17:17:32	Runnin' (Lose It All)	Naughty Boy, Beyoncé, Arrow Benjamin	GBUM71505940	5yZvaUVyuXfSVUaMumFi6l	1bT7m67vi78r2oqvxrP3X5,6vWDO969PvNqNYHIOW5v0m,2RWMTZ0AXNLBbTT2Evtbdj
