listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-27T12:08:55	What I Want	MUNA	USJ5G2100503	7uvxkcv7FWVh4wE91I8Bi2	6xdRb2GypJ7DqnWAI2mHGn
2022-06-27T12:05:03	Crying In Public - MUNA Remix	Madi Diaz, MUNA	USEP42169001	6ouu4XNaN3pQMRo6BUvsaV	7E1o9IcnpiFQDlAUk2H7Az,6xdRb2GypJ7DqnWAI2mHGn
2022-06-27T12:01:25	Anything But Me	MUNA	USJ5G2100510	32JZt8EmiioCGTU6UIXJ4E	6xdRb2GypJ7DqnWAI2mHGn
2022-06-27T11:58:20	Mess It Up	Gracie Abrams	USUG12001931	0PLhwCmQ7cC3ThRGPn3HxF	4tuJ0bMpJh08umKkEXKUI5
2022-06-27T11:54:59	Summerland	half•alive	USRC12102015	0dN3cttUifpkm1Oja79zJr	7sOR7gk6XUlGnxj3p9F54k
2022-06-27T11:51:29	Let U Go	Peach Tree Rascals	QZJ842001740	7FEiuFp1Zo9rxehIquEtL2	0imE3buPhAowREqCrr4CYe
2022-06-27T11:48:46	hiccup	Valley	CAUM72000160	1NfqGbaWcZLor12cITE5Fv	7blXVKBSxdFZsIqlhdViKc
2022-06-27T11:46:09	So Good	Weston Estate	USAR12200229	0ZpHuEhi1CvOJgrqOSy8mv	18CPEToK1OfjJ5B5vDBDKa
2022-06-27T11:44:08	Candyfloss	Alfie Templeman	GBKPL2172066	5Sglaa4CqeCmpLLWFCvu3i	6QzMY3tnu0m56eKUnr4uCF
2022-06-27T11:41:51	try	BETWEEN FRIENDS	QZJ842001752	4qjJYOn5fDUWtC0PpKXV2O	2HkSsS8O2U2gPhnCGVN5vn
2022-06-27T11:39:25	Cutie	COIN	QZJ842001416	4nLTOnpSCBwRlul92HLIyW	0ZxZlO7oWCSYMXhehpyMvE
2022-06-27T11:36:34	Boys	Hippo Campus	QM5BK1900478	7yfLvK7r1w5bql3G0Uha5w	1btWGBz4Uu1HozTwb2Lm8A
2022-06-27T11:32:36	When U Saw Love (ft. Babygirl)	ELIO, Babygirl	QMEZE1948778	2DGdgztVbE3pFmqoF1rHzp	6xgvgzXNv3ymcITXTrxRaA,6Y2m4AEOS9JFrsK2goyg7T
2022-06-27T11:29:38	Adult Movies	Litany	GBKPL2158985	5k3bwPbg6Kiz4bz76vRnyZ	2z6JjrrJKNLilqlx8mlxcc
2022-06-27T11:26:26	Clean	Maude Latour	USWB12102380	2AmVGGu8jIgS7Kn3j6rB0K	3MNLhvqJkWsO6tcjY9ps62
2022-06-27T11:23:05	I Miss When I Smelled Like You	girlpuppy	CAUM82200146	6IhWjoBYe5hvHKA4ZLH4dX	2dV0D4uKMB4c8VhYHzt360
2022-06-27T11:19:36	Am I Alright	Aly & AJ	GBKPL2167896	2OZJWIhTXHL3UKJmhG5kxq	5wugb0kaq0J6nyQ5Xgd17i
2022-06-27T11:16:10	Perfume	Del Water Gap	USQE92100101	3wJAk2rKEEoYlXSLpLVrkU	0xPoVNPnxIIUS1vrxAYV00
2022-06-27T11:12:01	Don't You Want Me	boy pablo, Celine Autumn	NO8WZ2105010	38X5UR1bKeg85ocjyPNAcl	7wbkl3zgDZEoZer357mVIw,6Pp0HjTuD5G0IfcHXqpusQ
2022-06-27T11:09:00	Silk Chiffon	MUNA, Phoebe Bridgers	USJ5G2100501	0BLY78hYpsH9NqP6X0N8CX	6xdRb2GypJ7DqnWAI2mHGn,1r1uxoy19fzMxunt3ONAkG
2022-06-27T11:03:44	All I Ever Asked	Rachel Chinouriri	GBAYE2200182	2F9DCIJ7ZXHhNkiIlIIOkw	4wrzxtBZw20ufDstKyTnnP
2022-06-25T01:40:20	Dizzy (feat. Thomas Headon and Alfie Templeman)	chloe moriondo, Thomas Headon, Alfie Templeman	USAT22105353	3Gplr4iOpewQ9ynbZujzlu	3P4vW5tzQvmuoNaFQqzy9q,0dn62y7ayEAxcIcMcBWXIE,6QzMY3tnu0m56eKUnr4uCF
2022-06-24T11:49:54	One More Weekend	Maude Latour	QZC5P1800248	19YOJKCVvOL7v6B2Oe3UBc	3MNLhvqJkWsO6tcjY9ps62
2022-06-24T11:47:33	Then It All Goes Away	Dayglow	GBKPL2201994	5RaThsdZpF9WWwoP00NjLI	6eJa3zG1QZLRB3xgRuyxbm
2022-06-24T11:44:18	Overpass Graffiti	Ed Sheeran	GBAHS2100673	4btFHqumCO31GksfuBLLv3	6eUKZXaKkcviH0Ku9w2n3V
2022-06-24T11:40:20	Mon Amour - Remix	zzoilo, Aitana	ES5702101693	5TMLavqGRKNxgzMBrVpC9R	7c53ZFyajVMTo08HmvoB6b,7eLcDZDYHXZCebtQmVFL25
2022-06-24T11:37:21	It'll Be Okay	Shawn Mendes	USUM72122321	2KnLkZ3z7PO3kgVGHGqDpD	7n2wHs1TKAczGzO7Dd2rGr
2022-06-24T11:33:37	West Coast	OneRepublic	USUM72202540	0sBJA2OCEECMs0HsdIQhvR	5Pwc4xIPtQLFEnJriah9YJ
2022-06-24T11:29:54	Numb Little Bug	Em Beihold	USUM72200626	3o9kpgkIcffx0iSwxhuNI2	7o2ZQYM7nTsaVdkXY38UAA
2022-06-24T11:27:04	Groundhog Day	Em Beihold	QZHN72175830	0QLb1y64s617SAnnDoUZLN	7o2ZQYM7nTsaVdkXY38UAA
2022-06-24T11:24:10	Guess I'm Going To Hell	Lowell	CAAA12279501	4TETZ56lnLvEpFZmVjsQM1	3MJ2o2vTovueQARKmOzHls
2022-06-24T11:19:54	Dover Beach	Baby Queen	GBUM72101949	5BCYtpbTyUQSMRwDVPb5wk	4VqlewwKZJoIcA88PYHUDd
2022-06-24T11:16:15	Crying In Public - MUNA Remix	Madi Diaz, MUNA	USEP42169001	6ouu4XNaN3pQMRo6BUvsaV	7E1o9IcnpiFQDlAUk2H7Az,6xdRb2GypJ7DqnWAI2mHGn
