listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-23T14:43:54	Mágoa	Fernando Daniel	PTUM71800016	4De19krJP2mEUeRBSrm7AZ	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:43:14	Nada Mais	Fernando Daniel	PTUM71800001	3XaIDqKljGF3KXSpWYQ4pG	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:40:22	Espera	Fernando Daniel	PTUM71700231	40yNT5SxHCDwESmtG98ugc	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:36:53	Fim	Fernando Daniel	PTUM72000032	1BI05ixB0WkBPiCCi3Gbwd	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:33:48	Melodia Da Saudade	Fernando Daniel	PTUM71900183	1K5Tnx7Vj02eC9gJ2A0ZGH	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:28:20	Cair	Fernando Daniel	PTUM72000031	5Z5GVWdBeq4IBC9jOHwYsc	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:24:57	Nada A Perder	Fernando Daniel	PTUM72000034	040QfALz5rEWLNsZDxbPkO	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:21:46	Recomeçar	Fernando Daniel	PTUM72000037	0BKspTHUsWVyoCLApF0N8G	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:18:07	Se Eu	Fernando Daniel, Melim	PTUM71900221	2avAoYtbiI5hw1O2F7skeN	3Cpjz5dY9HNR41QuMn3oYC,6uYrXgVHctAJtIdSODcyLJ
2022-05-23T14:14:51	Nunca	Fernando Daniel	PTUM72000036	71pMnxwLmPtrgmsJIVgOMc	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:11:11	Tal Como Sou	Fernando Daniel	PTUM71900122	3SGjA5nhZKqTfT8sKXroKr	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:08:19	Nada Resulta	Fernando Daniel	PTUM72000035	4zqrngqWEvHPC70xnf70C7	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:04:57	Sem Medo	Fernando Daniel	PTUM72000038	0v2rjttl94cRu2tiUvbfG1	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:02:09	Intro	Fernando Daniel	PTUM72000033	7mrBFb8oK3nxTvSfKTaBMS	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T14:01:20	Melodia Da Saudade	Fernando Daniel	PTUM71900183	1K5Tnx7Vj02eC9gJ2A0ZGH	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T13:56:14	Espera	Fernando Daniel	PTUM71700231	40yNT5SxHCDwESmtG98ugc	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T13:52:45	Nada A Perder	Fernando Daniel, Carlão	PTUM72100739	6uDSJT1ztG94zMh0hJUEg8	3Cpjz5dY9HNR41QuMn3oYC,4byuw0pyzVNeEONKcPIpAA
2022-05-23T13:49:34	Melodia Da Saudade - Radio Edit	Fernando Daniel	PTUM71900182	5qI0ojfBia9ThXpeA4PNLI	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T13:45:01	Se Eu	Fernando Daniel, Melim	PTUM71900221	2avAoYtbiI5hw1O2F7skeN	3Cpjz5dY9HNR41QuMn3oYC,6uYrXgVHctAJtIdSODcyLJ
2022-05-23T13:41:43	Sem Ti	Fernando Daniel, Agir	PTUM72001155	7CegyX2TmLsCHmtOn3BY8P	3Cpjz5dY9HNR41QuMn3oYC,6CDebPALpa0iwJyx0IgnaC
2022-05-23T13:37:57	Encontrar	Fernando Daniel, Piruka	PTUM72100742	0yX2v6cVWzxNX9hOs34Tuk	3Cpjz5dY9HNR41QuMn3oYC,5iZ6jMDkRa7RKLQplJuQUC
2022-05-23T13:34:16	Raro	Fernando Daniel	PTUM72100632	6Bf1zUGbLnxqPRisimCpqp	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T13:31:19	Fim	Fernando Daniel, Carolina Deslandes	PTUM72100738	2TVCq0XpuW4sphbYsokQxq	3Cpjz5dY9HNR41QuMn3oYC,6xolQjWFT24ykWke55u9fU
2022-05-23T13:27:32	Voltas	Fernando Daniel	PTUM71800022	3K53RODdfVk8K9yv3GCPQP	3Cpjz5dY9HNR41QuMn3oYC
2022-05-23T13:23:39	Recomeçar	Fernando Daniel	PTUM72000037	6aMNlSLoCe9lPnn8X60www	3Cpjz5dY9HNR41QuMn3oYC
2022-05-18T10:53:49	Chilling By The Window	LoFi Waiter	FRR642001752	5sqdPEa8MlrOoIXKMtdBO4	5H5W5vmpQSBmQv1uMVor61
2022-05-18T10:42:48	Childhood Fragments	LoFi Waiter	FRR642101663	6Wehv77PezqwbcY5fAdkoz	5H5W5vmpQSBmQv1uMVor61
2022-05-18T10:42:03	The Path of the wind	Otaku	FRR642101153	2IHSMPRArRTCsrFETbb4Ve	4uV63QZhfi1U3oe38acQJA
2022-05-18T10:39:13	Unrushed	LoFi Waiter	FRR642101662	4y5W4FuJra7JYvr10iktxa	5H5W5vmpQSBmQv1uMVor61
2022-05-18T10:38:26	Affection	Jinsang	DEQ121644250	7MdZQXUBijQxcBkYz4G1Z5	5FsfZj0Mp6YwEWytuJUcWt
2022-05-18T10:36:28	Bitcoin	Satoshi Nakamoto	FRR642100017	6ePkfasTvwxhwamEOiBUMp	0sXILwwk9X38em5cacNPUF
2022-05-18T10:34:12	Night Drive	LoFi Waiter	FRR642100029	5ZjkNspQw1OWzKo6p4XJz5	5H5W5vmpQSBmQv1uMVor61
