listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T09:28:04	Más Alcohol	Natos y Waor, Recycled J	GBMA22181255	2Q2El9wpZcH191YKF9sr3b	1QJbbsxg2wqidJj51d3otw,4bWHA8fMNjzfGPQqnh5D6y
2022-05-25T09:24:04	Más Alcohol	Natos y Waor, Recycled J	GBMA22181255	2Q2El9wpZcH191YKF9sr3b	1QJbbsxg2wqidJj51d3otw,4bWHA8fMNjzfGPQqnh5D6y
2022-05-25T08:46:38	Más Alcohol	Natos y Waor, Recycled J	GBMA22181255	2Q2El9wpZcH191YKF9sr3b	1QJbbsxg2wqidJj51d3otw,4bWHA8fMNjzfGPQqnh5D6y
2022-05-25T08:42:52	Más Alcohol	Natos y Waor, Recycled J	GBMA22181255	2Q2El9wpZcH191YKF9sr3b	1QJbbsxg2wqidJj51d3otw,4bWHA8fMNjzfGPQqnh5D6y
2022-05-25T08:38:51	Más Alcohol	Natos y Waor, Recycled J	GBMA22181255	2Q2El9wpZcH191YKF9sr3b	1QJbbsxg2wqidJj51d3otw,4bWHA8fMNjzfGPQqnh5D6y
2022-05-25T08:34:51	Esbarzers	La Gossa Sorda	ES8241427204	7tiu52iT5YeFY7QhOCpmOs	0luDJsRYWbHW2Sj1I5TPrE
2022-05-25T08:30:11	Fuera De Control (En Vivo)	No Te Va Gustar	UYB140710310	6YNstobWK0Pio4NAumJkRH	4ZDoy7AWNgQVmX7T0u0B1j
2022-05-25T08:26:38	Distrito Federal - Vivo en el Palacio de los Deportes	Los Auténticos Decadentes	ARF471200040	49ZEe0b29OurczXr8nthht	3HrbmsYpKjWH1lzhad7alj
2022-05-25T08:23:42	Vull	ZOO	ES8021400133	1N5W9POZOgCS6tph9vH631	7a3ryRcO3alwbqaX4RagzM
2022-05-25T07:58:27	Esta Noche	Tremenda Jauría	ES20S1600046	4QB3WRZCWXvdB04Aqvermj	2PHostfMixbU0kfU62poO8
