listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T23:13:23	Dos Mil 16	Bad Bunny	QM6MZ2214889	4d4ZXH4dr5bYfgErHiZCX2	4q3ewBCX7sLwd24euuV69X
2022-05-16T13:52:17	Enséñame a Bailar	Bad Bunny	QM6MZ2214887	2NMjggapJcXXM7WccGEBUO	4q3ewBCX7sLwd24euuV69X
2022-05-16T13:49:04	Aguacero	Bad Bunny	QM6MZ2214886	2uflssWlCaJ6CbTMOsUpNI	4q3ewBCX7sLwd24euuV69X
2022-05-16T12:33:22	Aguacero	Bad Bunny	QM6MZ2214886	2uflssWlCaJ6CbTMOsUpNI	4q3ewBCX7sLwd24euuV69X
2022-05-16T12:29:21	Moscow Mule	Bad Bunny	QM6MZ2214875	6Xom58OOXk2SoU711L2IXO	4q3ewBCX7sLwd24euuV69X
2022-05-15T20:22:17	Enséñame a Bailar	Bad Bunny	QM6MZ2214887	2NMjggapJcXXM7WccGEBUO	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:59:53	Aguacero	Bad Bunny	QM6MZ2214886	2uflssWlCaJ6CbTMOsUpNI	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:53:51	La Corriente	Bad Bunny, Tony Dize	QM6MZ2214883	1797zYiX4cKosMH836X9Gt	4q3ewBCX7sLwd24euuV69X,3LKXWvXFWrkwUzJWxzwVpW
2022-05-15T18:50:32	Neverita	Bad Bunny	QM6MZ2214882	31i56LZnwE6uSu3exoHjtB	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:47:38	Un Ratito	Bad Bunny	QM6MZ2214879	5CzixCxDkRXX9mScCmah8O	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:44:47	Tití Me Preguntó	Bad Bunny	QM6MZ2214878	1IHWl5LamUGEuP4ozKQSXZ	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:34:29	Moscow Mule	Bad Bunny	QM6MZ2214875	6Xom58OOXk2SoU711L2IXO	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:30:22	Callaita	Bad Bunny, Tainy	QM6N21919851	71wFwRo8xGc4lrcyKwsvba	4q3ewBCX7sLwd24euuV69X,0GM7qgcRCORpGnfcN2tCiB
2022-05-15T18:26:11	Agosto	Bad Bunny	QM6MZ2214896	0wihfILRNOwE2156Shezc8	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:23:51	Un Verano Sin Ti	Bad Bunny	QM6MZ2214895	18HOjcvTVV7W8YzBuOsAPS	4q3ewBCX7sLwd24euuV69X
2022-05-15T18:15:21	Otro Atardecer	Bad Bunny, The Marías	QM6MZ2214891	0E0DRHf5PfMeor0ZCwB3oT	4q3ewBCX7sLwd24euuV69X,2sSGPbdZJkaSE2AbcGOACx
2022-05-15T18:11:17	Moscow Mule	Bad Bunny	QM6MZ2214875	6Xom58OOXk2SoU711L2IXO	4q3ewBCX7sLwd24euuV69X
