listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-28T01:20:37	NESSUNO (feat. Geolier)	Lazza, Geolier	ITUM72200378	0HdrGJfHWYG5A0cNhiMDG4	0jdNdfi4vAuVi7a6cPDFBM,27LlKWxS3KXW7RRAxN5S8s
2022-05-28T00:43:13	4Z	Rkomi	ITUM71701052	1xg4PHGbNxR3v2gxE8SSeF	056KMTw6IztdQjBmFfVyO3
2022-05-28T00:39:38	ARMAGEDDON	Ketama126	ITB002200218	3hCEneoWEdtkYfiWPgbhzr	0pSx3asj3usz5PRt8COo0E
2022-05-27T19:07:50	Parli Di Me	Bresh, Rkomi, SHUNE	ITB002101417	6QogWUhMVjCd8BiEIjf9JK	7FeObngbQ0GY3SojNwKdKn,056KMTw6IztdQjBmFfVyO3,5YV5crRpcdknHgEzystZHr
2022-05-27T19:05:00	Per Un Pugno Di Emozioni	Rkomi	ITUM71800657	1kiXgoHY5UvDmjqHCKhx0S	056KMTw6IztdQjBmFfVyO3
2022-05-27T01:33:50	Per Un Pugno Di Emozioni	Rkomi	ITUM71800657	1kiXgoHY5UvDmjqHCKhx0S	056KMTw6IztdQjBmFfVyO3
2022-05-27T01:26:33	Parli Di Me	Bresh, Rkomi, SHUNE	ITB002101417	6QogWUhMVjCd8BiEIjf9JK	7FeObngbQ0GY3SojNwKdKn,056KMTw6IztdQjBmFfVyO3,5YV5crRpcdknHgEzystZHr
2022-05-25T22:39:05	FIORI	Giaime, Andry The Hitmaker, Lazza	IT1F71900048	500c6DLy4ag8gFAnkuzTxP	3sC3sCpqSYClSdKez9Rs6k,6hb3ftxbKAFsOiNCdFbyzJ,0jdNdfi4vAuVi7a6cPDFBM
2022-05-25T20:30:23	Blu (feat. Elisa)	Rkomi, Elisa	ITUM71900215	0Q4v8N758nx98YxObfqkNC	056KMTw6IztdQjBmFfVyO3,2ARH58Hit3yC6ziGdhma23
2022-05-25T20:27:38	Mon Cheri (feat. Sfera Ebbasta)	Rkomi, Sfera Ebbasta	ITUM71900223	66UkKyxN5YbJl9z7YamQOR	056KMTw6IztdQjBmFfVyO3,23TFHmajVfBtlRx5MXqgoz
2022-05-25T20:24:35	Oh Mama	Rkomi	ITDF61777057	6M7epb5g32b1JmUaQBHTQJ	056KMTw6IztdQjBmFfVyO3
2022-05-25T20:21:16	Mai Più	Rkomi	ITUM71701043	1JEsJvSxeh1svbRuikxRBE	056KMTw6IztdQjBmFfVyO3
2022-05-25T20:17:32	HO SPENTO IL CIELO (con TOMMASO PARADISO)	Rkomi, Tommaso Paradiso	ITUM72100202	4oGcVv1MEgDJaQayTh3PKU	056KMTw6IztdQjBmFfVyO3,47z0zz9ZMCn9GBiPRTn5Bc
2022-05-25T20:13:39	Blu Part II (con Rkomi)	Elisa, Rkomi	ITUM71901176	2ZfN2wRHwwbFd7Ok0L3wQ6	2ARH58Hit3yC6ziGdhma23,056KMTw6IztdQjBmFfVyO3
2022-05-25T20:10:02	Acqua Calda E Limone (feat. Ernia)	Rkomi, Ernia	ITUM71800659	2OIXm3ZM0pbSXQYrq9C5RN	056KMTw6IztdQjBmFfVyO3,3fhMfkPPzksWuw0hEm4ldm
2022-05-25T17:19:55	Polo nord - C+N Progressive Mix	Massimo Pericolo, Crookers, Nic Sarno	ITRWL1900078	1Wbc0N0X1zkFqnKGcj8Quh	1El4YQA8oCXX7ynFSxRTFq,3o1cwVQfiDWafhYA02k13C,3PbxfXGwcCLn85zVQK1ulo
2022-05-25T17:02:38	MAI PIÙ - MTV Unplugged	Rkomi	ITUM72101027	652I5wtpOglT1I4ndRGr2m	056KMTw6IztdQjBmFfVyO3
2022-05-25T15:14:22	TAXI DRIVER	Rkomi	ITUM72100213	76grDEw6GTI7ZoP0XV1qtX	056KMTw6IztdQjBmFfVyO3
2022-05-25T11:33:24	SIAMO RAGAZZU	fantahouse	QZFZ32258951	7FluC0cEpmpyWEAlXMbrCT	4KpMCwaKuRFMJ9wtf9gujd
2022-05-24T23:19:16	STO BENE	PSICOLOGI	ITLGE2000020	46koDbgm48mkLwjPsSrTef	0fskdccy6fvnWMNMNPqEro
