listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-24T22:35:32	Portas do Sol	Nena	PTBM12000152	1iL2qN1fpyE9MxUhUUu0O4	561qBVd91ZPE9yCURXt7BB
2022-07-24T21:24:07	The Greatest Show	Panic! At The Disco	USAT21811534	0APYlBDN2CGNzXzKbzYlE7	20JZFwl6HVl6yg8a4H3ZqK
2022-07-24T21:21:12	Into the Unknown - Panic! At The Disco Version	Panic! At The Disco	USWD11994800	421eObjg0DTm2qajJl5OJm	20JZFwl6HVl6yg8a4H3ZqK
2022-07-24T16:01:25	Like My Father	Jax	USAT22102090	5YVmHTAsdWnoanWXB7AwZX	7DQYAz99eM3Y5PkP9WtUew
2022-07-24T15:49:33	Pancakes for Dinner	Lizzy McAlpine	GBKPL2001719	4HffeEF97c6UxNePgbuECW	1GmsPCcpKgF9OhlNXjOsbS
2022-07-24T15:45:37	Heart Attack (Acoustic Version)	Alex G	GBDMT1300763	2XVTvf5VEvXL3kdcCCK25d	2WWTUZ3LpcAAPhSEz3H0rg
2022-07-24T15:30:35	Heart Attack (Acoustic Version)	Alex G	GBDMT1300763	2XVTvf5VEvXL3kdcCCK25d	2WWTUZ3LpcAAPhSEz3H0rg
2022-07-24T14:40:19	Portas do Sol	Nena	PTBM12000152	1iL2qN1fpyE9MxUhUUu0O4	561qBVd91ZPE9yCURXt7BB
2022-07-24T09:32:14	Portas do Sol	Nena	PTBM12000152	1iL2qN1fpyE9MxUhUUu0O4	561qBVd91ZPE9yCURXt7BB
2022-07-24T09:13:24	The Greatest Show	Panic! At The Disco	USAT21811534	0APYlBDN2CGNzXzKbzYlE7	20JZFwl6HVl6yg8a4H3ZqK
2022-07-24T09:10:29	Into the Unknown - Panic! At The Disco Version	Panic! At The Disco	USWD11994800	421eObjg0DTm2qajJl5OJm	20JZFwl6HVl6yg8a4H3ZqK
2022-07-23T21:21:03	Heart Attack (Acoustic Version)	Alex G	GBDMT1300763	2XVTvf5VEvXL3kdcCCK25d	2WWTUZ3LpcAAPhSEz3H0rg
2022-07-23T21:07:58	Portas do Sol	Nena	PTBM12000152	1iL2qN1fpyE9MxUhUUu0O4	561qBVd91ZPE9yCURXt7BB
2022-07-23T21:04:08	The Greatest Show	Panic! At The Disco	USAT21811534	0APYlBDN2CGNzXzKbzYlE7	20JZFwl6HVl6yg8a4H3ZqK
2022-07-23T21:01:13	Into the Unknown - Panic! At The Disco Version	Panic! At The Disco	USWD11994800	421eObjg0DTm2qajJl5OJm	20JZFwl6HVl6yg8a4H3ZqK
2022-07-23T20:58:03	idontwannabeyouanymore	Billie Eilish	USUM71707712	41zXlQxzTi6cGAjpOXyLYH	6qqNVTkY8uBg9cP3Jd7DAH
2022-07-22T21:05:31	The One	Kodaline	GBARL1401580	0My8NPmENHrN5W7OfgZnZJ	4BxCuXFJrSWGi1KHcVqaU4
2022-07-22T20:43:06	Everything Works Out in the End	Kodaline	GBARL1401591	45IFvFqHG8oiEK1fAYdNw1	4BxCuXFJrSWGi1KHcVqaU4
2022-07-22T20:39:41	High Hopes	Kodaline	GBDVX1200014	6KkyuDhrEhR5nJVKtv9mCf	4BxCuXFJrSWGi1KHcVqaU4
2022-07-22T17:01:14	High Hopes	Kodaline	GBDVX1200014	6KkyuDhrEhR5nJVKtv9mCf	4BxCuXFJrSWGi1KHcVqaU4
2022-07-22T16:02:48	All I Want	Kodaline	GBDVX1200008	0NlGoUyOJSuSHmngoibVAs	4BxCuXFJrSWGi1KHcVqaU4
