listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-10T09:34:35	God Must Hate Me	Catie Turner	USAT22107483	21xzFXSL2XkZ2mIzDDAqTK	3nYYI90ObxhjLjdxaoXGSa
2022-05-10T09:32:07	Numb Little Bug	Em Beihold	USUM72200626	3o9kpgkIcffx0iSwxhuNI2	7o2ZQYM7nTsaVdkXY38UAA
2022-05-10T09:18:28	Numb Little Bug	Em Beihold	USUM72200626	3o9kpgkIcffx0iSwxhuNI2	7o2ZQYM7nTsaVdkXY38UAA
2022-05-10T09:18:03	I Love You So	The Walters	TCACC1438995	4SqWKzw0CbA05TGszDgMlc	027TpXKGwdXP7iwbjUSpV8
2022-05-10T09:15:25	Overwhelmed (Ryan Mack Remix)	Ryan Mack	IERZR2100004	03eyNjBM2mpx28H6kdaufN	5LGo1zHegJTWzqVXgeNplt
2022-05-10T09:13:44	we fell in love in october	girl in red	GBKPL1828677	1BYZxKSf0aTxp8ZFoeyM3d	3uwAm6vQy7kWPS2bciKWx9
2022-05-10T09:10:40	Numb Little Bug	Em Beihold	USUM72200626	3o9kpgkIcffx0iSwxhuNI2	7o2ZQYM7nTsaVdkXY38UAA
2022-05-10T09:07:51	Heavy	Peach PRC	USUM72121080	4UMWqTR58mUBRkFQkc0tle	006j2rer9tZJCYniu7SaWS
2022-05-10T09:05:07	Jigsaw	Conan Gray	USUM72200064	1WzOonguDKuWQrTTf5yR0D	4Uc8Dsxct0oMqx0P6i60ea
2022-05-10T09:01:39	Overwhelmed (Ryan Mack Remix)	Ryan Mack	IERZR2100004	03eyNjBM2mpx28H6kdaufN	5LGo1zHegJTWzqVXgeNplt
2022-05-10T08:59:59	I Love You So	The Walters	TCACC1438995	4SqWKzw0CbA05TGszDgMlc	027TpXKGwdXP7iwbjUSpV8
2022-05-10T08:57:20	Funeral	Phoebe Bridgers	USJ5G1714203	3rJDsZjIaCfJQSqRUvl0BM	1r1uxoy19fzMxunt3ONAkG
2022-05-10T08:53:30	Surface Pressure	Jessica Darrow	USWD12112914	760jhRscwGbIIe1m1IIQpU	4vdAAzZBUKbsrvHi6UR7B7
2022-05-10T08:50:10	Train Wreck	James Arthur	DEE861600590	55Am8neGJkdj2ADaM3aw5H	4IWBUUAFIplrNtaOHcJPRM
2022-05-10T08:46:42	Sara	We Three	GB5ZK1900018	0zSemnpoUFdtesuHTZ3ifv	5oYuKMBiaAc0W8Gt7FVIjb
2022-05-10T08:43:13	God Must Hate Me	Catie Turner	USAT22107483	21xzFXSL2XkZ2mIzDDAqTK	3nYYI90ObxhjLjdxaoXGSa
2022-05-10T08:40:46	Scars To Your Beautiful	Alessia Cara	USUM71506811	0wI7QkCcs8FUQE1OkXUIqd	2wUjUUtkb5lvLKcGKsKqsR
2022-05-10T08:36:58	The Way You Felt	Alec Benjamin	USAT22101715	6XdHZr9iXdqc4Q76wtgbqr	5IH6FPUwQTxPSXurCrcIov
2022-05-10T08:32:51	Habit	Louis Tomlinson	GBHMU1900057	3As9Uyx1ZYKbdcEn3d7zma	57WHJIHrjOE3iAxpihhMnp
2022-05-10T08:29:35	Funeral	Phoebe Bridgers	USJ5G1714203	3rJDsZjIaCfJQSqRUvl0BM	1r1uxoy19fzMxunt3ONAkG
2022-05-10T08:25:45	Strawberries & Cigarettes	Troye Sivan	AUUM71701204	3afkJSKX0EAMsJXTZnDXXJ	3WGpXCj9YhhfX11TToZcXP
2022-05-10T08:20:03	midnight love	girl in red	GBKPL2092453	4ys4z4bBUtTmzfjWtYnoli	3uwAm6vQy7kWPS2bciKWx9
2022-05-10T08:16:51	Slow Hands	Niall Horan	USUG11700631	2cOUlop2ZakjOKe4WinesN	1Hsdzj7Dlq2I7tHP7501T4
2022-05-10T08:13:45	Set Me Free	Joshua Bassett	USWB12104881	3AMQKTsIR0ukMOXvPkwaKz	4VdV2qRAYBLINR6uU72V1J
2022-05-10T08:09:44	We Made It	Louis Tomlinson	GBHMU1900051	3tCYlGxMS5ht2g3vB36SiJ	57WHJIHrjOE3iAxpihhMnp
2022-05-10T07:57:57	When	dodie	QMBZ92061370	161iaO13CvAJ3IZC2EtAEQ	21TinSsF5ytwsfdyz5VSVS
2022-05-09T21:57:20	When	dodie	QMBZ92061370	161iaO13CvAJ3IZC2EtAEQ	21TinSsF5ytwsfdyz5VSVS
2022-05-09T21:54:57	feelings are fatal	mxmtoon	QM42K1793196	6GGdkwYk4NXuiIcQD16AZg	0HthCchcL0kVLHTr113Vk1
2022-05-09T21:02:32	feelings are fatal	mxmtoon	QM42K1793196	6GGdkwYk4NXuiIcQD16AZg	0HthCchcL0kVLHTr113Vk1
2022-05-09T21:00:43	i wanna be your girlfriend	girl in red	GBLFP1815318	3h3pOvw6hjOvZxRUseB7h9	3uwAm6vQy7kWPS2bciKWx9
2022-05-09T20:57:20	Too Much To Ask	Niall Horan	USUG11701396	39jXnbACjiaiTwwhsr5sY5	1Hsdzj7Dlq2I7tHP7501T4
2022-05-09T20:53:39	Girls Like Girls	Hayley Kiyoko	USUYG1060445	3dNjUFt6EFU4Gq6Q5vfJqf	3LjhVl7GzYsza1biQjTpaN
2022-05-09T20:49:51	Pancakes for Dinner	Lizzy McAlpine	GBKPL2001719	4HffeEF97c6UxNePgbuECW	1GmsPCcpKgF9OhlNXjOsbS
2022-05-09T20:45:59	Party Tattoos	dodie	GBLFP1797931	3UCOHhnYLVw2ODokTTtaka	21TinSsF5ytwsfdyz5VSVS
2022-05-09T20:42:23	Somewhere Only We Know	Keane	GBAAN0300664	1SKPmfSYaPsETbRHaiA18G	53A0W3U0s8diEn9RhXQhVz
2022-05-09T20:38:28	girls	girl in red	GBLFP1858237	1kqc6U8hVYZhY0gFGQclCz	3uwAm6vQy7kWPS2bciKWx9
2022-05-09T20:35:09	High Hopes	Panic! At The Disco	USAT21801174	1rqqCSm0Qe4I9rUvWncaom	20JZFwl6HVl6yg8a4H3ZqK
2022-05-09T20:32:07	Pretty Girl - Cheat Codes X CADE Remix	Maggie Lindemann, Cheat Codes, CADE	QMCE31701175	1NDxZ7cFAo481dtYWdrUnR	0uGk2czvcpWQA383Im6ajf,7DMveApC7UnC2NPfPvlHSU,0CEK8AzyeD5ZUdUloB6yQV
2022-05-09T20:28:56	Good Time	Owl City, Carly Rae Jepsen	USUM71206288	1kPpge9JDLpcj15qgrPbYX	07QEuhtrNmmZ0zEcqE9SF6,6sFIWsNpZYqfjUpaCgueju
2022-05-09T20:25:32	cardigan	Taylor Swift	USUG12002836	4R2kfaDFhslZEMJqAFNpdd	06HL4z0CvFAxyc27GXpf02
2022-05-09T20:21:34	Only the Brave	Louis Tomlinson	GBHMU1900062	7A7RygcHdNH0iJHgwteajF	57WHJIHrjOE3iAxpihhMnp
2022-05-09T20:19:50	Somewhere Only We Know	Keane	GBAAN0300664	1SKPmfSYaPsETbRHaiA18G	53A0W3U0s8diEn9RhXQhVz
