listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-17T02:47:38	Fica	Domingues	QZHN42066446	5x2NQmYWyqExdyyXjNIWh3	7BcPoZhXI08icbiq1mpxFx
2022-05-17T02:43:17	Cara Que Engana	Deejay Telio, Julinho Ksd	ES71G2210024	1DHSj9pjlwGsVTQ2A2Z8gk	7BWNRZyZ9mhgp5t0m7Ny0n,7kR1Yw4RqYhhDD3a8QRyG6
2022-05-17T02:40:17	Moça	Ivandro	PT9GN2100011	57rx7d5tagl2wOWzj3eWJc	1pPbDeOdNUcLq32HTTLbZm
2022-05-16T15:01:41	Moça	Ivandro	PT9GN2100011	57rx7d5tagl2wOWzj3eWJc	1pPbDeOdNUcLq32HTTLbZm
2022-05-16T14:50:03	Rover (feat. Lil Tecca)	S1mba, Lil Tecca	GBAYE2000576	6E6RS1uUDxxYiWMmEKrxnh	71jSVPQ6yskfyvWeiwvT5s,4Ga1P7PMIsmqEZqhYZQgDo
2022-05-16T14:47:16	GUUD	T-Rex	PT2JP2100004	2Ug7Rcy1Cd9Z0y4RqGgPNk	6QHREBOQktWsYBfrxW93rk
2022-05-16T14:43:56	Where Are You Now	Lost Frequencies, Calum Scott	BEHP42100067	3uUuGVFu1V7jTQL60S1r8z	7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX
2022-05-16T14:38:26	Kikando e Me Olhando	MC Braz, MC Tairon, Dj Win	BX9L12200053	4a0sqvCBo7aRIS4GzBQpnp	7htxZTR76qcXYJylEmkLiJ,7ujbuq6hAjLSf7cGr6au0b,04NtfTeul9H9B41tPvF3MG
2022-05-16T14:29:28	Hospedeira	Julinho Ksd, Deezy, T-Rex	PT1II2100003	64Oa8tg2cdXm9Zu4SmRf1f	7kR1Yw4RqYhhDD3a8QRyG6,6EoXtJUmzYqNzkMVH1o5gN,6QHREBOQktWsYBfrxW93rk
2022-05-16T14:25:01	Maliblue	FRVRFRIDAY	QZHN31922730	1JCV7SiJnORJRrPmrbSrPX	2jwmP4TgzTGqjCfcXMDayW
2022-05-16T14:20:29	Holiday	KSI	QMRSZ2101354	14Bcv6siTBPw3TlP84dasC	1nzgtKYFckznkcVMR3Gg4z
2022-05-16T14:17:15	SUMMER AT 7	Russ	USSM11904227	5iVMvLDFM5UBqq2h1ouHoe	1z7b1Pr1rSlvWRzsW3HOrS
2022-05-16T12:13:31	Willy Wonka (feat. Paulina & Jafé)	Russ, Paulina, Jafé	TCACF1536739	0OwqNxhVtO6lSw2XAxdhgX	1z7b1Pr1rSlvWRzsW3HOrS,5Vc4qPnItSUWhOZl7J6yUa,6E1GacsEfYwK4LimhoWlSH
2022-05-16T11:55:41	Maliblue	FRVRFRIDAY	QZHN31922730	1JCV7SiJnORJRrPmrbSrPX	2jwmP4TgzTGqjCfcXMDayW
2022-05-16T11:51:13	My Lover	Not3s	GBARL1701586	3yZEMDt7gMEmM5KQNY9eby	40NRiKuuhj1pgGYppptlBO
2022-05-16T11:43:50	Amor de Fim de Noite	Orochi, Papatinho	BX02F2000014	1Nmcs8zk7LfcvHRgLtTM5J	3rfM2cGqF6DB0kUyytMkXx,0iZz25uH5PLaShpqq84uYv
2022-05-12T19:55:16	Let You Go	Richie Campbell	PT9AN2200001	2Z8pPatBfVlRqNlsnmMdhV	2swvbEAfN70ZFcQB4Y7MaS
2022-05-12T19:54:07	Romance de Cinema	Domingues	PT4IJ2000011	0WmSoWksyfhCME62WhkP2U	7BcPoZhXI08icbiq1mpxFx
2022-05-12T19:50:11	Where Are You Now	Lost Frequencies, Calum Scott	BEHP42100067	3uUuGVFu1V7jTQL60S1r8z	7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX
2022-05-12T19:47:42	3,14	Gson, Slow J, Sam The Kid	ES71G2119939	1OjAoIz5Gl36rzm9RKEQeG	6XjHGcba7ZbaZ6nYtwhaCj,7crp1tZcefnjT5RuL6WZQ0,3NEQ5t2FprBMLmDAP0EPcE
2022-05-12T19:42:17	Deixa Só	Trx Music, Young Family	ushm91639125	4Ug86pdTgTHMrutGMryGkN	4ZOunshXOi8EEWkc32KKHD,6lXu4oUV5OEgN1Tju5CQz9
2022-05-12T19:37:38	Hospedeira	Julinho Ksd, Deezy, T-Rex	PT1II2100003	64Oa8tg2cdXm9Zu4SmRf1f	7kR1Yw4RqYhhDD3a8QRyG6,6EoXtJUmzYqNzkMVH1o5gN,6QHREBOQktWsYBfrxW93rk
2022-05-12T19:33:12	R&bsr&b$	T-Rex	ES71G1870108	0F8t8J0hAtZyBs9oWLnCGI	6QHREBOQktWsYBfrxW93rk
2022-05-12T19:29:15	Perco-me em Ti	Myles 6ix	QZFYW1969118	1BTXScHQY272ouT3tjg0z0	2PGHvstK1cEjR9AX2ERq9l
2022-05-12T19:26:27	GUUD	T-Rex	PT2JP2100004	2Ug7Rcy1Cd9Z0y4RqGgPNk	6QHREBOQktWsYBfrxW93rk
2022-05-12T19:23:41	Cara Que Engana	Deejay Telio, Julinho Ksd	ES71G2210024	1DHSj9pjlwGsVTQ2A2Z8gk	7BWNRZyZ9mhgp5t0m7Ny0n,7kR1Yw4RqYhhDD3a8QRyG6
2022-05-12T19:20:41	Imagina	FRANKIEONTHEGUITAR, Slow J, Ivandro	PT9GN2100005	2dWbucCC3cVXQWi6JaL7js	4p2ytjUztJseG5ujVkv5Po,7crp1tZcefnjT5RuL6WZQ0,1pPbDeOdNUcLq32HTTLbZm
2022-05-12T19:16:57	Blame It On Me	Richie Campbell	PT9AN1200016	14OMwxQYP1kjise1JlBj6q	2swvbEAfN70ZFcQB4Y7MaS
2022-05-12T19:14:13	Borboletas	Gama WNTD	GBLFP2116211	1h1JMmAzXR6lWJ7KnJQkU7	0T49oz78JYl4FkVJPGlJiD
2022-05-12T19:10:47	22:22	X-Tense	TCADW1851416	4RKnBQXe4hFIn4Sxt9prRU	7JajP35zM35gnAvTZbwxDF
2022-05-12T19:06:03	Tsunami	Richie Campbell, Gson	PT9AN2100001	5TqGewrmzgeb21FYQC7mJZ	2swvbEAfN70ZFcQB4Y7MaS,6XjHGcba7ZbaZ6nYtwhaCj
2022-05-12T19:01:05	Rover (feat. Lil Tecca)	S1mba, Lil Tecca	GBAYE2000576	6E6RS1uUDxxYiWMmEKrxnh	71jSVPQ6yskfyvWeiwvT5s,4Ga1P7PMIsmqEZqhYZQgDo
2022-05-12T18:58:18	Volta	T-Rex	PT2JP2100006	275Brpw83x3q0mBa9MpCx3	6QHREBOQktWsYBfrxW93rk
2022-05-12T18:54:16	SKY (feat. Boogie)	Russ, WESTSIDE BOOGIE	USSM12002537	74OjcDDHAlNuCQbAKC1KwL	1z7b1Pr1rSlvWRzsW3HOrS,5usbqiU7sjvszjWecANDL6
2022-05-12T18:50:42	Holiday	KSI	QMRSZ2101354	14Bcv6siTBPw3TlP84dasC	1nzgtKYFckznkcVMR3Gg4z
2022-05-12T18:47:28	Bossy	Lhast	PT2HP2100001	45cbUgJwFXYPN3tURnSH2l	46uaNKR4GSjmDEK732EeVw
2022-05-12T18:44:41	Lua	Ivandro	PT9GN2200001	7BELSQR2lAJLELaKvVkct3	1pPbDeOdNUcLq32HTTLbZm
2022-05-12T18:41:28	Vibranium	Chunkz, Neji	QZDA71850203	2YBywWeiTiso2SuSg8PWTG	3Lpx3ZSrsLeaVD9zKtGPiG,4Zpw485tk1ubdqIBe6GX9O
2022-05-12T18:37:59	Fica	Domingues	QZHN42066446	5x2NQmYWyqExdyyXjNIWh3	7BcPoZhXI08icbiq1mpxFx
2022-05-12T18:33:38	You	KSI	QMRSZ2100338	06QA8Xuohn6vAX1CQiY030	1nzgtKYFckznkcVMR3Gg4z
2022-05-12T18:30:05	Loose (feat. KSI)	S1mba, KSI	GBAYE2000842	0G9vbgmLrDqjV4NUCSrsIg	71jSVPQ6yskfyvWeiwvT5s,1nzgtKYFckznkcVMR3Gg4z
2022-05-12T18:27:32	Nós	Myles 6ix	ES71G2106515	14PBWx7Rw87WXVzXarDqiX	2PGHvstK1cEjR9AX2ERq9l
2022-05-12T18:22:53	Range Rover	Bazanji	QZNWQ2098067	0fMMXNjaKdIvdYU8JaKvAJ	3L8FZaw2Rg1oUw3vB4gUME
2022-05-12T18:19:52	00 Fala Bonito	Papillon	PT2HA2000006	3ZJC7xO1GdWF5rj8VqXU2C	0Mum6waR8P9WICLVTpSi1d
2022-05-12T18:16:19	PRA MIM	T-Rex	PT2JP2200010	1wxLvOhDguWTLAJN0HW87J	6QHREBOQktWsYBfrxW93rk
2022-05-12T18:13:45	Hrs & Hrs	Muni Long	QZAKB2136210	3M5azWqeZbfoVkGXygatlb	7tjVFCxJdwT4NdrTmjyjQ6
2022-05-12T18:10:20	Let You Go	Richie Campbell	PT9AN2200001	2Z8pPatBfVlRqNlsnmMdhV	2swvbEAfN70ZFcQB4Y7MaS
2022-05-11T10:31:59	Over (feat. 11 LIT3S)	Lhast, 11 LIT3S	PT2HP1800001	0rvU5cckq58dEknkEsKMK2	46uaNKR4GSjmDEK732EeVw,50No0TeRGyxmVamViFd4Dq
2022-05-11T10:27:16	Mood	T-Rex	ES71G1870113	7i2dZ58qOAoXA71RF05G5m	6QHREBOQktWsYBfrxW93rk
