listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-25T07:39:06	Midnight	Toby Sebastian, Florence Pugh	UKXN22192798	4gqnJeeFu2GbOnHawPjWHn	2E2qYypdcZVQTeZKesefNP,0wU0ByZ6OSInRD0ZmVfcIq
2022-07-25T07:38:52	Angel Eyes	Christine Baranski, Julie Walters, Amanda Seyfried	GBUM71801877	6ERUsU7mPnu6sUQptDACkA	1L4nOFaQKejFy75REi9BKh,5Yi0y4bNdc04Oxk9l6nwXa,5RZjpmuD14JKXvB8Ry1G1u
2022-07-25T07:38:11	Crash My Car	COIN	USSM11902799	0X5mtNbqxbiTYkwj0CQc2f	0ZxZlO7oWCSYMXhehpyMvE
2022-07-25T07:38:07	Cinema	Harry Styles	USSM12200616	35TyJIMR3xRouUuo2sjS6v	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:33:56	Canyon Moon	Harry Styles	USSM11912595	5IhzJOXNE7ki0IIJbZbnGq	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:30:46	Daylight	Harry Styles	USSM12200613	51Zw1cKDgkad0CXv23HCMU	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:28:00	Late Night Talking	Harry Styles	USSM12200610	1qEmFfgcLObUfQm0j1W2CK	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:24:55	Golden	Harry Styles	USSM11912586	45S5WTQEGOB1VHr1Q4FuPl	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:21:25	Lights Up	Harry Styles	USSM11910404	4jAIqgrPjKLTY9Gbez25Qb	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:18:27	Matilda	Harry Styles	USSM12200615	6uvh0In7u1Xn4HgxOfAn8O	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:14:21	Treat People With Kindness	Harry Styles	USSM11912594	03mMSLEJCPoGJwQhHpN5y0	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:10:53	Adore You	Harry Styles	USSM11912588	3jjujdWJ72nww5eGnfs2E7	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:07:23	Sign of the Times	Harry Styles	USSM11703595	5Ohxk2dO5COHF1krpoPigN	6KImCVD70vtIoJWnq6nGn3
2022-07-25T07:01:28	Love Of My Life	Harry Styles	USSM12200621	1mw0RgNXIpYRyyCdBQbLgA	6KImCVD70vtIoJWnq6nGn3
2022-07-25T06:58:14	Kiwi	Harry Styles	USSM11703958	33SNO8AaciGbNaQFkxvPrW	6KImCVD70vtIoJWnq6nGn3
2022-07-25T06:55:19	Watermelon Sugar	Harry Styles	USSM11912587	6UelLqGlWMcVH1E5c4H7lY	6KImCVD70vtIoJWnq6nGn3
