listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-20T09:08:33	Ojitos Lindos	Bad Bunny, Bomba Estéreo	QM6MZ2214888	3k3NWokhRRkEPhCzPmV8TW	4q3ewBCX7sLwd24euuV69X,5n9bMYfz9qss2VOW89EVs2
2022-06-18T14:10:52	Vou Falar Que Não Quero - Remix	DJ Lucas Beat, Vitor Fernandes	BCSG12100008	0YluTOlBctnpHPABgFSXEw	2zWqENF4cnsd1nLmraG9IE,3TJGVUkSJzk5ZPixMFczZX
2022-06-18T14:08:44	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)	Martin Garrix, Macklemore, Fall Out Boy	NLM5S1900528	7Feaw9WAEREY0DUOSXJLOM	60d24wfXkVzDSfLS6hyCjZ,3JhNCzhSMTxs9WLGJJxWOY,4UXqAaa6dQYAk18Lv7PEgX
2022-06-18T14:05:57	ACORDA PEDRINHO	Jovem Dionisio	BCDJT2200002	2sUhjzuc6w4SRFwoC3LvXZ	4m5LghDfOKFZNEBZ0GO1OQ
2022-06-18T14:01:13	Leave	Post Malone	USUM71614496	5dI1yHSqgmilFEqpGbqxHh	246dkjvS1zLTtiykXe5h60
2022-06-18T13:55:48	My Favorite Part	Mac Miller, Ariana Grande	USWB11601441	66wkCYWlXzSTQAfnsPBptt	4LLpKhyESsyAXpc4laK94U,66CXWjxzNUsdJxJ2JdwvnR
2022-06-18T13:52:11	Feel Alive - Radio Edit	Jean Elan, Cosmo Klein	DEKR31100010	7qJ1gRlyAi0BC856wtLe9P	3NCduRZyQ6McDZus9mEQ6z,4tzTHSSGpobu0p7I6lfJeJ
2022-06-18T13:46:52	Juramento eterno de sal	Álvaro De Luna	ES5152001096	23E53f3C9SJ9MqBh1f6hEw	5N3YDBGT2gUzXgLDTwPRi5
2022-06-17T10:31:28	El Incomprendido	Farruko, Victor Cardenas, Dj Adoni	USSD12100701	493Rk3iS7rs8uPfpnfm95u	329e4yvIujISKGKz1BZZbO,00CMSJdbf36zOzKB3z8JrR,3JfbHWZ07sSBjbojTU2hAt
2022-06-15T18:48:56	Velha Infância - 2004 Digital Remaster	Tribalistas	BRONE0400003	1mSxbLW7fKABfeY4lGpg0E	4laQz4PaKeh2Hu6QL6evVD
