listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-23T11:34:18	s!r! (feat. Lazza & Sfera Ebbasta)	thasup, Lazza, Sfera Ebbasta	ITB002200635	3gUzi41YOt3VExeyHSLsMj	19i93sA0D7yS9dYoVNBqAA,0jdNdfi4vAuVi7a6cPDFBM,23TFHmajVfBtlRx5MXqgoz
2022-07-22T18:19:40	Cascare nei tuoi occhi	Ultimo	IT1O71800364	60oJSn5MTG2VNvCJKwd65M	3hN3iJMbbBmqBSAMx5veDa
2022-07-22T18:18:15	Quei ragazzi	Ultimo	ITU7T2100012	1HnUnEY0slQKsVKekaqZ5I	3hN3iJMbbBmqBSAMx5veDa
2022-07-22T18:14:49	Dove il mare finisce	Ultimo	IT1O71800367	4VWyOKIxLsvjkL3PEjFjuh	3hN3iJMbbBmqBSAMx5veDa
2022-07-22T18:11:28	Buongiorno vita	Ultimo	ITU7T2100002	14rcy4M0wqiPHiCaT8U1Ju	3hN3iJMbbBmqBSAMx5veDa
2022-07-21T11:28:12	WOAW - feat. Salmo	DJ TREEPLO, Salmo	ITB002101439	77N9HTxta6wLhJMj5KmuYi	68zhfroQU8MwS3DiuWBRRh,3hBQ4zniNdQf1cqqo6hzuW
2022-07-21T11:25:57	Easy On Me	Adele	USSM12105970	0gplL1WMoJ6iYaPgMCL0gX	4dpARuHxo51G3z768sgnrY
2022-07-21T11:22:11	GIOVANI MAI	MOBRICI	ITUM72200835	2zK7t7ZyzdykkkgdXPlD9t	3BV0pd7wPcsLQzO2rNiupd
2022-07-20T22:21:26	Hit 'Em Up - Single Version	2Pac, Outlawz	USUG10801475	0Z2J91b2iTGLVTZC4fKgxf	1ZwdS5xdxEREPySFridCfh,2jp3Fk52x0HbymU0lNYbSC
2022-07-19T15:32:13	Vita Sperduta	Fast Animals and Slow Kids	ITCV32208413	4s2JGsbchZ8fNiqhIPjCZq	2n92OcdDhE5g2CpDI1rjH6
2022-07-19T15:30:43	WOAW - feat. Salmo	DJ TREEPLO, Salmo	ITB002101439	77N9HTxta6wLhJMj5KmuYi	68zhfroQU8MwS3DiuWBRRh,3hBQ4zniNdQf1cqqo6hzuW
2022-07-19T15:11:36	Easy On Me	Adele	USSM12105970	0gplL1WMoJ6iYaPgMCL0gX	4dpARuHxo51G3z768sgnrY
2022-07-19T15:07:40	Easy On Me	Adele	USSM12105970	0gplL1WMoJ6iYaPgMCL0gX	4dpARuHxo51G3z768sgnrY
2022-07-19T15:03:55	GIOVANI MAI	MOBRICI	ITUM72200835	2zK7t7ZyzdykkkgdXPlD9t	3BV0pd7wPcsLQzO2rNiupd
2022-07-17T17:37:05	I Tuoi Particolari	Ultimo	IT1O71900459	0psAGFzUF64N2Ae4gMExzu	3hN3iJMbbBmqBSAMx5veDa
