listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T21:25:36	Started	Iggy Azalea	USUYG1246313	4NOFSrIM6LhBl2MyKvFVtp	5yG7ZAZafVaAlMTeBybKAL
2022-05-16T21:21:50	Confetti (feat. Saweetie)	Little Mix, Saweetie	GBHMU2100002	4oXV7uPMrMNSZfLMYtiqIX	3e7awlrlDSwF3iM0WBjGMp,6cK3NBO6uP7hh0oyuVELFl
2022-05-16T21:18:44	Cruel Summer	Taylor Swift	USUG11901472	1BxfuPKGuaTgP7aM0Bbdwr	06HL4z0CvFAxyc27GXpf02
2022-05-16T21:15:25	Levitating (feat. DaBaby)	Dua Lipa, DaBaby	GBAHT2000942	5nujrmhLynf4yMoMtj8AQF	6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk
2022-05-16T21:10:41	See You Again	Miley Cyrus	USHR10723141	3AjyOYxBv8bByfBtG5o9dP	5YGY8feqx7naU7z4HrwZM6
2022-05-16T19:53:17	Rumors (feat. Cardi B)	Lizzo, Cardi B	USAT22104137	6KgtcmCF9Ky68XC7ezxl3s	56oDRnqbIiwx4mymNEv7dS,4kYSro6naA4h99UJvo89HB
2022-05-16T19:50:25	Get Into It (Yuh)	Doja Cat	USRC12101535	0W6I02J9xcqK8MtSeosEXb	5cj0lLjcoR7YOSnhnX0Po5
2022-05-16T19:47:13	Sweetest Pie	Megan Thee Stallion, Dua Lipa	QMCE32200232	7mFj0LlWtEJaEigguaWqYh	181bsRPaVXVlUKXrxwZfHK,6M2wZ9GZgrQXHCFfjv46we
2022-05-16T19:43:51	Oh My God	Adele	USSM12105973	3Kkjo3cT83cw09VJyrLNwX	4dpARuHxo51G3z768sgnrY
2022-05-16T15:26:49	Greedy	Ariana Grande	USUM71602108	7aLT0tLcS40Penaplqu2cZ	66CXWjxzNUsdJxJ2JdwvnR
2022-05-16T15:22:59	As It Was	Harry Styles	USSM12200612	4LRPiXqCikLlN15c3yImP7	6KImCVD70vtIoJWnq6nGn3
2022-05-16T15:17:18	she's all i wanna be	Tate McRae	USRC12103120	0IuVhCflrQPMGRrOyoY5RW	45dkTj5sMRSjrmBSBeiHym
2022-05-16T15:12:25	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
2022-05-16T14:11:50	hope ur ok	Olivia Rodrigo	USUG12101250	1zejeOnykpCoyVSit6Bwp3	1McMsnEElThX1knmY4oliG
2022-05-16T14:08:21	favorite crime	Olivia Rodrigo	USUG12101249	5JCoSi02qi3jJeHdZXMmR8	1McMsnEElThX1knmY4oliG
2022-05-16T14:05:49	jealousy, jealousy	Olivia Rodrigo	USUG12101248	0MMyJUC3WNnFS1lit5pTjk	1McMsnEElThX1knmY4oliG
2022-05-16T14:02:55	happier	Olivia Rodrigo	USUG12101247	2tGvwE8GcFKwNdAXMnlbfl	1McMsnEElThX1knmY4oliG
2022-05-16T13:59:59	enough for you	Olivia Rodrigo	USUG12101246	2TOzTqQXNmR2zDJXihjZ2e	1McMsnEElThX1knmY4oliG
2022-05-16T13:56:37	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-05-16T13:53:39	deja vu	Olivia Rodrigo	USUG12101240	6HU7h9RYOaPRFeh0R3UeAr	1McMsnEElThX1knmY4oliG
2022-05-16T13:50:03	1 step forward, 3 steps back	Olivia Rodrigo	USUG12101244	4wcBRRpIfesgcyUtis7PEg	1McMsnEElThX1knmY4oliG
2022-05-16T13:47:19	drivers license	Olivia Rodrigo	USUG12004749	5wANPM4fQCJwkGd4rN57mH	1McMsnEElThX1knmY4oliG
2022-05-16T13:43:17	traitor	Olivia Rodrigo	USUG12101243	5CZ40GBx1sQ9agT82CLQCT	1McMsnEElThX1knmY4oliG
2022-05-16T13:39:28	brutal	Olivia Rodrigo	USUG12101242	6SRsiMl7w1USE4mFqrOhHC	1McMsnEElThX1knmY4oliG
2022-05-16T13:37:05	Grace Kelly	MIKA	USC7R0600006	2SDx0PooHZI1SQKR0y44bs	5MmVJVhhYKQ86izuGHzJYA
2022-05-16T13:30:33	Hip hop (sou eu e és tu)	Boss AC	PTNS10500005	1RfaTRgFsTrzupWmRrBhvT	2AiLSd9HXwfFwO9g00s2hk
2022-05-16T13:25:12	Fake	Lauv, Conan Gray	GBKPL2025498	4Gt2kh3QbAGU6yquOWn4aW	5JZ7CnR6gTvEMKX4g70Amv,4Uc8Dsxct0oMqx0P6i60ea
2022-05-16T13:22:45	Happier Than Ever - Edit	Billie Eilish	USUM72116908	32BeYxKPrig1LefHsC0Xuo	6qqNVTkY8uBg9cP3Jd7DAH
