listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-23T08:22:09	Bruxelles je t’aime	Angèle	BE8HB2100003	0iqk44gA8PaId0Fwa6eesN	3QVolfxko2UyCOtexhVTli
2022-06-23T08:16:57	Magnets	Disclosure, Lorde	GBUM71503568	7nRmfGNhHKEEu5o8yFXLXt	6nS5roXSAGhTGr34W6n7Et,163tK9Wjr9P9DmM0AVK7lm
2022-06-22T18:01:54	Fever	Dua Lipa, Angèle	GBAHT2000834	3wJVBz7gvGTwTWVAxFa6ny	6M2wZ9GZgrQXHCFfjv46we,3QVolfxko2UyCOtexhVTli
2022-06-22T18:00:53	Running Up That Hill (A Deal With God)	Kate Bush	GBCNR8500002	75FEaRjZTKLhTrFGsfMUXR	1aSxMhuvixZ8h9dK9jIDwL
2022-06-22T13:25:17	Fallen Fruit	Lorde	NZUM72100181	5iUnomffoLeQsdlY2k5TDU	163tK9Wjr9P9DmM0AVK7lm
2022-06-22T13:15:00	Stoned at the Nail Salon	Lorde	NZUM72100180	38Zs2b75JPNB2tS7O7JQnS	163tK9Wjr9P9DmM0AVK7lm
2022-06-22T08:29:16	Magnets	Disclosure, Lorde	GBUM71503568	7nRmfGNhHKEEu5o8yFXLXt	6nS5roXSAGhTGr34W6n7Et,163tK9Wjr9P9DmM0AVK7lm
2022-06-22T08:27:52	Pure Shores	All Saints	GBAAP0000001	6ZLGthToczpvnL5Eoy6yrY	5TDVKqW9uhqGjwwwKGuma4
2022-06-22T08:22:49	California	Lorde	NZUM72100179	4TYPnvjBbEfcDkk1UxpvYB	163tK9Wjr9P9DmM0AVK7lm
2022-06-22T08:19:36	Stoned at the Nail Salon	Lorde	NZUM72100180	38Zs2b75JPNB2tS7O7JQnS	163tK9Wjr9P9DmM0AVK7lm
2022-06-22T08:15:09	Secrets from a Girl (Who's Seen it All)	Lorde	NZUM72100182	1toRu029yjgrleWg2w3gNU	163tK9Wjr9P9DmM0AVK7lm
2022-06-22T08:11:31	Renegade (feat. Taylor Swift)	Big Red Machine, Taylor Swift	US38Y2141505	73W5aXorr5vxrySFcoZqIN	7gXy60xRcwYujBFoYHnR2O,06HL4z0CvFAxyc27GXpf02
2022-06-21T23:25:06	Mood Ring	Lorde	NZUM72100187	7rb4dcBfW0m1LQQcDCh4Hv	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T23:11:25	A World Alone	Lorde	NZUM71300128	55N0YHhO55Q1lWsc4dDPcI	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T21:29:01	A World Alone	Lorde	NZUM71300128	55N0YHhO55Q1lWsc4dDPcI	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T18:55:18	A World Alone	Lorde	NZUM71300128	55N0YHhO55Q1lWsc4dDPcI	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T17:45:42	BREAK MY SOUL	Beyoncé	USSM12206234	2KukL7UlQ8TdvpaA7bY3ZJ	6vWDO969PvNqNYHIOW5v0m
2022-06-21T13:16:34	California	Lorde	NZUM72100179	4TYPnvjBbEfcDkk1UxpvYB	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T08:31:09	Magnets	Disclosure, Lorde	GBUM71503568	7nRmfGNhHKEEu5o8yFXLXt	6nS5roXSAGhTGr34W6n7Et,163tK9Wjr9P9DmM0AVK7lm
2022-06-21T08:29:09	Pure Shores	All Saints	GBAAP0000001	6ZLGthToczpvnL5Eoy6yrY	5TDVKqW9uhqGjwwwKGuma4
2022-06-21T08:24:40	California	Lorde	NZUM72100179	4TYPnvjBbEfcDkk1UxpvYB	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T08:20:54	Stoned at the Nail Salon	Lorde	NZUM72100180	38Zs2b75JPNB2tS7O7JQnS	163tK9Wjr9P9DmM0AVK7lm
2022-06-21T08:16:34	Secrets from a Girl (Who's Seen it All)	Lorde	NZUM72100182	1toRu029yjgrleWg2w3gNU	163tK9Wjr9P9DmM0AVK7lm
2022-06-20T19:15:42	Love Song	Sara Bareilles	USSM10700066	4E6cwWJWZw2zWf7VFbH7wf	2Sqr0DXoaYABbjBo9HaMkM
2022-06-20T18:57:42	Dani California	Red Hot Chili Peppers	USWB10600700	10Nmj3JCNoMeBQ87uw5j8k	0L8ExT028jH3ddEcZwqJJ5
2022-06-20T18:52:50	UP NO MORE	TWICE	US5TA2000136	1LiNP5q2thWScdvCRkJ584	7n2Ycct7Beij7Dj7meI4X0
2022-06-20T18:49:08	Make Me Feel	Janelle Monáe	USAT21800745	5gW5dSy3vXJxgzma4rQuzH	6ueGR6SWhUJfvEhqkvMsVs
2022-06-20T18:44:33	Fever	Dua Lipa, Angèle	GBAHT2000834	3wJVBz7gvGTwTWVAxFa6ny	6M2wZ9GZgrQXHCFfjv46we,3QVolfxko2UyCOtexhVTli
2022-06-20T18:41:55	Ti sento	Ligabue	ITQ000200023	3bSqwulBNtALwSJ7DotnJt	7H8ZC8uHJMPZGLMApRRNIz
2022-06-20T18:36:33	24시간이 모자라	SUNMI	US5TA1400008	2HLohseraYUuuP9Jgz6pZ7	6MoXcK2GyGg7FIyxPU5yW6
2022-06-20T18:33:11	INVU	TAEYEON	KRA302200026	7rXcCpIAoOUCydkVDMcoPV	3qNVuliS40BLgXGxhdBdqu
2022-06-20T18:27:45	INVU	TAEYEON	KRA302200026	7rXcCpIAoOUCydkVDMcoPV	3qNVuliS40BLgXGxhdBdqu
2022-06-20T17:03:46	INVU	TAEYEON	KRA302200026	7rXcCpIAoOUCydkVDMcoPV	3qNVuliS40BLgXGxhdBdqu
2022-06-20T16:52:57	DALLA DALLA	ITZY	US5TA1900013	38rUIlTX93Aoif3WcY1wv6	2KC9Qb60EaY0kW4eH68vr3
2022-06-20T16:49:37	Hit The Lights	Selena Gomez & The Scene	USHR11132670	6ciLLh4TkPYDUfNxn2Z0KO	6dJeKm76NjfXBNTpHmOhfO
2022-06-20T16:44:23	Reason	KAI	KRA302000605	5x2p715xYEKn2AdV9pNv52	6iVo62B0bdTknRcrktCmak
2022-06-20T16:41:29	Work Bitch	Britney Spears	USRC11301398	3KliPMvk1EvFZu9cvkj8p1	26dSoYclwsYLMAKD3tpOr4
2022-06-20T16:36:42	Wasabi	Little Mix	GBHMU1800097	7IOuCLt770D8v0u3SVaDeI	3e7awlrlDSwF3iM0WBjGMp
2022-06-18T15:50:11	Starry Night - Edit	Peggy Gou	GBJX31975003	2NeSirLM2VHQW4upn0nMfB	2mLA48B366zkELXYx7hcDN
