listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-22T18:41:23	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T18:39:28	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T18:37:33	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:54:36	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:52:40	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:50:46	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:48:51	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:46:56	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:45:01	Maybe My Soulmate Died	iamnotshane	GBKPL2298438	7N1bEUVuQo8HHuikDgJ10c	3jN7f9X0EmFnsbRS6nl6as
2022-06-22T16:34:58	下一位前度 in Ab major	Terence Lam	HKH611900001	2KogAeAixsmxIzDmMHKhjY	3tvtGR8HzMHDbkLeZrFiBI
2022-06-22T16:30:23	吉隆坡下雪	Namewee	MYDG11300006	3gXjJZ6AlVz1C1MNJm7kGM	24jrxG0tKcwgAzsLuPzyMi
2022-06-22T16:25:07	E先生 連環不幸事件	Edan 呂爵安	HKG482110460	06sDxr7MbbwFyTP1f6rvvl	5jewGMrZtMNJk5OsZ61Cpo
2022-06-22T16:20:39	難道喜歡處女座	Terence Lam	HKC991900015	3Culhf5uvEDZQhaK3AhFqn	3tvtGR8HzMHDbkLeZrFiBI
