listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T22:43:40	I Found	Amber Run	GBARL1400303	5zT5cMnMKoyruPj13TQXGx	0MmnmsAuQKRFpo6vJElcaU
2022-05-16T01:47:53	Bigcitydreams	Never Shout Never	US4K30800108	30FGIXPjm30vX2KqbrIO2q	5pUmXBIQtqpvdV1HAy2xYC
2022-05-16T01:45:02	Flutua	Johnny Hooker, Liniker e os Caramelows	USHM21738880	1vrZkMnH8avpqJDEiXmPwJ	7qmf5YAQYjfjBF9C7kkjzs,5ZtyHkAGvYFPSYcWPfmL5n
2022-05-16T01:39:49	Volta amor	Anitta	BRWMB1500181	2SzpTcsY2jdMDbNkYDtv6Y	7FNnA9vBm6EKceENgCGRMb
2022-05-16T01:37:13	No More Parties In LA	Kanye West	USUM71603085	0zLClc0emc6qUeV1p5nc99	5K4W6rqBFWDnAN6FQUkS6x
2022-05-16T01:30:59	Sick Feeling	boy pablo	NOV7L1802020	3lk13KpxuQkAWEZMb4A4DL	7wbkl3zgDZEoZer357mVIw
2022-05-16T01:28:22	Don't Be a Fuck Boy	Netherfriends, Blake Rules	QM4DW1630770	0XVum2ypOSNAnsdeKkija1	5nYfBUxnHtI6LAp32fl9qY,5cdbXEnJgop6zjIxn4ljZ8
2022-05-16T01:24:49	Priice Tag	Desiigner	USUM71803024	0w7IgpqkxKyRBTqGuQbZNp	7pFeBzX627ff0VnN6bxPR4
2022-05-16T01:22:58	Come Running Back	Dean Martin	USQX91301945	3EQM6RIkUZ3nVI8mTVwIvY	49e4v89VmlDcFCMyDv9wQ9
2022-05-16T01:20:51	Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Badinerie	The St. Petersburg Soloists	DEB790401222	7z4MTXmVc21m3k30q6h1SL	11K9yxwc8iVyEh0ya9v9XY
2022-05-16T01:19:20	La Vie En Rose	Daniela Andrade	TCACD1552971	0VxocBntP1XTZRsR9ZURPS	0WfaItAbs4vlgIA1cuqGtJ
2022-05-16T01:17:34	Estou além	António Variações	PTVC19700013	4wuaLybXodnM3oL8ij1Mq1	5fgtcrHICBqlrkHtSWWu0F
2022-05-16T01:12:29	Blessings (feat. Etana)	Alborosie, Etana	USVPR1400272	4T1YRV5aIiOD7i0TB9yKKA	78u1jLVBjPSXQVmHBV43yG,6oF8gXhgD5ZTQ0biyaw4Cm
2022-05-16T01:08:53	Anaconda	Nicki Minaj	USCM51400260	5eqiMMbaeUZ32Q7sS00H35	0hCNtLu0JehylgoiP8L4Gh
2022-05-16T01:04:31	Children's Story	Slick Rick	USDJ28800032	15HgR9Ht4obJOcMG4wregp	1W9qOBYRTfP7HcizWN43G1
2022-05-16T01:00:30	Come Out and Play	The Offspring	USEP40312207	5JJDu0Z5DKe7mR31MGksSg	5LfGQac0EIXyAN8aUwmNAQ
2022-05-16T00:57:11	I Take a Lot of Pride in What I Am	Dean Martin	USQX91301955	1NAUXbQoeuFpzTs1tSurBG	49e4v89VmlDcFCMyDv9wQ9
2022-05-16T00:53:57	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-05-16T00:50:39	Lonely Day	System Of A Down	USSM10505340	1VNWaY3uNfoeWqb5U8x2QX	5eAWCfyUhZtHHtBdNk56l1
2022-05-16T00:47:50	So Sad, So Sad	Varsity	QM4DW1587324	5rKor0rlCbaA7j755zhnhb	339XMxg3AyRbEfeIAlxB2c
2022-05-16T00:43:58	You're Nobody Till Somebody Loves You	Dean Martin	USQX91301938	2Q9gMRzQF3PTuJ3dCVVwmx	49e4v89VmlDcFCMyDv9wQ9
2022-05-16T00:42:01	SAD!	XXXTENTACION	USUG11800208	3ee8Jmje8o58CHK66QrVC2	15UsOTVnJzReFVN1VCnxy4
2022-05-16T00:39:01	U Turn	Mick Jenkins	QMKSC1800193	3m4uDi8X57XVTzAjb9btNh	1FvjvACFvko2Z91IvDljrx
2022-05-16T00:36:14	Freicken	Chico da Tina	PTRO11900241	4sw7RJtpQqwRWkEfPqLVhj	7xDYCf4fsGxHBp8Blo9D94
2022-05-16T00:34:19	Hard Piano	Pusha T, Rick Ross	USUM71807368	3HgA5R5alihocnOYE9ihpS	0ONHkAv9pCAFxb0zJwDNTy,1sBkRIssrMs1AbVkOJbc7a
2022-05-15T00:13:38	Marceline	WILLOW	QMJMT1500797	0RCpze7hmowZIGUJs9Dm7w	3rWZHrfrsPBxVy692yAIxF
2022-05-15T00:10:58	Aerials	System Of A Down	USSM10107264	4e9eGQYsOiBcftrWXwsVco	5eAWCfyUhZtHHtBdNk56l1
2022-05-15T00:07:02	I Need to Smoke	D'african	TCADN1850916	04I5iy7gzVI7V1pQqBFMvX	7wbY7yXS4tIoKE5iXoOV8z
2022-05-15T00:03:45	Mona Lisa	monte booker, Naji	QM24S1650426	5KqbsqDW0xgOpZDVxKQPZk	4p75GTNEXwsAAkpweMVtKo,31QM5dBtewZL65p9hCnXKK
2022-05-15T00:00:39	Drinkin' Champagne	Dean Martin	USQX91302636	6SSK87ASKgjNT6KILs1D9C	49e4v89VmlDcFCMyDv9wQ9
2022-05-14T23:58:04	HUMBLE.	Kendrick Lamar	USUM71703085	7KXjTSCq5nL1LoYtL7XAwS	2YZyLoL8N0Wb9xBt1NhZWg
2022-05-13T14:30:20	That Girl	Maxi Priest, Shaggy	USVI29600012	2NFTEx9YLvWs4fWgKD0mZ9	3aTuTR5Nf6pVW3837q2ZL7,5EvFsr3kj42KNv97ZEnqij
2022-05-12T18:50:19	Location	Khalid	TCACO1662934	152lZdxL1OR0ZMW6KquMif	6LuN9FCkKOj5PcnpouEgny
2022-05-12T18:46:48	House (feat. Mick Jenkins)	EARTHGANG, Mick Jenkins	USUYG1156647	0ntHEP3DJyS2qgJgqbWNxh	5MbNzCW3qokGyoo9giHA3V,1FvjvACFvko2Z91IvDljrx
2022-05-11T20:35:24	Não sou obrigada	POCAH	BRWMB1900332	0nkDm27DGppCSk8dnGtvPa	11iQCRz636WFdHj42qxAF6
2022-05-11T19:55:14	Ela É do Tipo	MC Kevin o Chris	US7VG1976621	2x8TNY9KwNvD19gVGs4WOP	2UMj7NCbuqy1yUZmiSYGjJ
2022-05-11T19:51:48	Fuleragem	MC WM	BXPYA1800029	6tuzPD1zPPvwMbGiD0TBay	14D0I0RYqvIorkPL2EWoQh
2022-05-11T19:49:26	Minha Vara	Mc Nick, MC Careca	US7VG1500394	4ix0uLxF1DE7WQRhvluLC9	3ShnwaSECgcrXtWIe3A9Mz,4Yfr2By4QxPHgU1SieC90f
2022-05-11T19:47:04	O Grave Bater	MC Kevinho	BRKO11700001	6cEJheMNRySY0kBB31jtdk	1mXAhKnZEdF6rotyyd4GBi
2022-05-11T19:44:01	Oh Nanana	Bonde R300	US7VG1770309	3ao5U0ksMLvgSoJqOpsgmv	5rhznZjKfSxtKVqB0JZtpC
2022-05-11T19:40:23	Agora vai sentar	MC's Jhowzinho & Kadinho	BXSMW1701062	0MWKXvUVtvOKamfqRpnAdp	2Q4r4Epfaaho06ONTHx7OS
2022-05-11T19:36:36	Parado no Bailão	MC L da Vinte, MC Gury	QZ5AB2004464	3Hb9kUdm4yf839Fle4RIdT	0lHB0Qc4pmD5RkTLlHeESo,6fOyYqdh6p0ZWLs9zUDoyt
2022-05-11T19:33:44	Encaixa	MC Kevinho, Leo Santana	BRKO11700100	6VXpxDMdPfMrFF8UmZRm87	1mXAhKnZEdF6rotyyd4GBi,7KVJCU4z5L4EUHILL8aMxR
2022-05-11T19:30:54	Solteiro Até Morrer	MC Kekel	BRKO11700068	1SMZyO0PUy8TNKqqNa9Hxb	2ZXnTEyYopSLCDiz5Z0XIf
2022-05-11T19:27:45	Vai Luan, Rainha dos Faixa Preta	Mc Brunyn, Mc Moana	QZGLM2066508	2epD7jzjNfrQYxdSaODCvF	4wwEIIZHZG4WFy0PfZnKTn,6mvvdYsewi0vnz6JYfE9D9
2022-05-11T19:25:03	Vai Embrazando	ZAAC, MC Vigary	US7VG1710688	41RtcX3L4Ee6AzgZEBkMFC	76Xa625geVw0Q7BdyxNjA2,7kT7skfOOZaxMm52OqW2Oe
2022-05-11T19:22:16	Deu Onda	MC G15	QZ5AB1644871	0HiOQzcBkMLj2t5m3ghcbm	3Nipsl6GVwwGyeAk0J29C6
2022-05-11T19:19:52	Sua Cara (feat. Anitta & Pabllo Vittar)	Major Lazer, Anitta, Pabllo Vittar	QMUY41700062	5gUFvcHTgDNthj7DmZl2L7	738wLrAtLtCtFOLvQBXOXp,7FNnA9vBm6EKceENgCGRMb,6tzRZ39aZlNqlUzQlkuhDV
