listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-18T10:56:31	Cannibal	Kesha	USRC11000876	3JTMWdhcJPiegDSe7SvZS3	6LqNN22kT3074XbTVUrhzX
2022-07-18T10:53:16	Remember That Night?	Sara Kays	USAT22007230	1nYzjrdVQ8RpF93M0jPFW7	7Lk9V7E1u5gqSHmtcKlOqH
2022-07-18T10:50:32	Wildest Dreams	Taylor Swift	USCJY1431379	3fVnlF4pGqWI9flVENcT28	06HL4z0CvFAxyc27GXpf02
2022-07-17T19:07:27	Dark Red	Steve Lacy	GBKPL1778015	37y7iDayfwm3WXn5BiAoRk	57vWImR43h4CaDao012Ofp
2022-07-17T19:04:33	Cigarette Daydreams	Cage The Elephant	USRC11301169	6jHvX8ZnHKC1PnrPMJ0Emt	26T3LtbuGT1Fu9m0eRq5X3
2022-07-17T19:00:04	Cpr	cupcakKe	TCACZ1762108	35mBYyB61qTcGGj7MXIRM1	76SlrtEaq2oViRXulxjfuM
2022-07-17T18:56:36	feel something	Bea Miller	USHR11939250	7JDWhC422Gtk1Bq0mL3OTC	1o2NpYGqHiCq7FoiYdyd1x
2022-07-17T17:37:42	Unlock it (Lock It) - feat. Kim Petras and Jay Park	Charli XCX, Kim Petras, Jay Park	GBAHS1701206	3qGHAKgjQruzj6doKkyEb5	25uiPmTg16RbhZWAqwLBy5,3Xt3RrJMFv5SZkCfUE8C1J,4XDi67ZENZcbfKnvMnTYsI
2022-07-17T17:37:00	Slumber Party (feat. Princess Nokia)	Ashnikko, Princess Nokia	GBAYE2000706	11ZulcYY4lowvcQm4oe3VJ	3PyJHH2wyfQK3WZrk9rpmP,6lay1nwbE6hTx1jivysUAL
2022-07-17T17:33:33	I AM WOMAN	Emmy Meli	USAR12100239	3nOz1U41SZZ0N3fuUWr9nb	71szvmFWd7TUa7b6XmXj9k
2022-07-17T17:29:40	Hayloft	Mother Mother	CAL450882108	2kS6td1yvmpNgZTt1q5pQq	0e86yPdC41PGRkLp2Q1Bph
2022-07-17T17:26:38	abcdefu	GAYLE	USAT22103652	4fouWK6XVHhzl78KzQ1UjL	2VSHKHBTiXWplO8lxcnUC9
2022-07-17T17:22:48	Bang Bang Bang Bang	Sohodolls	GBHGV0700025	1MPMUZopRX9DFx3HXToTKG	1KNXft7nnRQj82sENi7WGN
2022-07-15T23:34:25	Heather	Conan Gray	USUM71924264	4xqrdfXkTW4T0RauPLv3WA	4Uc8Dsxct0oMqx0P6i60ea
2022-07-15T23:31:31	Maneater	Nelly Furtado	USUM70601449	4wH4dJgrsxONID6KS2tDQM	2jw70GZXlAI8QzWeY2bgRc
2022-07-15T23:27:12	Nuestra Canción	Monsieur Periné, Vicente Garcia	COSO11500079	5reQI13tWWYDLMrGcUF4Mk	36KsCCwgI0Dep97yVJWmkK,2Otnykd696YidQYfEGVmNq
2022-07-15T23:22:51	Runaway	AURORA	GBUM71500527	1v1oIWf2Xgh54kIWuKsDf6	1WgXqy2Dd70QQOU7Ay074N
2022-07-15T23:18:42	As the World Caves In	Sarah Cothran	QZHNB2115936	2xXNLutYAOELYVObYb1C1S	3kft86DbqCNr7rjq3pEj0G
2022-07-15T21:21:47	You Are Enough	Sleeping At Last	USGES1480007	1Wdj4wRDYS7aT4CoPS0mAH	0MeLMJJcouYXCymQSHPn8g
2022-07-15T21:17:44	Yucky Blucky Fruitcake	Doechii	QZK6K2014718	1j3SdMJfeRJXycCp50boYE	4E2rKHVDssGJm2SCDOMMJB
2022-07-15T21:13:08	I'm not Pretty	JESSIA	QZFYW2140933	3promGTTwsn1N5D6RzaFMV	6DdbeAeBlrYj8bNToZv4TY
2022-07-15T21:11:09	Heart Of Glass (Live from the iHeart Festival)	Miley Cyrus	USRC12003345	5i7ThJfYLAzp2DyZuFpF6j	5YGY8feqx7naU7z4HrwZM6
2022-07-15T21:07:36	Backyard Boy	Claire Rosinkranz	QZHN62022495	04F42oEuKrRComYJfJuyVR	3V0ZQW0dNuVaFtbVYgSI24
2022-07-15T21:05:26	Never Forget You	Noisettes	GBUM70817778	3xxmjMvJsSR3L7mUOxP9QA	6oX4tx055oEFYM3ahDTyOD
2022-07-15T13:36:33	Never Forget You	Noisettes	GBUM70817778	3xxmjMvJsSR3L7mUOxP9QA	6oX4tx055oEFYM3ahDTyOD
2022-07-15T13:31:17	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-07-15T13:27:55	Nuestra Canción	Monsieur Periné, Vicente Garcia	COSO11500079	5reQI13tWWYDLMrGcUF4Mk	36KsCCwgI0Dep97yVJWmkK,2Otnykd696YidQYfEGVmNq
2022-07-15T13:23:35	Bezos I	Bo Burnham	USA2P2122060	5aszL9hl6SBzFNsOvw8u8w	2Waw2sSbqvAwK8NwACNjVo
2022-07-15T13:16:35	Why'd You Only Call Me When You're High?	Arctic Monkeys	GBCEL1300370	086myS9r57YsLbJpU0TgK9	7Ln80lUS6He07XvHI8qqHH
2022-07-15T13:12:58	Bubblegum Bitch	MARINA	GBFFS1200008	6IbnUaczZBT34DhaD6S18F	6CwfuxIqcltXDGjfZsMd9A
2022-07-15T13:10:33	Dancing With Your Ghost	Sasha Alex Sloan	USRC11901644	1TQXIltqoZ5XXyfCbAeSQQ	4xnihxcoXWK3UqryOSnbw5
2022-07-15T13:04:11	death bed (coffee for your head)	Powfu, beabadoobee	USSM12000925	7eJMfftS33KTjuF7lTsMCx	6bmlMHgSheBauioMgKv2tn,35l9BRT7MXmM8bv2WDQiyB
2022-07-15T12:54:45	Rät	Penelope Scott	QZK6F2019397	4blPH3Uy89WnOnYlIv7Ev4	3u6lPufHw4Oww6D88rv6sB
2022-07-15T12:51:25	Rät	Penelope Scott	QZK6F2019397	4blPH3Uy89WnOnYlIv7Ev4	3u6lPufHw4Oww6D88rv6sB
2022-07-15T12:48:11	Yucky Blucky Fruitcake	Doechii	QZK6K2014718	1j3SdMJfeRJXycCp50boYE	4E2rKHVDssGJm2SCDOMMJB
2022-07-15T11:58:22	I'm not Pretty	JESSIA	QZFYW2140933	3promGTTwsn1N5D6RzaFMV	6DdbeAeBlrYj8bNToZv4TY
2022-07-15T11:55:40	Heart Of Glass (Live from the iHeart Festival)	Miley Cyrus	USRC12003345	5i7ThJfYLAzp2DyZuFpF6j	5YGY8feqx7naU7z4HrwZM6
2022-07-15T11:51:55	Backyard Boy	Claire Rosinkranz	QZHN62022495	04F42oEuKrRComYJfJuyVR	3V0ZQW0dNuVaFtbVYgSI24
2022-07-15T11:49:46	Never Forget You	Noisettes	GBUM70817778	3xxmjMvJsSR3L7mUOxP9QA	6oX4tx055oEFYM3ahDTyOD
2022-07-15T11:46:33	money machine	100 gecs, Laura Les, Dylan Brady	USAT22000415	61bwFjzXGG1x2aZsANdLyl	6PfSUFtkMVoDkx4MQkzOi3,3sklFG9fuDAq3vbIZlkNH6,2Cm6C9PNHioyjRKBfO7n9N
2022-07-15T09:33:17	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-07-15T09:30:18	Daisy	Ashnikko	GBAYE2000596	0AUvWawuP0ibk4SQ3sIZjk	3PyJHH2wyfQK3WZrk9rpmP
2022-07-15T09:27:50	Dancing With Your Ghost	Sasha Alex Sloan	USRC11901644	1TQXIltqoZ5XXyfCbAeSQQ	4xnihxcoXWK3UqryOSnbw5
2022-07-15T09:24:32	Mad at Disney	salem ilese	QMEZE2076989	7aGyRfJWtLqgJaZoG9lJhE	3QJUFtGBGL05vo0kCJZsmT
2022-07-15T09:22:16	Castaways	The Backyardigans	USA820500093	6uDBSDI9pDM7C4Gm0hc2hI	0NFlmEJpgyF2sO4mtlwFfl
2022-07-15T09:19:32	Campus	Vampire Weekend	GBBKS0700530	5dUFfk2cwD8GiJPS03mYN0	5BvJzeQpmsdsFp4HGUYUEx
2022-07-15T09:16:36	Michelle	Sir Chloe	QZDA41967250	3sa1wUB8FAkoH95MGPGBWI	6rniTPs9zN26kYnkPdFl1U
2022-07-15T09:13:00	t r a n s p a r e n t s o u l feat. Travis Barker	WILLOW, Travis Barker	QMJMT2103571	1QL7nSDZCwZMnbisV4KOXt	3rWZHrfrsPBxVy692yAIxF,4exLIFE8sISLr28sqG1qNX
2022-07-15T09:10:13	Rät	Penelope Scott	QZK6F2019397	4blPH3Uy89WnOnYlIv7Ev4	3u6lPufHw4Oww6D88rv6sB
2022-07-15T07:32:51	Two Birds	Regina Spektor	USWB10901899	2n0U2OG5d6TuW5mKx7YrC0	3z6Gk257P9jNcZbBXJNX5i
2022-07-15T07:31:57	Nobody	Mitski	USJ5G1815009	2P5yIMu2DNeMXTyOANKS6k	2uYWxilOVlUdk4oV9DvwqK
2022-07-15T07:27:29	space girl	Frances Forever	QZFZ72019335	7FjIYiD53wxlQmzTT6Wdpf	5uuqghaOBgtv92jDyDveQl
2022-07-15T07:22:40	Freak	Doja Cat	USRC12002580	3aA6xB0tOilDDX17fIJ0Bl	5cj0lLjcoR7YOSnhnX0Po5
2022-07-15T07:17:55	Hayloft	Mother Mother	CAL450882108	2kS6td1yvmpNgZTt1q5pQq	0e86yPdC41PGRkLp2Q1Bph
2022-07-15T07:14:54	death bed (coffee for your head)	Powfu, beabadoobee	USSM12000925	7eJMfftS33KTjuF7lTsMCx	6bmlMHgSheBauioMgKv2tn,35l9BRT7MXmM8bv2WDQiyB
2022-07-14T21:34:41	Maneater	Nelly Furtado	USUM70601449	4wH4dJgrsxONID6KS2tDQM	2jw70GZXlAI8QzWeY2bgRc
2022-07-14T21:33:51	Daddy Issues	The Neighbourhood	USSM11506747	5E30LdtzQTGqRvNd7l6kG5	77SW9BnxLY8rJ0RciFqkHh
2022-07-14T21:29:30	Wildest Dreams	Taylor Swift	USCJY1431379	3fVnlF4pGqWI9flVENcT28	06HL4z0CvFAxyc27GXpf02
2022-07-14T21:19:47	Dancing With Your Ghost	Sasha Alex Sloan	USRC11901644	1TQXIltqoZ5XXyfCbAeSQQ	4xnihxcoXWK3UqryOSnbw5
2022-07-14T21:15:24	Mad at Disney	salem ilese	QMEZE2076989	7aGyRfJWtLqgJaZoG9lJhE	3QJUFtGBGL05vo0kCJZsmT
2022-07-14T21:13:07	Little Dark Age	MGMT	USSM11707035	2Y0iGXY6m6immVb2ktbseM	0SwO7SWeDHJijQ3XNS7xEE
2022-07-14T21:08:07	True Love (feat. Lily Allen)	P!nk, Lily Allen	USRC11200787	1QNqrsNQ1JVLEwncov3lEY	1KCSPY1glIKqW2TotWuXOR,13saZpZnCDWOI9D4IJhp1f
2022-07-14T21:04:17	Bang!	AJR	QMRSZ2000128	2I2AqFb0f9UNnolWc2MafC	6s22t5Y3prQHyaHWUN1R1C
2022-07-14T20:51:31	I'm not Pretty	JESSIA	QZFYW2140933	3promGTTwsn1N5D6RzaFMV	6DdbeAeBlrYj8bNToZv4TY
2022-07-14T20:28:13	3 Musketeers	NextYoungin, ppcocaine	USSM12005115	57Oi4yqY27uJzCyqFWIP5q	2e7a6ZMxkwltCzbxHq8b3t,2u1aL8XADqj0nJFHMKRjNw
2022-07-14T20:25:26	drivers license	Olivia Rodrigo	USUG12004749	5wANPM4fQCJwkGd4rN57mH	1McMsnEElThX1knmY4oliG
2022-07-14T20:21:24	Remember That Night?	Sara Kays	USAT22007230	1nYzjrdVQ8RpF93M0jPFW7	7Lk9V7E1u5gqSHmtcKlOqH
2022-07-14T20:17:37	Electric Love	BØRNS	USUM71416307	2GiJYvgVaD2HtM8GqD9EgQ	1KP6TWI40m7p3QBTU6u2xo
2022-07-14T20:13:58	ghost town (voice memo)	Chloe George	USUM72104942	0PKAijroHpnEtdY20bkGdr	5VZn4mB8pS40aE0kujdX2Y
2022-07-14T20:09:00	Photo ID	Remi Wolf	USUG12001068	0bhciG1J5Mn3aIfPjvHQIe	0NB5HROxc8dDBXpkIi1v3d
2022-07-14T20:08:12	Photo ID	Remi Wolf	USUG12001068	0bhciG1J5Mn3aIfPjvHQIe	0NB5HROxc8dDBXpkIi1v3d
2022-07-14T17:44:50	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-07-14T17:41:33	I Am (feat. Flo Milli)	Baby Tate, Flo Milli	QZ5FA2050544	4E7ZbuJH3NddjnMWLstkRq	3IJ21966TwNZI24MwZHMu4,08PvCOlef4xdOr20jFSTPd
2022-07-14T17:38:31	Sofia	Clairo	US4HB1900086	7B3z0ySL9Rr0XvZEAjWZzM	3l0CmX0FuQjFxr8SK7Vqag
2022-07-14T17:35:22	Heather	Conan Gray	USUM71924264	4xqrdfXkTW4T0RauPLv3WA	4Uc8Dsxct0oMqx0P6i60ea
2022-07-14T17:32:04	Backyard Boy	Claire Rosinkranz	QZHN62022495	04F42oEuKrRComYJfJuyVR	3V0ZQW0dNuVaFtbVYgSI24
2022-07-14T17:29:54	No Wind Resistance!	Kinneret	QZFYX1935392	78Vm1H6bT8WQyPNyx7HBhP	5pnHmnSlN4hJqjG3VWtdYJ
2022-07-14T17:26:35	Cpr	cupcakKe	TCACZ1762108	35mBYyB61qTcGGj7MXIRM1	76SlrtEaq2oViRXulxjfuM
