listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-12T17:03:24	Animals	Maroon 5	USUM71409576	2bL2gyO6kBdLkNSkxXNh6x	04gDigrS5kc9YWfZHwBETP
2022-07-12T16:54:12	Bailar (feat. Elvis Crespo) - Radio Edit	Deorro, Elvis Crespo	USUS11600173	1HCw8XKtTgWWU3JlEUR0qQ	6VD4UEUPvtsemqD3mmTqCR,1c22GXH30ijlOfXhfLz9Df
2022-07-12T16:51:50	We Are Never Ever Getting Back Together (Taylor's Version)	Taylor Swift	USUG12103668	5YqltLsjdqFtvqE7Nrysvs	06HL4z0CvFAxyc27GXpf02
2022-07-12T16:35:58	Disturbia	Rihanna	USUM70814476	2VOomzT6VavJOGBeySqaMc	5pKCCKE2ajJHZ9KAiaK11H
2022-07-12T16:30:28	Whiplash	NCT 127	KRA301700242	2iPxDFeN27VrKgGdZ0AIKw	7f4ignuCJhLXfZ9giKT7rH
2022-07-12T13:20:25	Used To Know Me	Charli XCX	GBAHS2200045	601kEkd7wm0JTgDl0EM3JU	25uiPmTg16RbhZWAqwLBy5
2022-07-12T13:06:18	BIZCOCHITO	ROSALÍA	USSM12109223	4kXxEhuatrvwrTQycA7s9B	7ltDVBr6mKbRvohxheJ9h1
2022-07-12T11:11:48	Moscow Mule	Bad Bunny	QM6MZ2214875	6Xom58OOXk2SoU711L2IXO	4q3ewBCX7sLwd24euuV69X
2022-07-12T11:05:32	Me Porto Bonito	Bad Bunny, Chencho Corleone	QM6MZ2214877	6Sq7ltF9Qa7SNFBsV5Cogx	4q3ewBCX7sLwd24euuV69X,37230BxxYs9ksS7OkZw3IU
2022-07-12T11:01:00	Give That Wolf A Banana	Subwoolfer	NOUM72100322	50Cf2eYv8zT3v2HAkwhIiL	633Va8wlM3hrqQ4xjqRfOf
2022-07-12T10:57:46	Puppet	Faouzia	USAT22106293	6WDRJDnRQ28UUn4ytxSMGA	5NhgsV7qPWHZqYEMKzbYvo
2022-07-12T10:53:59	BAE BAE	BIGBANG	KRA401500542	3miMeSGd7rzJEtuhQnzm0f	4Kxlr1PRlDKEB0ekOCyHgX
2022-07-12T10:51:09	Azul	J Balvin	USUM72001731	2lCkncy6bIB0LTMT7kvrD1	1vyhD5VmyZ7KMfW5gqLgo5
2022-07-11T18:55:58	California Dreamin'	José Feliciano	USRC19405068	3rU0sziIji4mxvd39x6Z5X	7K78lVZ8XzkjfRSI7570FF
2022-07-11T18:10:58	TEK	DEVA, KICKBOMBO	GBLFP2214494	1OmTOjoKCxury3uR767fQO	0EdwY8DfBqB83R45WnHJDg,7A2htSu45kogVfNBMD4Xgh
2022-07-11T17:06:59	Stargazing	The Neighbourhood	USSM12006844	0VF7YLIxSQKyNiFL3X6MmN	77SW9BnxLY8rJ0RciFqkHh
2022-07-11T16:28:08	Lights - Sped Up Version	Ellie Goulding, Speed Radio	GBUM72204103	4TZ2Ub8bZh4LTs06eANDXa	0X2BH1fck6amBIoJhDVmmJ,1YzaVDzA3EdEipDSUeNQER
2022-07-11T16:23:59	RUN2U	STAYC	KRA382203169	3gFcGnU4kTdMYLXDjH1TK8	01XYiBYaoMJcNhPokrg0l0
2022-07-11T16:19:42	Bones	Imagine Dragons	USUM72201759	54ipXppHLA8U4yqpOFTUhr	53XhwfbYqKCa1cC15pYq2q
2022-07-11T13:30:34	Otherside	Red Hot Chili Peppers	USWB19900693	64BbK9SFKH2jk86U3dGj2P	0L8ExT028jH3ddEcZwqJJ5
2022-07-11T13:20:20	Rock with you	SEVENTEEN	USA2P2135688	6LnEoRQKMcaFTR5UvaKuBy	7nqOGRxlXj7N2JYbgNEjYH
2022-07-11T13:17:18	Puppet	Faouzia	USAT22106293	6WDRJDnRQ28UUn4ytxSMGA	5NhgsV7qPWHZqYEMKzbYvo
2022-07-08T18:45:53	Mujeriego	Ryan Castro	COSO12100328	78kygHp1dvW1kncYjBgbe1	7j6DKwmjbxvpQO8h914uEz
2022-07-08T18:21:54	Start of Something New	Troy, Gabriella, Disney	USWD10527735	4TFdpFnoBi0Rjshwop60gU	6zTbBugfNc95zo8ClFDhIn,0GyAZiIV45rnBBf4KdGLS7,3xvaSlT4xsyk6lY1ESOspO
2022-07-08T18:07:58	Lighthouse	Loveless	QZHZ42015588	7HgmtBZim3P8sZd0yv1pDZ	1MP7xlABJ13LtmHfG77SCJ
2022-07-08T15:41:00	Trenulețul (cu Frații Advahov)	Zdob si Zdub, Fratii Advahov	ROCRP2105661	63idiVcxkGB3hgH6n3qKqM	21fmCv0mg9Xwnv3WE4mFKu,6oOzBkBGHImHS8cdjO8AqC
