listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-05T00:57:35	Te Amo	Calema	PT0GP2000049	5kr0kja5gbZAaT7w3TGKts	6PIIKavZx20FlVKyIvb4Um
2022-07-01T19:20:23	Physical	Dua Lipa	GBAHT1901298	3AzjcOeAmA57TIOr9zF1ZW	6M2wZ9GZgrQXHCFfjv46we
2022-07-01T19:17:09	Onde Vais (feat. Carminho)	Bárbara Bandeira, Carminho	PT2IL2100001	4xigvdbvlzxJIIZGIg6eGT	4zhMand4AowXuUz4VpGiTJ,6I1r8xKn6bCeionvZVdzdR
2022-07-01T19:13:10	when the party's over	Billie Eilish	USUM71815958	43zdsphuZLzwA9k4DJhU0I	6qqNVTkY8uBg9cP3Jd7DAH
2022-07-01T19:08:25	Overpass Graffiti	Ed Sheeran	GBAHS2100673	4btFHqumCO31GksfuBLLv3	6eUKZXaKkcviH0Ku9w2n3V
2022-07-01T19:04:27	Won’t Stand Down	Muse	GBAHT2102036	6hIr2IDeBDXfRFk0rYe5Tz	12Chz98pHFMPJEknJQMWvI
2022-07-01T19:00:58	We're Good	Dua Lipa	GBAHT2001117	4xAJSIcCHcOCli5m325X2H	6M2wZ9GZgrQXHCFfjv46we
2022-07-01T18:58:12	Human Interest	Hooverphonic	BEU010201115	03huzCuxjYsr2qtT4oNfPi	5EP020iZcwBqHRnJftibXX
2022-07-01T18:54:23	Castles	Freya Ridings	UK8E21802002	5tZWtGT65sMrDVPB5H444n	5pDjmC5mRl7vDJhsjVwNfk
2022-07-01T18:38:58	Unintended	Muse	GBCVT9900015	6kyxQuFD38mo4S3urD2Wkw	12Chz98pHFMPJEknJQMWvI
2022-07-01T18:35:01	Lost on You	LP	QMRSZ1501406	3SqvR3HYLlCTYzbDXJ52OC	0J7U24vlOOIeMpuaO6Q85A
2022-07-01T18:29:56	Whiskey In The Jar	Metallica	GBAMC9800041	2R6UrJ8uWbSIiHWmvRQvN8	2ye2Wgw4gimLv2eAKyk1NB
2022-06-29T21:26:19	Controller	L.A.B.	NZLP01700337	2DkxWMmdvS3f5hbz4UGQLO	3eAOH2az3fQIfX2UAw0FfC
2022-06-29T21:24:17	Vou Te Amar	Blacci, Murta	PTUM72100565	16uy4A1G7yfQINw1jxGbw6	36Hz9bJe0iBjUpTqpmEGak,1i3LAyYIXtdsYVUkIgIkjx
2022-06-29T21:20:33	Hero Of The Day	Metallica	GBAMC9600012	0rDPQzWWmLTv9deHn4ulG7	2ye2Wgw4gimLv2eAKyk1NB
2022-06-29T21:16:10	It'll Be Okay	Shawn Mendes	USUM72122321	2KnLkZ3z7PO3kgVGHGqDpD	7n2wHs1TKAczGzO7Dd2rGr
2022-06-29T21:12:27	Compliance	Muse	GBAHT2102034	27hktiddJj63mK6gZAQp4q	12Chz98pHFMPJEknJQMWvI
2022-06-29T21:08:16	Amor de Verdade	MC Kekel, MC Rita	BRKO11800053	0nl6IxtXJ5IXHx6VorcEUs	2ZXnTEyYopSLCDiz5Z0XIf,5yES5e4EJpUB0tfmWi3eao
2022-06-29T21:04:58	In the Air	L.A.B.	NZLP01900490	5v7h5vQgCJKZT5vB3I9s3o	3eAOH2az3fQIfX2UAw0FfC
2022-06-29T21:00:44	Wrecked	Imagine Dragons	USUM72110166	2d1MywHy6FwKdzxFuSJnwl	53XhwfbYqKCa1cC15pYq2q
2022-06-29T20:56:39	Will Of The People	Muse	GBAHT2102033	3EDKy3jIiw1OJqqZcdOCxm	12Chz98pHFMPJEknJQMWvI
2022-06-29T20:53:20	Selfie Colado	Karol Ka	BRUM71500885	5GeffBeJDIjjqtw80AZrAh	3chDbmcnw2pvDCbOPGpbGN
2022-06-29T20:50:15	Te Amo	Calema	PT0GP2000049	5kr0kja5gbZAaT7w3TGKts	6PIIKavZx20FlVKyIvb4Um
2022-06-25T14:53:08	Wrecked	Imagine Dragons	USUM72110166	2d1MywHy6FwKdzxFuSJnwl	53XhwfbYqKCa1cC15pYq2q
