listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-23T12:33:25	Ice Cubes	Dounia	USUYG1228440	7wHcrGD4V9JB9euep5Ki0b	4fJsnm9CeDAPrwO4MAEToj
2022-05-23T12:31:12	DRUM GO DUM	K/DA, Wolftyla, Bekuh Boom, Aluna, League of Legends	QZH6S1900276	2JV5OBqTMW1F6PYOGZJatP	4gOc8TsQed9eqnqJct2c5v,7qd6KGoABHifvXKeFNe2Yb,260LldmHBR0r2wtWtjzNxL,5ITI6SEoUZMIXXkzCfr4oE,47mIJdHORyRerp4os813jD
2022-05-23T12:27:35	Youngblood	5 Seconds of Summer	GBUM71800366	2iUXsYOEPhVqEBwsqP70rE	5Rl15oVamLq7FbSb0NNBNy
2022-05-21T12:19:15	Girls In Bikinis	Poppy	USZ4V1800203	5FXn5JHL50tDPMITGun9zh	5mlbvTfWUOfDrUIK6dkNzv
2022-05-21T12:16:50	Imaginary Parties	Superfruit	USRC11701388	2bopUyK6ll0CZFw03TDKAY	50VoYemccTaftNfFqWtlXd
2022-05-21T12:13:35	Green Light	Lorde	NZUM71700063	6ie2Bw3xLj2JcGowOlcMhb	163tK9Wjr9P9DmM0AVK7lm
2022-05-21T11:59:44	Love You For A Long Time	Maggie Rogers	USUG11903787	6QTPacyXkZWG9FMwq6L1hJ	4NZvixzsSefsNiIqXn0NDe
2022-05-21T11:56:00	Garota de Ipanema	Martina DaSilva, Tony Glausi, Russell Hall	QMDA62106692	0MYvs08wO10MoRGwcrixQk	3AKEETcbRYtfGanQZjJ48F,5ZkNEylmE0uGS4lgPOskat,2IZLjkTpDvr514Y8RBrpQT
2022-05-21T00:53:44	Lipgloss (feat. CupcakKe)	Charli XCX, cupcakKe	GBAHS1700241	7niKxzFThgRf5fXlIYdjtZ	25uiPmTg16RbhZWAqwLBy5,76SlrtEaq2oViRXulxjfuM
2022-05-21T00:50:24	STRIPPER	Achille Lauro	ITV022200013	1PpH00KzrWRN3um8vSbi7A	0lI3rF4hi4op6UxqlLHPzv
2022-05-21T00:47:26	Stefania (Kalush Orchestra)	KALUSH	DEE862200344	2vHzOWRKYPLu8umRPIFuOq	46rVVJwHWNS7C7MaWXd842
2022-05-21T00:42:06	Man Areas	Jonny McGovern	uscgh1256997	3AN5LEspFZQdQUFUUqsDct	3M09gMoXXM7K2RitFqbFSM
2022-05-20T23:10:17	Man Areas	Jonny McGovern	uscgh1256997	3AN5LEspFZQdQUFUUqsDct	3M09gMoXXM7K2RitFqbFSM
2022-05-20T20:18:07	WHY AREN'T WE HAVING SEX?	Liza Owen	USSM12002522	4TeCOxRXaIADpEAsV341lX	7rMi39MYgKE1TdRCTK3xqm
2022-05-20T20:16:03	Sentimentai	Monika LIU	QZ93L2201560	0JNPmXGU9K9DJpV9eHppZz	2YLwIrzSnsbpBMKWzwu6JD
2022-05-20T20:13:02	Something More - Extended Mix	Róisín Murphy	GB5KW2001670	2PSwCxMwmRUvPA2HBhgbaH	3qwabfaWewpfli7hMNM3O8
2022-05-20T20:05:05	Plastic Doll - Ashnikko Remix	Lady Gaga, Ashnikko, Oscar Scheller	USUM72116153	5053O1zH7ti48DaNx3SS5f	1HY2Jd0NmPuamShAr6KMms,3PyJHH2wyfQK3WZrk9rpmP,6BToM88XrzNI6VL5GxazUq
2022-05-20T20:02:35	Sober	Lorde	NZUM71700065	7eElVgPcxDqmgGrSwVFI74	163tK9Wjr9P9DmM0AVK7lm
2022-05-20T19:51:24	Eggs Aisle	Amindi	TCADZ1890517	0pWvqS5ib4VKS3tUnnMEZK	1xQIR56DxgWYZPUvOLRIua
2022-05-20T19:47:48	Garota de Ipanema	Martina DaSilva, Tony Glausi, Russell Hall	QMDA62106692	0MYvs08wO10MoRGwcrixQk	3AKEETcbRYtfGanQZjJ48F,5ZkNEylmE0uGS4lgPOskat,2IZLjkTpDvr514Y8RBrpQT
2022-05-20T19:44:45	California	Lorde	NZUM72100179	5c4Dicz1JD8excTfoVnX2a	163tK9Wjr9P9DmM0AVK7lm
