listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T10:18:13	Estado novo	Tiago Nacarato	PTNO12200022	31sXkAWZCxklbyBv6jEaVl	3mwYj8Nb9VZbAnLpli7l8X
2022-05-25T10:11:25	Fields Of Gold	Sting	GBAAM9390003	0I1DJdLt9BKOb7GWmWxCjo	0Ty63ceoRnnJKVEYP0VQpk
2022-05-25T10:07:21	Roxanne - Live	Sting	USUM71903421	5t8GFErw7KYsub0x4LhTy7	0Ty63ceoRnnJKVEYP0VQpk
2022-05-25T10:00:01	Whenever I Say Your Name - Live In Berlin/2010	Sting, Branford Marsalis, Royal Philharmonic Concert Orchestra, Steven Mercurio	USUM71025662	4BEC4cWztyv89L5pRzvsCW	0Ty63ceoRnnJKVEYP0VQpk,1gPY6jETlC02stpXOUmSBH,0KF6aZe84u9WE8JaLdvLLY,1tVeyHElHwol59M1EPwQHD
2022-05-25T09:52:40	Englishman In New York - Live In Berlin/2010	Sting, Branford Marsalis, Royal Philharmonic Concert Orchestra, Steven Mercurio	USUM71025654	5VaWlp54HTo03meWB9l5bx	0Ty63ceoRnnJKVEYP0VQpk,1gPY6jETlC02stpXOUmSBH,0KF6aZe84u9WE8JaLdvLLY,1tVeyHElHwol59M1EPwQHD
2022-05-25T09:42:09	Englishman / African in New York (with Shirazee)	Sting, Shirazee	USUM72101662	5KJMmTsCWVHRsuvCvn5WEr	0Ty63ceoRnnJKVEYP0VQpk,3yZDwFnQlK2pgG8hu5knnu
2022-05-25T09:38:55	(Sittin' On) The Dock of the Bay	Sting	USUM72111966	2Prw4Wil4emXsWYSNes9tN	0Ty63ceoRnnJKVEYP0VQpk
2022-05-25T09:36:00	Englishman In New York	Sting	USAM18700040	4KFM3A5QF2IMcc6nHsu3Wp	0Ty63ceoRnnJKVEYP0VQpk
2022-05-24T18:55:38	Sack O' Woe - Live/Remastered	The Cannonball Adderley Quintet, Cannonball Adderley	USCA29501072	01MeTWHXDk618cwGhDt91M	2o346NHhUAlVxl5uXBVxK7,5v74mT11KGJqadf9sLw4dA
2022-05-24T18:29:21	Rua Dos Meus Ciúmes	António Zambujo	PTMW11100031	6hmvsQiejc3tbzTUHAms3c	72G65J87dqMi39O00Du2Je
2022-05-24T18:24:49	O Objectivo	Slow J	USDHM1510275	3TT5YW6LuZfnW0vylGbhAv	7crp1tZcefnjT5RuL6WZQ0
