listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-24T19:48:05	More Than This	One Direction	GBHMU1100163	0UAB340gAcSMk3r0a8PTag	4AK6F7OLvEQ5QYCBNiQWHq
2022-05-24T19:26:47	Someone Like You	Adele	GBBKS1000351	3bNv3VuUOKgrf5hu3YcuRo	4dpARuHxo51G3z768sgnrY
2022-05-24T19:22:02	Photograph	Ed Sheeran	GBAHS1400094	1HNkqx9Ahdgi1Ixy2xkKkL	6eUKZXaKkcviH0Ku9w2n3V
2022-05-24T19:17:42	They Don't Know About Us	One Direction	GBHMU1200368	6M31fPFCYB8Job3MCjjrDV	4AK6F7OLvEQ5QYCBNiQWHq
2022-05-24T19:14:21	Because of You	Kelly Clarkson	GBCTA0400265	3f3omU8n47Mqyab5nCaGyT	3BmGtnKgCSGYIUhmivXKWX
2022-05-24T19:10:41	Skyscraper	Demi Lovato	USHR11132837	2FhWY5qi1omQgkjuIlEiiU	6S2OmqARrzebs0tKUEyXyp
2022-05-24T19:06:59	Whataya Want from Me	Adam Lambert	GBCTA0900344	0zv9bOC2NSMd3Fw2HgM5Xn	6prmLEyn4LfHlD9NnXWlf7
2022-05-24T19:03:12	i hate u, i love u (feat. olivia o'brien)	Garrett Nash, Olivia O'Brien	USAT21601051	7vRriwrloYVaoAe3a9wJHe	3iri9nBFs9e4wN7PLIetAw,1QRj3hoop9Mv5VvHQkwPEp
2022-05-24T18:59:00	Wrecking Ball	Miley Cyrus	USRC11301214	2vwlzO0Qp8kfEtzTsCXfyE	5YGY8feqx7naU7z4HrwZM6
2022-05-24T18:55:18	Wish You Were Here	Avril Lavigne	USRC11100010	5XHf9PBxxHmJFuiDkGNIOA	0p4nmQO2msCgU4IF37Wi3j
2022-05-24T18:51:32	Leave Out All The Rest	Linkin Park	USWB10701212	0sp00HSXkQyqTa6QqM0O8V	6XyY86QOPPrYVGvF9ch6wz
2022-05-24T18:48:02	Shake It Out	Florence + The Machine	GBUM71107355	71iSmEeF0qRVyULABxP75P	1moxjboGR7GNWYIMWsRjgG
2022-05-24T18:43:24	Talking to the Moon	Bruno Mars	USAT21001985	1wVuPmvt6AWvTL5W2GJnzZ	0du5cEVh5yTK9QJze8zA0C
2022-05-24T18:39:45	Versace on the Floor	Bruno Mars	USAT21602949	0kN8xEmgMW9mh7UmDYHlJP	0du5cEVh5yTK9QJze8zA0C
2022-05-24T18:35:24	Beautiful	Christina Aguilera	USRC10201067	40fvlRGSBSEYWTgCpRyVqf	1l7ZsJRRS8wlW3WfJfPfNS
2022-05-24T18:31:21	F**kin' Perfect	P!nk	USLF21000091	4SEZthmPtszZPaktPLRX6J	1KCSPY1glIKqW2TotWuXOR
2022-05-24T18:27:47	Who Knew	P!nk	USLF20600021	2hns6Dv29Yrg68AVTJiAyA	1KCSPY1glIKqW2TotWuXOR
2022-05-24T18:24:18	Take A Bow	Rihanna	USUM70809004	3goSVuTt3fDYDP6kRnFwuL	5pKCCKE2ajJHZ9KAiaK11H
2022-05-24T18:20:29	Don't Forget	Demi Lovato	USHR10824103	4He7bzKBaiu7CRz4wGkZzx	6S2OmqARrzebs0tKUEyXyp
2022-05-24T18:16:45	As Long As You Love Me	Justin Bieber, Big Sean	USUM71205320	0pwYLVXVknPSGUQb39cePC	1uNFoZAHBGtllmzznpCI3s,0c173mlxpT3dSFRgMO8XPh
2022-05-24T18:12:55	Be Alright	Justin Bieber	USUM71205315	0nxvFG50rGXkiGQqOO2MHr	1uNFoZAHBGtllmzznpCI3s
2022-05-24T18:09:45	What If This Is All The Love You Ever Get?	Snow Patrol	GBUM71703799	5CZ1XU3DiHnhGM3NpySKyh	3rIZMv9rysU7JkLzEaC5Jp
2022-05-24T18:05:55	Chasing Cars	Snow Patrol	GBUM70600345	5hnyJvgoWiQUYZttV4wXy6	3rIZMv9rysU7JkLzEaC5Jp
2022-05-24T18:01:26	Life Of The Party	Shawn Mendes	USUM71407508	14hJ5tc1VCFMWhVn9axRTC	7n2wHs1TKAczGzO7Dd2rGr
2022-05-24T17:57:51	You & I	One Direction	GBHMU1300213	2afCBiru10AFckfOa49wIa	4AK6F7OLvEQ5QYCBNiQWHq
2022-05-24T17:53:53	A Little Too Much	Shawn Mendes	USUM71500660	1T7AiFL9ruKKwlONN35Vh0	7n2wHs1TKAczGzO7Dd2rGr
2022-05-24T17:50:46	Grenade	Bruno Mars	USAT21001883	4lLtanYk6tkMvooU0tWzG8	0du5cEVh5yTK9QJze8zA0C
2022-05-24T17:47:02	Little Things	One Direction	GBHMU1200361	0TAmnCzOtqRfvA38DDLTjj	4AK6F7OLvEQ5QYCBNiQWHq
2022-05-24T17:43:23	Too Much To Ask	Niall Horan	USUG11701396	39jXnbACjiaiTwwhsr5sY5	1Hsdzj7Dlq2I7tHP7501T4
2022-05-24T17:39:40	If I Were a Boy	Beyoncé	USSM10803202	1oQZk2bKBLgP1cbuFKvjkq	6vWDO969PvNqNYHIOW5v0m
2022-05-24T17:35:29	Beneath Your Beautiful (feat. Emeli Sandé)	Labrinth, Emeli Sandé	GBHMU1200008	2EcsgXlxz99UMDSPg5T8RF	2feDdbD5araYcm6JhFHHw7,7sfgqEdoeBTjd8lQsPT3Cy
2022-05-24T17:30:57	Broken-Hearted Girl	Beyoncé	USSM10804727	7zP67rufQgoODWFI45jntD	6vWDO969PvNqNYHIOW5v0m
2022-05-24T17:26:18	Everything Has Changed	Taylor Swift, Ed Sheeran	USCJY1231044	3Z1kZKYfRC8iRXnYeC5sCJ	06HL4z0CvFAxyc27GXpf02,6eUKZXaKkcviH0Ku9w2n3V
2022-05-24T17:21:42	Best Thing I Never Had	Beyoncé	USSM11102904	3lBRNqXjPp2j3JMTCXDTNO	6vWDO969PvNqNYHIOW5v0m
2022-05-24T17:17:28	Unfaithful	Rihanna	USUM70601995	13xxBnXOuiBxVxJI458B0i	5pKCCKE2ajJHZ9KAiaK11H
2022-05-24T17:13:40	The Climb	Miley Cyrus	USWD10935758	5x5JM1BSB6vollcIzDocqT	5YGY8feqx7naU7z4HrwZM6
2022-05-24T17:09:45	Keep Holding On	Avril Lavigne	USRC10602180	4UPcXTh26ilb7owtuyHqNI	0p4nmQO2msCgU4IF37Wi3j
2022-05-24T17:05:45	Unconditionally	Katy Perry	USUM71311295	4fwbGKNExPtPHbor1TBSY4	6jJ0s89eD6GaHleKKya26X
2022-05-24T17:01:55	Need You Now	Lady A	USCN10900695	7GAaTpSoTWUTbP2Yxlt4Hd	32WkQRZEVKSzVAAYqukAEA
2022-05-24T16:57:58	When You're Gone	Avril Lavigne	USRC10700004	54JKnDB3CzVu8wNAOM27BI	0p4nmQO2msCgU4IF37Wi3j
2022-05-24T16:53:57	Amnesia	5 Seconds of Summer	GBUM71401926	0dIOvducp7ujHTqj66cQ3X	5Rl15oVamLq7FbSb0NNBNy
2022-05-24T16:50:00	You Give Me Something	James Morrison	GBUM70600967	6bFsQ6yOp3z5mGNkhWP0P1	3LpLGlgRS1IKPPwElnpW35
2022-05-24T16:46:25	Pretty Hurts	Beyoncé	USSM11307798	7lUA4P03AhwAw40JHkdyGr	6vWDO969PvNqNYHIOW5v0m
2022-05-24T16:42:08	Halo	Beyoncé	USSM10804556	2CvOqDpQIMw69cCzWqr5yr	6vWDO969PvNqNYHIOW5v0m
2022-05-24T16:37:46	Please Don't Leave Me	P!nk	USLF20800182	4iHUBqALsttdeXVRXlTMQJ	1KCSPY1glIKqW2TotWuXOR
2022-05-24T16:33:53	Just Give Me a Reason (feat. Nate Ruess)	P!nk, Nate Ruess	USRC11200786	1mKXFLRA179hdOWQBwUk9e	1KCSPY1glIKqW2TotWuXOR,1qUjOF5fzrpoNycD36b2jZ
2022-05-24T16:29:50	Because of You	Kelly Clarkson	GBCTA0400265	0gJvqi9QyASOCtJu99tytc	3BmGtnKgCSGYIUhmivXKWX
2022-05-24T16:26:11	Who Knew	P!nk	USLF20600021	2hns6Dv29Yrg68AVTJiAyA	1KCSPY1glIKqW2TotWuXOR
2022-05-24T16:22:11	Who Says	Selena Gomez & The Scene	USHR11132695	3TcL0dyCMyr0kyTTc4NLgI	6dJeKm76NjfXBNTpHmOhfO
2022-05-24T16:18:55	Jar of Hearts	Christina Perri	USAT21001508	0HZhYMZOcUzZKSFwPOti6m	7H55rcKCfwqkyDFH9wpKM6
2022-05-24T16:14:48	A Thousand Years	Christina Perri	USAT21102141	6z5Yh7kOKeLjqIsNdokIpU	7H55rcKCfwqkyDFH9wpKM6
2022-05-24T16:10:03	Broken Strings	James Morrison, Nelly Furtado	GBUM70810083	6jBUP2KCe821yqf1hiBqPR	3LpLGlgRS1IKPPwElnpW35,2jw70GZXlAI8QzWeY2bgRc
