listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-24T20:02:06	Wonderland (From “American Song Contest”)	AleXa, American Song Contest	USAT22202243	12gIiC7uS9fvSVTvu66YDO	4jCGRzuZkwo8CxboiANMEU,3pPClIZCqgahG8bguvacGh
2022-07-24T19:59:11	Quevedo: Bzrp Music Sessions, Vol. 52	Bizarrap, Quevedo	UYB282201028	2tTmW7RDtMQtBk7m2rYeSw	716NhGYqD1jl2wI1Qkgq36,52iwsT98xCoGgiGntTiR7K
2022-07-24T19:55:46	In The End	Stay Homas	ES5022000378	4PrYq1x0pv5WSMCiy6rp9o	7fUEi9sgiLw8gwQ307T6IU
2022-07-24T19:53:24	Alone in My Car	NIKI DEMAR	QM24S2006877	5ccIKJVuEGjF4sbaG3afgd	6YsltkujF8WzkCRM9S5vy5
2022-07-24T19:49:14	Wonderland (From “American Song Contest”)	AleXa, American Song Contest	USAT22202243	12gIiC7uS9fvSVTvu66YDO	4jCGRzuZkwo8CxboiANMEU,3pPClIZCqgahG8bguvacGh
2022-07-24T19:46:29	because i liked a boy	Sabrina Carpenter	USUM72210695	32FhTAAjKZaBein150o3Px	74KM79TiuVKeVCqs8QtB0B
2022-07-24T19:42:40	Quevedo: Bzrp Music Sessions, Vol. 52	Bizarrap, Quevedo	UYB282201028	2tTmW7RDtMQtBk7m2rYeSw	716NhGYqD1jl2wI1Qkgq36,52iwsT98xCoGgiGntTiR7K
2022-07-24T14:17:59	In The End	Stay Homas	ES5022000378	4PrYq1x0pv5WSMCiy6rp9o	7fUEi9sgiLw8gwQ307T6IU
2022-07-24T10:52:01	Eladio Carrion: Bzrp Music Sessions, Vol. 40	Bizarrap, Eladio Carrion	UYB282101016	1VauUM5CBX7nkLcgafQL2B	716NhGYqD1jl2wI1Qkgq36,5XJDexmWFLWOkjOEjOVX3e
2022-07-24T10:48:03	Villano Antillano: Bzrp Music Sessions, Vol. 51	Bizarrap, Villano Antillano	UYB282201027	4hceSKjrkDTO0nMKFcb3sj	716NhGYqD1jl2wI1Qkgq36,1pi7nGhOM7PTHR5YEgXVGq
