listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-23T19:20:58	Enquanto Me Beija	Jão	BXHAC1900056	0EsftWIxQKCoCz5HZtlpkW	59FrDXDVJz0EKqYg39dnT2
2022-05-23T19:17:18	Maldivas	LUDMILLA	BRWMB2101224	1FGRA5pMtBqJLNAaSBia2x	3CDoRporvSjdzTrm99a3gi
2022-05-23T19:14:34	Malvada	Zé Felipe	BRTLW2100037	7gVzhRCrLRUBEGdS7zNTp0	7cmuxPnXRJxwuYDHfbD8Eu
2022-05-23T19:12:07	AMOR PIRATA	Jão	BXHAC2100005	5K5g0QQZI1a1ZS3Ag7CU5f	59FrDXDVJz0EKqYg39dnT2
2022-05-23T19:09:13	Enquanto Me Beija	Jão	BXHAC1900056	0EsftWIxQKCoCz5HZtlpkW	59FrDXDVJz0EKqYg39dnT2
2022-05-23T19:05:32	Coringa	Jão	BXHAC2100003	5j3p2WnU8ha4K4ybaTZ4Hx	59FrDXDVJz0EKqYg39dnT2
2022-05-23T19:02:25	Maldivas	LUDMILLA	BRWMB2101224	1FGRA5pMtBqJLNAaSBia2x	3CDoRporvSjdzTrm99a3gi
2022-05-23T18:59:41	Vou Morrer Sozinho	Jão	BXHAC1800024	1XVN2BVHfKUUcMH0jxSRZ5	59FrDXDVJz0EKqYg39dnT2
2022-05-23T18:56:45	Imaturo	Jão	BXHAC1800002	0S86atec73KKaexn67JsDy	59FrDXDVJz0EKqYg39dnT2
2022-05-23T18:53:47	Vai Lá Em Casa Hoje	George Henrique & Rodrigo, Marília Mendonça	BRWOS2100055	2wSCalnGOnXdAJC0Fn8OUY	3FlCKtwOEYQQYyGVEbxG2Z,1yR65psqiazQpeM79CcGh8
2022-05-23T18:50:35	Cuida Bem Dela - Ao Vivo	Henrique & Juliano	BRWNV1400063	0T6QwkFrB2czW5DWj531rQ	3p7PcrEHaaKLJnPUGOtRlT
2022-05-23T18:47:15	Radar	Gloria Groove	BXSBS2000011	5l4GTT4tLccGiZE3KGjlg4	7rXMvXRnWHaSwnVvPeUUfw
