listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-27T11:50:26	Bad	Don Diablo, Zak Abel	DEUM72000473	1T4U8Q2DRfs6OUg8DEsRZf	1l2ekx5skC4gJH8djERwh1,6Gk5hoM7eW8NSCYhICMDHw
2022-05-27T11:48:34	Bugatti	Scott Rill	NLT2H2000169	20DuYv8kiodxPVgVk4JyoD	7dNg7OLrxcWU9cVe3sQoMV
2022-05-27T11:43:23	Wait Another Day	Mike Williams, Mesto	NLZ541801572	7qZOnik9K8Mv987ccBjwwj	3IpvVrP3VLhruTmnququq7,0RViEWnZO2VhmY4oI0PhF9
2022-05-27T11:38:23	Goodbye	Imanbek, Goodboys	GBUM72006085	4crczEC1PpoD8TsDsmoWNI	5rGrDvrLOV2VV8SCFVGWlj,2nm38smINjms1LtczR0Cei
2022-05-27T11:30:05	Bootie in Your Face - No Rock Drop	Deorro	USUS11202479	7HsBPZz9DNjSoknVFsOwAh	6VD4UEUPvtsemqD3mmTqCR
2022-05-27T11:24:07	Tuesday (feat. Danelle Sandoval)	Burak Yeter, Danelle Sandoval	GBKQU1650147	7EVk9tRb6beJLTHrg6AkY9	4ON1ruy5ijE7ZPQthbrkgI,7Dz9goFmVZZqvJxZoKg7pF
2022-05-27T11:19:28	Monster (Dotexe Remix)	Nightcore	GB-SMU-34-97773	0y8UKPyJOluqIuacosTKEv	77t00lrU1uk65snqAdoPnt
2022-05-27T11:06:08	Pullin Up	Soda	CH6542004106	48tI68zHn3r3uHmGxdkKDd	3hnbNJJnN1jFk3MmBvcn9Z
2022-05-27T09:20:01	gfy (with Machine Gun Kelly)	blackbear, Machine Gun Kelly	USQX92202243	3MTm8eZ2wCEtpyZqqhP6Dn	2cFrymmkijnjDg9SS92EPM,6TIYQ3jFPwQSRmorSezPxX
2022-05-26T09:37:21	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
2022-05-26T09:37:15	De Diepte	S10	NLG662200040	7uQ7e7nzbtyX87eIYHpj6Z	1zT9SWCzN45r7oVhy0VYLK
2022-05-26T09:30:43	Pullin Up	Soda	CH6542004106	48tI68zHn3r3uHmGxdkKDd	3hnbNJJnN1jFk3MmBvcn9Z
2022-05-26T09:28:30	Sicko Drop	KVSH, Schillist	NLM5S2101260	5T4lERmPqhO2ukZoGJ5sSr	2uGKgNuq7MnKksXiSO6HjB,2qvWyc9Z0oHK156P65vH4d
2022-05-26T09:19:49	I Got A Feeling - James Hype Remix	Felix Jaehn, Robin Schulz, James Hype, Georgia Ku	DEUM72117746	4SYbdrmyDpCvWkoC4skk5z	4bL2B6hmLlMWnUEZnorEtG,3t5xRXzsuZmMDkQzgOX35S,43BxCL6t4c73BQnIJtry5v,5mYakBbBzPMQTfkVMIgiDM
2022-05-26T09:12:39	Heaven Takes You Home (feat. Connie Constance)	Swedish House Mafia, Connie Constance	USUG12202132	3nEHrvNNtgLv9rneTAYVr4	1h6Cn3P4NGzXbaXidqURXs,4RB2kk5dmocmMiHFBlmOEt
2022-05-26T09:06:14	i miss u (with Au/Ra)	Jax Jones, Au/Ra	GBUM72004976	7CH8J4ulT49UfZwSDSkSZA	4Q6nIcaBED8qUel8bBx6Cr,1eMmoIprPDWeFdB1FxU6ZV
2022-05-26T08:58:42	Beast	Tungevaag, Raaban, Isac Elliot	NOAJR1600040	6ZbiaHwI9x7CIxYGOEmXxd	49CE2ffZ6Z3zeYSDauSKck,4cSYNpczcvTUpnPMFDLsIc,3aD9K1zaLQ3G7yp9XV5E4D
2022-05-26T08:52:48	N95	Kendrick Lamar	USUM72208963	2FeBslNBMdR9V58uv6hd2t	2YZyLoL8N0Wb9xBt1NhZWg
2022-05-26T08:18:04	Finché Non Mi Seppelliscono	BLANCO	ITUM72100910	16EJNayKtC09M0Fi7Py47s	1MRiIeZbc0cRuxOafDUCtH
2022-05-24T20:42:02	About Damn Time	Lizzo	USAT22202139	1PckUlxKqWQs3RlWXVBLw3	56oDRnqbIiwx4mymNEv7dS
