listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-13T13:29:02	We Don't Know What Tomorrow Brings	The Smile	GBBKS2200010	0ks2zjjl7XhJVqBU60GhHR	6styCzc1Ej4NxISL0LiigM
2022-07-13T13:25:46	Waving A White Flag	The Smile	GBBKS2200009	4wbO4Xe9wtw0RxRye0ybN9	6styCzc1Ej4NxISL0LiigM
2022-07-13T13:21:58	A Hairdryer	The Smile	GBBKS2200008	5eGvUvIliCcmFqwC8kQSAw	6styCzc1Ej4NxISL0LiigM
2022-07-13T13:16:41	Free In The Knowledge	The Smile	GBBKS2200007	0p8esvsm33EFp9iABb8wH9	6styCzc1Ej4NxISL0LiigM
2022-07-13T11:03:18	Open The Floodgates	The Smile	GBBKS2200006	5xqKA0qQQwprSERzubZk2n	6styCzc1Ej4NxISL0LiigM
2022-07-13T10:58:48	Thin Thing	The Smile	GBBKS2200005	1Sbdw0lMZXkfVmjuH1UTb8	6styCzc1Ej4NxISL0LiigM
2022-07-13T10:54:17	Speech Bubbles	The Smile	GBBKS2200004	5pzfcBv5riLKb74cq0wjFd	6styCzc1Ej4NxISL0LiigM
2022-07-13T10:50:01	The Smoke	The Smile	GBBKS2100395	1usvtV2D0EBPb7Rk1l0PwQ	6styCzc1Ej4NxISL0LiigM
2022-07-12T17:21:02	Pana-vision	The Smile	GBBKS2200003	4FXQibsmo2XbStLEBtmIAd	6styCzc1Ej4NxISL0LiigM
2022-07-12T17:16:53	You Will Never Work In Television Again	The Smile	GBBKS2100393	2ownDSIYHvydbtauGZW4ln	6styCzc1Ej4NxISL0LiigM
2022-07-12T17:14:04	The Opposite	The Smile	GBBKS2200002	6adP4Nm71rKd9TKeRIMYZw	6styCzc1Ej4NxISL0LiigM
2022-07-12T17:10:58	The Same	The Smile	GBBKS2200001	5fTCU82IwY3barEA7iYjHg	6styCzc1Ej4NxISL0LiigM
2022-07-12T16:54:35	Bonnie Hill	Jungle	GBKPL2144808	6nU0Y6B5TEtAdiavOLP7lO	59oA5WbbQvomJz2BuRG071
2022-07-12T16:51:23	Things I Thought Were Mine	Alfie Templeman	GBKPL2005448	3i10mtYVZPyoxorz6C19xE	6QzMY3tnu0m56eKUnr4uCF
2022-07-12T16:34:18	Overnight	Parcels	FRU701700028	0hhXziDUO0wNYPsstDQWN6	3oKRxpszQKUjjaHz388fVA
2022-07-12T16:30:38	Another You (feat. Ruckazoid)	Breakbot, Ruckazoid	FR0NT1801013	3kFNbDzkKUlOkjd3gMrQLN	0iui2Be5CP8EWxvHYsVspL,5Av6nGWspcZNiZGRhqXicH
2022-07-12T16:27:16	Above the Sun	Mezzanine	NLS6R1708213	7pRCsaeWX1OQ5o7JaI2crc	5jzf34Dm3S5hnp9iwPxVBw
2022-07-12T16:24:06	Me & You ◑	HONNE, Tom Misch	GBAHS1800259	1ITJTMrS4cx8zdlI7DdSoo	0Vw76uk7P8yVtTClWyOhac,1uiEZYehlNivdK3iQyAbye
2022-07-11T17:59:14	Patagonia	Patawawa	FRX201796933	48BDsmu8QDmFANGc3F6bd0	5D65DHzw4qysvKA2VJzOtC
2022-07-11T17:55:48	It Runs Through Me	Tom Misch, De La Soul	GBKPL1790989	02CygBCQOIyEuhNZqHHcNx	1uiEZYehlNivdK3iQyAbye,1Z8ODXyhEBi3WynYw0Rya6
2022-07-11T17:51:26	Tieduprightnow	Parcels	FRU701800011	66tkDkPsznE5zIHNt4QkXB	3oKRxpszQKUjjaHz388fVA
2022-07-11T17:45:31	Somethinggreater - Single Version	Parcels	FR6P12100640	1hp7aHiWB6zxcpehJR7xRO	3oKRxpszQKUjjaHz388fVA
2022-07-11T17:42:02	Lightenup	Parcels	FRU701800034	1qtiESAzfGMw3YqJvI97ki	3oKRxpszQKUjjaHz388fVA
2022-07-11T17:38:03	Gamesofluck	Parcels	FRU701600048	0rdWkO7ncrh1lrJGDmLq9L	3oKRxpszQKUjjaHz388fVA
2022-07-11T11:01:00	Overnight	Parcels	FRU701700028	0hhXziDUO0wNYPsstDQWN6	3oKRxpszQKUjjaHz388fVA
2022-07-11T10:57:20	Tieduprightnow	Parcels	FRU701800011	66tkDkPsznE5zIHNt4QkXB	3oKRxpszQKUjjaHz388fVA
2022-07-10T14:52:47	Todagente	Da Weasel	PTEM19700065	0bUP2HaJxCqPNh0n4YVY0m	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:48:48	Carrossel (Às vezes dá-me para isto)	Da Weasel	PTEM10400049	1U0RuAVsTGIhXL5dK2EIxA	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:45:18	Tas Na Boa	Da Weasel	PTEM10100124	1Exp160GOIOY4zhm0OExir	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:42:07	Toque-toque	Da Weasel	PTEM10700028	5L7Ksck3LzMrn3djt18KHg	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:37:14	Dúia	Da Weasel	PTEM19700066	43AgvJKZaome3FO5syqaag	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:32:18	Casa -vem fazer de conta (feat. Manel Cruz)	Da Weasel, Manel Cruz	PTEM10400051	6eALDNWmqM0BAygu09GR1G	71SuRO9s3mJNnwAlw7TD7l,00Gkzhtu9yxlcHWgm1Lnsh
2022-07-10T14:27:17	Tieduprightnow	Parcels	FRU701800011	66tkDkPsznE5zIHNt4QkXB	3oKRxpszQKUjjaHz388fVA
2022-07-10T14:23:07	Força (Uma página de história)	Da Weasel	PTEM10400047	2fKG2dvMhPF4BmUkOVdEnC	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:20:13	Dialectos da ternura	Da Weasel	PTEM10700025	5nDueiCzwXxZIX3Y5ODuA5	71SuRO9s3mJNnwAlw7TD7l
2022-07-10T14:16:05	Re-tratamento	Da Weasel	PTEM10400001	0YtFqZhheQZIrVc0qbqL8D	71SuRO9s3mJNnwAlw7TD7l
2022-07-08T14:42:13	Toque-toque	Da Weasel	PTEM10700028	5L7Ksck3LzMrn3djt18KHg	71SuRO9s3mJNnwAlw7TD7l
