listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-27T19:17:48	Sere nere	Tiziano Ferro	ITB920300035	4Ovy5UkvkweOluGd9hoKsR	11TplWqOPQBTmg2eiSLt1m
2022-05-27T19:13:34	Xverso	Tiziano Ferro	ITB920300040	60zS0V5Qdh9eaQ9TV1MpTK	11TplWqOPQBTmg2eiSLt1m
2022-05-27T19:09:43	Centoundici	Tiziano Ferro	ITB920300029	2hGEmJ50nMVS84fXFteKkj	11TplWqOPQBTmg2eiSLt1m
2022-05-27T19:05:23	Mio fratello	Tiziano Ferro	ITB920600038	2iGuj34s9k9tumO7Op1TEq	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:59:59	Già ti guarda Alice	Tiziano Ferro	ITB920600022	0LpL6SygyrPETRp9pnNNpV	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:55:52	Baciano le donne (feat. Biagio Antonacci)	Tiziano Ferro, Biagio Antonacci	ITB920600035	05EM3kDXU6o1aHIwXuWFXw	11TplWqOPQBTmg2eiSLt1m,0Qd65xBSFzdm3zCEu2ThQF
2022-05-27T18:52:43	La paura che…	Tiziano Ferro	ITB920600023	2Quj5GEAem4XvBhdUwasUd	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:47:47	E Raffaella è mia	Tiziano Ferro	ITB920600020	3TpGGZJPOigIQ94DEXaz36	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:44:32	Salutandotiaffogo	Tiziano Ferro	ITB920600009	1pEJvOwJjevvfOxcUK1pZF	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:40:48	E fuori è buio	Tiziano Ferro	ITB920600018	4UqhLA5fvBra3zfSl39GfR	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:37:05	Stop! Dimentica	Tiziano Ferro	ITB920600016	7dfZaSRWloJY0Jx2VlMGMO	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:32:30	Ed ero contentissimo	Tiziano Ferro	ITB920600013	0mHZ5IoR9iNM7HoZafOwcl	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:28:17	Ti scatterò una foto	Tiziano Ferro	ITB920600011	2IDNV0ttledZreT0JtzFMp	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:22:28	Non me lo so spiegare	Tiziano Ferro	ITB920300038	1alkcizqDv2OHXScAGEY6W	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:17:42	In bagno in aeroporto	Tiziano Ferro	ITB920300037	0Njo0tp4adcn447X3RImNy	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:14:53	Ti voglio bene	Tiziano Ferro	ITB920300039	2aSzUNVJ2HVG3D3YhrQiAK	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:10:03	Sere nere	Tiziano Ferro	ITB920300035	4Ovy5UkvkweOluGd9hoKsR	11TplWqOPQBTmg2eiSLt1m
2022-05-27T18:05:00	Xdono	Tiziano Ferro	ITB920100002	3h0v8BiwP1qzlCX7TXrsDF	11TplWqOPQBTmg2eiSLt1m
2022-05-26T20:05:06	Sono solo parole	Noemi	ITB001200065	4SjRtuCDZvO68N2agNkahv	62C5P1caRIK12ndTkzNJjA
2022-05-26T20:01:28	Il Primo Bacio Sulla luna	Cesare Cremonini	NLE880800014	0wZa6FUDCvMfKQuPyj6X5Z	396Jr76018oUMR6QBnqT8T
2022-05-26T19:53:23	Viaggio di un poeta	Dik Dik	ITA611113285	26O8P2MmH13fRzPUDD6PlM	02k49fevWJG1fltz6R0jez
2022-05-26T19:49:40	Come se non fosse stato mai amore	Laura Pausini	ITR000400036	2orX7XWXfT4eZNEFv90KFU	2e4nwiX8ZCU09LGLOpeqTH
