listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-23T01:00:00	Long Drives	BoyWithUke	USUG12200347	1APefTkgjjwQfZbUWQkOFc	1Cd373x8qzC7SNUg5IToqp
2022-06-23T00:56:59	So Cold	BoyWithUke	TCAFH2098665	0o0thcCouxNmBpVLJPPD7b	1Cd373x8qzC7SNUg5IToqp
2022-06-23T00:45:52	Bitter	Blakey	UK6KW2100011	7y2mNflSrWuJuni0kdN0LX	3cqjRMFHyTEbY3Gq1P7sAl
2022-06-23T00:12:43	Getting Older	Billie Eilish	USUM72105922	4HOryCnbme0zBnF8LWij3f	6qqNVTkY8uBg9cP3Jd7DAH
2022-06-23T00:08:38	Flames (with ZAYN)	R3HAB, ZAYN, Jungleboi	NLW4L1900211	5ZbrBDvGzwYLs8DQftuGmH	6cEuCEZu7PAE9ZSzLLc2oQ,5ZsFI1h6hIdQRw2ti0hz81,1igVsxmGxt1VTKPulM0EuA
2022-06-23T00:06:02	Gradually	ASTN	QZN882178096	2zQ0BWsBnGckZt5PwW2Rrj	7zkwepHPyac6tCYl0fL0co
2022-06-23T00:03:26	Bored	Billie Eilish	USUM71702756	04sN26COy28wTXYj3dMoiZ	6qqNVTkY8uBg9cP3Jd7DAH
2022-06-23T00:00:25	wish you were gay	Billie Eilish	USUM71900767	3Fj47GNK2kUF0uaEDgXLaD	6qqNVTkY8uBg9cP3Jd7DAH
2022-06-22T23:56:43	Heathens	Twenty One Pilots	USAT21601930	6i0V12jOa3mr6uu4WYhUBr	3YQKmKGau1PzlVlkL1iodx
2022-06-22T23:53:26	Come On Eileen	Dexys Midnight Runners	GBF088200006	0lj15qHIbi7gsO6CLfWbvF	4QTVePrFu1xuGM9K0kNXkk
2022-06-22T23:48:52	Forget Me	BoyWithUke	TCAFM2110482	0h24uuLScpEdZBP0mpSvdJ	1Cd373x8qzC7SNUg5IToqp
2022-06-22T23:46:08	Somewhere Only We Know (feat. Darren Criss)	Glee Cast, Darren Criss	USQX91100326	7qekEQyGFRim7qNhxzkaLo	0SCbttzoZTnLFebDYmAWCm,3nQ59hkeciYoR6RreQL4Rv
2022-06-22T23:43:03	brutal	Olivia Rodrigo	USUG12101242	6SRsiMl7w1USE4mFqrOhHC	1McMsnEElThX1knmY4oliG
2022-06-22T23:40:40	I Was Me	Imagine Dragons	USUM71516354	27eKJ4RlK36novSUJQXlVH	53XhwfbYqKCa1cC15pYq2q
2022-06-22T23:37:23	Happier	Ed Sheeran	GBAHS1700028	2RttW7RAu5nOAfq6YFvApB	6eUKZXaKkcviH0Ku9w2n3V
2022-06-22T23:33:54	Human	Rag'n'Bone Man	GBARL1600665	58zsLZPvfflaiIbNWoA22O	4f9iBmdUOhQWeP7dcAn1pf
2022-06-22T23:17:31	Head$hot! (with Trippie Redd)	KA$HDAMI, Trippie Redd	USUM72120938	6xLaQvMFknex88LVALSgYP	4YEl33ar2WlUSF94Yh9CCf,6Xgp2XMz1fhVYe7i6yNAax
2022-06-22T22:52:57	Play with Fire (feat. Yacht Money)	Sam Tinnesz, Yacht Money	TCADC1794515	7vguMCv8uVuZLiQJ156u3Z	70TsVY28EcEUYSGG5Yw7mp,3p2tOUHPzDOVOW1hzSrgw8
2022-06-22T22:07:01	Play with Fire (feat. Yacht Money)	Sam Tinnesz, Yacht Money	TCADC1794515	7vguMCv8uVuZLiQJ156u3Z	70TsVY28EcEUYSGG5Yw7mp,3p2tOUHPzDOVOW1hzSrgw8
2022-06-22T21:44:18	In Case You Don't Live Forever	Ben Platt	USAT21900702	6EQPEK7arb4MxI6XB3JrCk	6qGkLCMQkNGOJ079iEcC5k
2022-06-22T21:40:30	What They'll Say About Us - Until The Ribbon Breaks Reimagination	FINNEAS, Until The Ribbon Breaks	GBKPL2144156	0pqQXstI4FjgKFlb651tbP	37M5pPGs6V1fchFJSgCguX,0PFM64sKw3GG4Sk8kqNIcp
2022-06-22T21:36:56	You Are Enough (Acoustic)	Sleeping At Last	USGES2106001	6jPob3XDIVyNwPKUv2GwBf	0MeLMJJcouYXCymQSHPn8g
2022-06-22T21:33:47	Understand	BoyWithUke	USUG12201585	6dGqGkYDoRrKh5UiIcTT22	1Cd373x8qzC7SNUg5IToqp
2022-06-22T21:30:54	Therefore I Am	Billie Eilish	USUM72021500	20R4HfKloPKgXDqU7UKk3x	6qqNVTkY8uBg9cP3Jd7DAH
2022-06-22T21:17:35	Changes	Hayd	USUM72021970	7KhzNtBj6hmB08fyJCIRb3	1adGvsK8A0XG2D18ufk7fZ
2022-06-22T21:14:00	Welcome To The World	Ed Sheeran	GBAHS2200717	6GqJ3mte0bfx6cIrWlVDW6	6eUKZXaKkcviH0Ku9w2n3V
2022-06-22T21:11:02	The 90s	FINNEAS	USUG12103245	7pNcOZGxBHXuNKT2YUABzr	37M5pPGs6V1fchFJSgCguX
2022-06-22T20:23:09	Been Himma	Dom Vallie	CAAB82100017	5G9i6PTCmXdOVmUfDRlc6t	7z29vXpa0PYA6mngEsWNXk
2022-06-22T20:12:21	Arabella	Arctic Monkeys	GBCEL1300365	7nzsY8vlnKdvGOEE0rjAXZ	7Ln80lUS6He07XvHI8qqHH
2022-06-22T20:08:54	Love Story	Sarah Cothran	TCAFI2139845	28iWca1I2wjlrkfiMMP0aL	3kft86DbqCNr7rjq3pEj0G
2022-06-22T20:05:43	Sim	Klepht	PTBM11300026	1zb1b4eaC84KiQHrkTwJT7	1Vog7m4GSiL05GIiV6j4Qi
2022-06-22T20:01:44	Bap U	Party Favor	USZ4V1400096	4Ijr3J0lnLCGZvpXBiqCjU	7yPPzu5UdAK7yagQqjEZQm
2022-06-22T19:58:55	Another Show	Koastle	QZES52277300	1rUhmF9HtFLKYAmbDef3fy	3AqRITBdB7bKbE7aNOVx6g
2022-06-22T18:43:12	the sound (w/ Mob Rich)	pluko, Mob Rich	QM24S2009882	0F2HHSZSypzw1jvXzsKD2o	01qbSocTDAe2DmKayS89A5,5cVeSOiS002MF1uiUFOPV5
2022-06-22T18:41:11	21/06	Klepht	PTBM11400052	24DlihiYZDkOeTAO7HnAW0	1Vog7m4GSiL05GIiV6j4Qi
2022-06-22T18:37:19	Don't Be Cruel	Billy Swan	USSM17400219	0ynmh87cJ8HvBWFOooBrz6	6nNkKMkPl1qBCEW3Al9eVV
2022-06-22T18:33:06	Green Green Dress - bonus track	Andrew Garfield, Alexandra Shipp	QZ8BZ2100748	03xt2LxOcbaJn81ndTUsMD	2garjIdgTW5i89s4Z3UT72,6RKS67sIPOW16NcGWkgdzF
2022-06-22T18:30:33	Roots	Imagine Dragons	USUM71512947	4GITtbZtRCQXhWLMXrWXHt	53XhwfbYqKCa1cC15pYq2q
2022-06-22T18:27:29	Why'd You Only Call Me When You're High?	merci, mercy	USUG12106226	7GzmBQVPlJ9blD0Qb7Dbq8	524oC8NzSWvqPbwiRkYSLH
2022-06-22T18:24:56	I Wish	BoyWithUke	TCAFH2098641	0BUxAlVFVTpfl31Vr9byBT	1Cd373x8qzC7SNUg5IToqp
2022-06-22T18:20:40	Arsonist's Lullabye	Hozier	IEACJ1400014	7lpmIGFw7Kc9qIdq4cGs34	2FXC3k01G6Gw61bmprjgqS
2022-06-22T18:16:13	Anyone	Demi Lovato	USUM72001315	6rqTMNYXhATtbi4WQO6lQW	6S2OmqARrzebs0tKUEyXyp
2022-06-22T18:09:23	Matilda	Harry Styles	USSM12200615	6uvh0In7u1Xn4HgxOfAn8O	6KImCVD70vtIoJWnq6nGn3
2022-06-22T18:05:17	Trouble	Coldplay	GBAYE0000560	0R8P9KfGJCDULmlEoBagcO	4gzpq5DPGxSnKTe4SA8HAU
2022-06-22T16:21:48	Trouble	Coldplay	GBAYE0000560	0R8P9KfGJCDULmlEoBagcO	4gzpq5DPGxSnKTe4SA8HAU
2022-06-22T15:12:59	idfc	blackbear	USLD90811103	3SErMoIKdRELto2OspGs5L	2cFrymmkijnjDg9SS92EPM
2022-06-22T15:09:32	"Pearly-Dewdrops' Drops - 7"" Version"	Cocteau Twins	GBAFL8400091	0mxe1uof85IOstFsn2l2da	5Wabl1lPdNOeIn0SQ5A1mp
2022-06-22T14:52:56	STAY (with Justin Bieber)	The Kid LAROI, Justin Bieber	USSM12103949	5PjdY0CKGZdEuoNab3yDmX	2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s
2022-06-22T14:41:20	Landmine - Aire Atlantica Remix	FINNEAS, Aire Atlantica	GBKPL1811836	0lh499h2pHjn6bc2P7gCWM	37M5pPGs6V1fchFJSgCguX,6Ta9RS3a6sLulTlM4FWY5K
2022-06-22T14:38:06	Therefore I Am	Billie Eilish	USUM72021500	20R4HfKloPKgXDqU7UKk3x	6qqNVTkY8uBg9cP3Jd7DAH
2022-06-22T14:35:13	Something in the Orange - Z&E's Version	Zach Bryan	USWB12201356	3rU2QIyNDk2OWV6mAW2qQr	40ZNYROS4zLfyyBSs2PGe2
2022-06-22T14:30:58	Trouble	Cage The Elephant	USRC11502826	5n0CTysih20NYdT2S0Wpe8	26T3LtbuGT1Fu9m0eRq5X3
2022-06-22T14:27:12	Sanctuary	Joji	ZZOPM2002183	5F1ZmucV0uJY14y2dYKePa	3MZsBdqDrRTJihTHQrO6Dq
2022-06-22T14:24:10	So Cold	BoyWithUke	TCAFH2098665	0o0thcCouxNmBpVLJPPD7b	1Cd373x8qzC7SNUg5IToqp
2022-06-22T14:20:41	Gonna Be Okay	Brent Morgan	TCAFN2132627	2zZuQRgs9xNBXwdZUFEGE6	272dr7ToE0VRsdxXlrx3PV
2022-06-22T14:17:10	Lost	Jake Bugg	GBARL2100286	16G0Qan7xvfuuZRAITas0B	4hf3caW9H8uFwwbv5pFjcg
2022-06-22T14:13:41	The Great Pretender	Freddie Mercury	GBDTW0000008	4xm2RpQtpFVlPlO1v4BrBr	4M1FpEWs2PeYfJe7xxJfhH
2022-06-22T14:10:14	Put Your Hands Up	Forest Blakk	USAT21905493	3CBir3JS04s0uroUTKKgQ0	7q7IUe2AqtifSZ2q52kHFc
2022-06-22T13:55:52	What They'll Say About Us	FINNEAS	GBKPL2017228	4W1gUkq2TAOOFCBet3i3WR	37M5pPGs6V1fchFJSgCguX
2022-06-22T13:52:51	Let Me Down	BoyWithUke	USUG12201569	4bAKBlxMI0eNoy1aNonUrV	1Cd373x8qzC7SNUg5IToqp
2022-06-22T13:36:22	Flight Risk	Tommy Lefroy	GBKPL2170620	5fXWYr3Cz4DqEz5mzHccKF	3vldh5Ceynytj6Iglw4haP
2022-06-22T13:21:38	Devil Doesn’t Bargain	Alec Benjamin	USAT22200712	1zu2GKHPJIsUu80SUJX4H4	5IH6FPUwQTxPSXurCrcIov
2022-06-22T11:51:24	What A Time (feat. Niall Horan)	Julia Michaels, Niall Horan	USUM71900686	5WtfUKzXircvW8l5aaVZWT	0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4
2022-06-22T11:40:58	cinderella's dead	EMELINE	USUG12201893	5MWXOo8DJwgODtPGaietNz	4S38gbKfKkEbty2YAIDIlV
2022-06-22T11:38:56	Flight Risk	Tommy Lefroy	GBKPL2170620	5fXWYr3Cz4DqEz5mzHccKF	3vldh5Ceynytj6Iglw4haP
2022-06-22T11:37:58	Moon	Jonah Kagen	USQX92102063	1XpAZlfENlrHalIvuhAp9R	5KsRA81UaMVKvLNiwDySfp
2022-06-22T11:34:16	Overwhelmed (Ryan Mack Remix)	Ryan Mack	IERZR2100004	03eyNjBM2mpx28H6kdaufN	5LGo1zHegJTWzqVXgeNplt
2022-06-22T11:32:32	Devil Doesn’t Bargain	Alec Benjamin	USAT22200712	1zu2GKHPJIsUu80SUJX4H4	5IH6FPUwQTxPSXurCrcIov
2022-06-21T22:36:21	Boho Days	Andrew Garfield, Robin de Jesus, Alexandra Shipp, Joshua Henry, Vanessa Hudgens	QZ8BZ2100735	7k5agf3Bo48jyzXrvrMuhb	2garjIdgTW5i89s4Z3UT72,6mXcTwoata1hkaDMbkzw32,6RKS67sIPOW16NcGWkgdzF,2WHbNs4WT5ZN7rbjDqbyEE,6G9bygHlCyPgNGxK2l3YdE
2022-06-21T22:34:58	Television / So Far So Good (voice memo)	Fran Vasilić	QZNWU2122602	2xs6cQSSaFOEm6WZPoSGH6	08xR1XU2SWgC2K0yx6lEYm
2022-06-21T22:33:18	Lonely	Noah Cyrus	USQX91902251	6U1iuA5QfzYRPJxvdcxqtf	55fhWPvDiMpLnE4ZzNXZyW
2022-06-21T22:30:58	Tudo Me Lembra Você	Vitor Kley	BR3752200092	7DTPFvOlmCTZtY2zt8wDNN	4FGcERJWMg8ENOLixwF71U
2022-06-21T21:02:12	What A Time (feat. Niall Horan)	Julia Michaels, Niall Horan	USUM71900686	5WtfUKzXircvW8l5aaVZWT	0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4
2022-06-21T20:59:24	The Art Of Starting Over	Demi Lovato	USUM72103747	57ijZDKnYdHw5ZpHLyHblW	6S2OmqARrzebs0tKUEyXyp
2022-06-21T20:56:42	Wish You Were Here	Galena Crew, Finn	QZNWU2198062	3rU5oRDH1HzC8jE9odXx9c	2POzROdDgoy8DpRamLMlbR,2FRW16SDnsRp5YZ2BlljvD
2022-06-21T20:53:06	Far Away	BoyWithUke	USUG12201788	6d9tQk2l8UPqiwkf9ZUp6L	1Cd373x8qzC7SNUg5IToqp
2022-06-21T20:50:46	As It Was	Harry Styles	USSM12200612	4LRPiXqCikLlN15c3yImP7	6KImCVD70vtIoJWnq6nGn3
2022-06-21T20:48:04	ACORDA PEDRINHO	Jovem Dionisio	BCDJT2200002	2sUhjzuc6w4SRFwoC3LvXZ	4m5LghDfOKFZNEBZ0GO1OQ
2022-06-21T20:45:16	Let Me Down	BoyWithUke	USUG12201569	4bAKBlxMI0eNoy1aNonUrV	1Cd373x8qzC7SNUg5IToqp
2022-06-21T20:42:17	Louder Than Words	Andrew Garfield, Vanessa Hudgens, Joshua Henry	QZ8BZ2100746	27fk9xZ9lQjzb6F9ZKpmnC	2garjIdgTW5i89s4Z3UT72,6G9bygHlCyPgNGxK2l3YdE,2WHbNs4WT5ZN7rbjDqbyEE
2022-06-21T20:37:28	Dos Oruguitas	Sebastian Yatra	USWD12112917	5rohUzwEoRsUvAA1Bf3DLo	07YUOmWljBTXwIseAUd9TW
2022-06-21T20:33:58	Stefania (Kalush Orchestra)	KALUSH	DEE862200344	2vHzOWRKYPLu8umRPIFuOq	46rVVJwHWNS7C7MaWXd842
2022-06-21T20:31:04	LoveSick	BoyWithUke	TCAFS2101430	1zS5TccQwMDp5ZsEnt4FAh	1Cd373x8qzC7SNUg5IToqp
2022-06-21T20:28:43	Love Me For Me	MASN	USRC12201165	4kKhmIdFALmwCYrt90oWUW	4HAfqyKr4Sqtab6ttHWXgE
2022-06-21T20:25:56	Find Me	Forest Blakk	USAT21802690	35PSo9naZwUlcEQaut6I7j	7q7IUe2AqtifSZ2q52kHFc
2022-06-21T20:21:11	Naked	FINNEAS	USUG12200694	1aXWzWjj5Lchfm44Uet9nZ	37M5pPGs6V1fchFJSgCguX
2022-06-21T20:18:29	Two Face (Dark Version)	Jake Daniels	DEWO71700330	3qFz4Yl3L2USyP7EfbVFQy	3AYZMgvmzNKc3cGmJUSITh
2022-06-21T20:15:58	What Did I Do?	Hayd	USUM72122494	3olUFMwgASQGeXrlm4g6OH	1adGvsK8A0XG2D18ufk7fZ
2022-06-21T20:12:27	Hazel Eyes	BoyWithUke	TCAFM2110473	2P375Ek8tXZjgo0bef9Sc1	1Cd373x8qzC7SNUg5IToqp
2022-06-21T20:09:37	Matilda	Harry Styles	USSM12200615	6uvh0In7u1Xn4HgxOfAn8O	6KImCVD70vtIoJWnq6nGn3
2022-06-21T20:05:36	Some Days	Brent Morgan	TCAGD2269824	6vfZSkjmzjo6q5BhkWSRxY	272dr7ToE0VRsdxXlrx3PV
2022-06-21T20:03:30	In The Stars	Benson Boone	USWB12201574	1ei3hzQmrgealgRKFxIcWn	22wbnEMDvgVIAGdFeek6ET
2022-06-21T19:59:59	O Amor Machuca Demais	Vitor Kley	BR3752100390	1dU7zu7NYp8lHKCNObw3IC	4FGcERJWMg8ENOLixwF71U
2022-06-21T19:56:55	Television / So Far So Good	Rex Orange County	US23A1500497	5OUTFH5acycdnf8OVo21Gv	7pbDxGE6nQSZVfiFdq9lOL
2022-06-21T19:52:38	I’m Tired (with Zendaya) - Bonus Track	Labrinth, Zendaya	USQX92200588	6LtHYDgYHRCHoKK3snfr2w	2feDdbD5araYcm6JhFHHw7,6sCbFbEjbYepqswM1vWjjs
2022-06-21T19:49:35	Don't Text Me When You're Drunk	Stacey Ryan, Zai1k	QZK7M2200000	3xSoK8ldUubd66INPOszNi	3sXwEUqxSzb11VpuFa5cvJ,2ORU5xiGsr9qfRKNvZ3UII
2022-06-21T19:45:03	Television / So Far So Good (voice memo)	Fran Vasilić	QZNWU2122602	2xs6cQSSaFOEm6WZPoSGH6	08xR1XU2SWgC2K0yx6lEYm
2022-06-21T19:43:30	Two Moons	BoyWithUke	TCAFM2173435	5GxUKIEkMXXZo1Tif0IzfC	1Cd373x8qzC7SNUg5IToqp
2022-06-21T19:39:50	Am I Wrong	Nico & Vinz	USWB11304681	1fidCEsYlaVE3pHwKCvpFZ	0awl5piYwO0CDTHEkCjUhn
2022-06-21T19:35:49	Brividi	Mahmood, BLANCO	ITUM72200040	1ZMGp9MTXbtAPvcKa0U3zS	06nvjg4wBANK6DCHjqtPNd,1MRiIeZbc0cRuxOafDUCtH
2022-06-21T16:51:15	I'm Only a Fool for You	Dybbukk	QZES52208040	3OBVKgbxxSYtPm1YtGse58	0UAfgrYSLcjHNocndTNjhH
2022-06-21T16:48:32	Miserable Man	David Kushner	QZD5H2000385	6gPPoRYJwCsoB2VVdPJfmo	33NVpKoXjItPwUJTMZIOiY
2022-06-21T16:44:11	Daddy Issues	The Neighbourhood	USSM11506747	5E30LdtzQTGqRvNd7l6kG5	77SW9BnxLY8rJ0RciFqkHh
2022-06-21T16:39:50	Someone Else's Star	FINNEAS	USUG12103250	0lIuxHZkiRZBeKH0Q4q5Vy	37M5pPGs6V1fchFJSgCguX
2022-06-21T16:36:20	Trying My Best	Anson Seabra	TCAEO1908525	6hjh2phISvfR1Ib6S0FK7b	2jHp7gQArCQrlMvdrIVFCg
2022-06-21T15:44:45	Break Free (with Nick Kroll)	Reese Witherspoon, Nick Kroll	USQ4E2101107	68GivR8VOfoNadF5qynqxa	5V8q61RswIFvxhIfzYVew9,54wmKAtAAWcMLCJYzmU5ih
2022-06-21T15:43:10	Two Face	Jake Daniels	QZHN52028220	1HbYurjySL0EacAQnp5VRl	3AYZMgvmzNKc3cGmJUSITh
2022-06-21T15:14:19	Shy	BoyWithUke	TCAFN2170956	2Uw7W4GRfkANPlBETf0DVO	1Cd373x8qzC7SNUg5IToqp
2022-06-21T15:10:38	Matilda	Harry Styles	USSM12200615	6uvh0In7u1Xn4HgxOfAn8O	6KImCVD70vtIoJWnq6nGn3
2022-06-21T14:33:20	Temptation	New Order	GBCRL1100215	4ELWT1yVHNK5Bo6MOpI4oR	0yNLKJebCb8Aueb54LYya3
2022-06-21T14:21:11	My Tears Are Becoming a Sea	M83	GB55H1100012	08wnOyN1wyMaNrup3m353f	63MQldklfxkjYDoUE4Tppz
2022-06-21T14:18:33	Cradles	Sub Urban	GB2LD1800949	47UFoOuvrkt4khE7c5aap6	7gXb99Sf9nNmpNYeAgIQFG
2022-06-21T14:15:03	Pelo Toque Da Viola	António Zambujo	PTNO12100006	6xwvHCDX6RgDudnZ6jQOq9	72G65J87dqMi39O00Du2Je
2022-06-21T14:03:21	10 Things I Hate About You	Leah Kate	QZES62254244	6Jkm5kUldvIqxzI1Pa7nXH	6oWOHAOyBUn6aJlKIPJK9r
2022-06-21T14:00:41	Hazel Eyes	BoyWithUke	TCAFM2110473	2P375Ek8tXZjgo0bef9Sc1	1Cd373x8qzC7SNUg5IToqp
2022-06-21T13:54:04	Lonely	Noah Cyrus	USQX91902251	6U1iuA5QfzYRPJxvdcxqtf	55fhWPvDiMpLnE4ZzNXZyW
2022-06-21T13:51:40	Fix You	Coldplay	GBAYE0500605	7LVHVU3tWfcxj5aiPFEW4Q	4gzpq5DPGxSnKTe4SA8HAU
2022-06-21T13:46:43	Japanese Pancakes	Fran Vasilić	QZK6M2085562	7Lf1IgNsW8GniX5Lf7e4AP	08xR1XU2SWgC2K0yx6lEYm
2022-06-21T13:39:48	Twenty Twenties	Fran Vasilić	QZK6M2085560	3CuSn16k6iSBUwtNyD5mrP	08xR1XU2SWgC2K0yx6lEYm
2022-06-21T13:36:19	I Was Me	Imagine Dragons	USUM71516354	27eKJ4RlK36novSUJQXlVH	53XhwfbYqKCa1cC15pYq2q
