listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-28T11:18:50	The Greatest Show	Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble	USAT21704616	43ay9lQZ5rfNcOOHhRF2cM	5F1aoppMtU3OMiltO8ymJ2,7HV2RI2qNug4EcQqLbCAKS,6U1dBXJhC8gXFjamvFTmHg,6sCbFbEjbYepqswM1vWjjs,63nv0hWWDob56Rk8GlNpN8
2022-06-28T11:12:58	Other Side Of The World	KT Tunstall	GBGLM0400066	4A9E08l34BkPsCDAmOpHxb	5zzrJD2jXrE9dZ1AklRFcL
2022-06-28T10:53:00	Power	Little Mix	GBHMU1600079	0lUSd7TCG8srh6HpIAEIWL	3e7awlrlDSwF3iM0WBjGMp
2022-06-28T10:48:31	If We Ever Meet Again - International Radio Edit	Timbaland, Katy Perry	USUM70919510	4MUQST2K6PeOO21KQzcsel	5Y5TRrQiqgUO4S36tzjIRZ,6jJ0s89eD6GaHleKKya26X
2022-06-28T10:43:04	Intro/Promiscuous	Nelly Furtado, Timbaland	USUM70601450	30UNDv108YstCmbSO5THt5	2jw70GZXlAI8QzWeY2bgRc,5Y5TRrQiqgUO4S36tzjIRZ
2022-06-28T10:26:42	My Love (feat. Jess Glynne)	Route 94, Jess Glynne	GBQGW1300182	61UQzeiIluhpzpMdY4ag3q	1dgdvbogmctybPrGEcnYf6,4ScCswdRlyA23odg9thgIO
2022-06-28T10:17:10	The Thrill	Wiz Khalifa, Empire of the Sun	USA2P2033760	4wqzOaLxiCRy2Et8tRyNSX	137W8MRPWKqSmrBGDBFSop,67hb7towEyKvt5Z8Bx306c
2022-06-28T10:11:40	High	The Chainsmokers	USQX92105208	0Dtv5iaqPWtftabQfjBvxh	69GGBxA162lTqCwzJG5jLp
2022-06-28T10:08:34	The Greatest Show	Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble	USAT21704616	4ylWMuGbMXNDgDd8lErEle	5F1aoppMtU3OMiltO8ymJ2,7HV2RI2qNug4EcQqLbCAKS,6U1dBXJhC8gXFjamvFTmHg,6sCbFbEjbYepqswM1vWjjs,63nv0hWWDob56Rk8GlNpN8
2022-06-28T10:01:43	From Now On	Hugh Jackman, The Greatest Showman Ensemble	USAT21704626	3IkWmgGsXbsafrunwPojXO	5F1aoppMtU3OMiltO8ymJ2,63nv0hWWDob56Rk8GlNpN8
2022-06-28T09:21:21	Love Song	Sara Bareilles	USSM10700066	4E6cwWJWZw2zWf7VFbH7wf	2Sqr0DXoaYABbjBo9HaMkM
2022-06-28T09:16:29	Suddenly I See	KT Tunstall	GBGLM0400069	5p9XWUdvbUzmPCukOmwoU3	5zzrJD2jXrE9dZ1AklRFcL
2022-06-28T09:13:06	Other Side Of The World	KT Tunstall	GBGLM0400066	4A9E08l34BkPsCDAmOpHxb	5zzrJD2jXrE9dZ1AklRFcL
