listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-18T08:09:42	Sippy Cup	Melanie Martinez	USAT21501779	2e4jB31WcGsxKL1ByqdZCq	63yrD80RY3RNEM2YDpUpO8
2022-07-18T08:06:15	Baby Tonight	Black Polish	GBKPL2168384	6iQNowW9ulIf5rQuMCSLFt	68uS7D9Jp3BsuUEOOqQ9oP
2022-07-18T08:02:50	Control	Halsey	USUM71507636	3SKzTIl9mW0DadTys9SFo3	26VFTg2z8YR0cCuwLzESi2
2022-07-18T07:58:52	C'est la vie	Weathers	QZ93L2023538	4RPpx2lgTptIUtR50KXfQ0	4OTFxPi5CtWyj1NThDe6z5
2022-07-17T19:05:31	This Is Love	Air Traffic Controller	uscgj1607526	2cls4groLeYT1zmlXN1pO2	2Oboq4Pq88TcC9eUn2HSW9
2022-07-17T19:02:48	Kill the Director	The Wombats	GBFTG0300126	1tF1J2fK1F9iQ8UUD1Iai5	0Ya43ZKWHTKkAbkoJJkwIB
2022-07-17T19:00:09	Creep	Radiohead	GBAYE9200070	70LcF31zb1H0PyJoS1Sx1r	4Z8W4fKeB5YxbusRsdQVPb
2022-07-17T18:54:47	Mama	My Chemical Romance	USRE10602910	0Zh3tKIphLOvQux4dA6PFZ	7FBcuc1gsnv6Y1nwFtNRCb
2022-07-17T18:50:11	Cry Baby	Melanie Martinez	USAT21501936	052vSBPxqdmYRDlkSPiavc	63yrD80RY3RNEM2YDpUpO8
2022-07-17T18:46:14	C'est la vie	Weathers	QZ93L2023538	4RPpx2lgTptIUtR50KXfQ0	4OTFxPi5CtWyj1NThDe6z5
2022-07-17T16:17:38	Air Catcher	Twenty One Pilots	usx9p0965508	70oK6ePjILgOuBUzRDOfCR	3YQKmKGau1PzlVlkL1iodx
2022-07-17T16:12:34	Rät	Penelope Scott	QZK6F2019397	4blPH3Uy89WnOnYlIv7Ev4	3u6lPufHw4Oww6D88rv6sB
2022-07-17T16:07:29	Run	Bring Me The Horizon	GBARL1500775	1wvs9V8xEJStRzx78lSNJK	1Ffb6ejR6Fe5IamqA5oRUF
2022-07-17T16:03:49	Honeybee	Steam Powered Giraffe	TCABG1229950	3MZjOGeXhpHbQ9ESMNFFnH	1yqs45BSh7457Flyhmdv7f
2022-07-17T15:58:42	When I Rule the World	LIZ	USSM11503890	7nu0Lc0jJltztDxsGeoPiG	6t2Rja6dihuxH6Mrgyynp6
2022-07-17T15:55:14	C'est la vie	Weathers	QZ93L2023538	4RPpx2lgTptIUtR50KXfQ0	4OTFxPi5CtWyj1NThDe6z5
2022-07-17T14:45:20	Camera	Bo Burnham	USA2P2225073	0VKOGtQbzaUrjZRiRdf8IF	2Waw2sSbqvAwK8NwACNjVo
2022-07-17T14:40:21	Microwave Popcorn	Bo Burnham	USA2P2225062	4CKhBJA0G3eqgyff3DaM5V	2Waw2sSbqvAwK8NwACNjVo
2022-07-17T14:34:44	Birthday Suit	Cosmo Sheldrake	GBKZV1700081	598B9RU1jZhObFSQJhisIa	6hV6oxGLeLFw17DGjIPkYD
2022-07-17T14:29:39	Dark Days	PUP	USA6G1454106	6kFBaTnUDugBoalS9GamKX	6A7uqgC2N1nUhrCLAytHxN
