listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-04T22:01:15	Intro	The xx	GBBKS0900196	2usrT8QIbIk9y0NEtQwS4j	3iOvXCl6edW5Um0fXEBRXy
2022-07-04T21:40:28	Intro	The xx	GBBKS0900196	2usrT8QIbIk9y0NEtQwS4j	3iOvXCl6edW5Um0fXEBRXy
2022-07-04T21:38:19	Intro	The xx	GBBKS0900196	2usrT8QIbIk9y0NEtQwS4j	3iOvXCl6edW5Um0fXEBRXy
2022-07-04T21:36:11	Intro	The xx	GBBKS0900196	2usrT8QIbIk9y0NEtQwS4j	3iOvXCl6edW5Um0fXEBRXy
2022-07-04T18:56:11	I Was Made For Lovin' You	KISS	USPR39330175	07q0QVgO56EorrSGHC48y3	07XSN3sPlIlB2L2XNcTwJw
2022-07-04T18:51:09	Kill Of The Night	Gin Wigmore	AUUM71101239	5ITUN3ieNCoYMquXVn7ySW	4Gzfk9Lxm67nBs7E9BZjzG
2022-07-04T18:45:29	Right Back Where We Started From	Maxine Nightingale	GBAYE7500076	00s8dO3RWrFkBqC9JIy6ag	6jQ9UtYXqNfVnPkrH1Xxwi
2022-07-04T18:40:52	Won't Be Long - As heard in the Netflix series The Umbrella Academy	Aretha Franklin	USSM11100601	2LGyCIiVEF4ao8awkeS4dI	7nwUJBm0HE4ZxD3f5cy5ok
2022-07-04T18:26:30	Hold On, I'm Comin'	Sam & Dave	USAT20001059	6PgVDY8GTkxF3GmhVGPzoB	2BVYdY4PyfCF9z4NrkhEB2
2022-07-04T18:23:54	Dancing in the Moonlight	Toploader	GBBBL9902165	3Fzlg5r1IjhLk2qRw667od	6xeFne1rkxMhKSW3ipvkdV
2022-07-04T18:01:07	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-07-04T15:02:28	"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack"	Bill Medley, Jennifer Warnes	USRC10300895	4BFMQ15vXr626UOoZL8bUI	1XE70WwxhnrXNAJYQQ9ygx,1BwHztAQKypBuy5WBEdJnG
2022-07-03T21:05:54	Something on Your Mind	Karen Dalton	USDEA0602201	4cmCWVR8RlLYyASMarxU0e	5O5V29YvM6AzAQ0rNt59fy
2022-07-03T17:27:11	All Die Young	Smith Westerns	GBCEL1100089	0O9YgA646jsfJsORIn2pl5	3yEqgEvatASNm30zZR3ZHl
2022-07-03T17:25:28	Sinnerman	Nina Simone	USPR36500095	5xRP5iyVdGglqlY4Vcjhkx	7G1GBhoKtEPnP86X2PvEYO
2022-07-03T17:15:06	Exit Music (For A Film)	Radiohead	GBAYE9701372	0z1o5L7HJx562xZSATcIpY	4Z8W4fKeB5YxbusRsdQVPb
2022-07-03T17:10:38	Sometimes	Gerry Cinnamon	UKLT81700001	2c9OnhCwDVpKZWjOPqKiA8	7cpCnhhBIU1gA7EhTFApN1
2022-07-03T17:06:44	My Way	Frank Sinatra	USRH10902101	3spdoTYpuCpmq19tuD0bOe	1Mxqyy3pSjf8kZZL4QVxS0
2022-07-03T17:01:51	Kill Of The Night	Gin Wigmore	AUUM71101239	5ITUN3ieNCoYMquXVn7ySW	4Gzfk9Lxm67nBs7E9BZjzG
2022-07-03T16:57:43	Won't Be Long - As heard in the Netflix series The Umbrella Academy	Aretha Franklin	USSM11100601	2LGyCIiVEF4ao8awkeS4dI	7nwUJBm0HE4ZxD3f5cy5ok
2022-07-03T12:42:08	Mad About You	Hooverphonic	BEU010001061	5drK2kTE2mrUdV33iHWyrx	5EP020iZcwBqHRnJftibXX
2022-07-03T12:38:32	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-07-03T12:32:50	One	Three Dog Night	USMC16949737	4KkGTqja19AHqItq3XBV3C	4FAEZeJcsYYBkNq2D3KGTV
2022-07-03T12:28:13	Sister of Pearl	Baio	USYAH1500070	2tfhqmq39kpDf1k7IJWxld	50lhyY7UVI9NyVHl79rVgk
2022-07-03T12:19:28	Right Back Where We Started From	Maxine Nightingale	GBAYE7500076	00s8dO3RWrFkBqC9JIy6ag	6jQ9UtYXqNfVnPkrH1Xxwi
2022-07-02T20:32:02	Hold On, I'm Comin'	Sam & Dave	USAT20001059	6PgVDY8GTkxF3GmhVGPzoB	2BVYdY4PyfCF9z4NrkhEB2
2022-07-02T19:42:35	Hold On, I'm Comin'	Sam & Dave	USAT20001059	6PgVDY8GTkxF3GmhVGPzoB	2BVYdY4PyfCF9z4NrkhEB2
2022-07-02T19:34:18	Short Change Hero	The Heavy	GBCFB0901504	7qxDU2QyH24KHW0OSGotVw	0bZCak2tcRMY1dzEIuwF42
2022-07-02T19:28:49	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-07-02T19:00:56	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-07-02T18:17:58	Happy Together (feat. Ray Toro)	Gerard Way, Ray Toro	USRE11900098	0n0XAmYCMWlzj3W9VdMejw	4YZ5ECfbM2xSTSQTJGBbO5,7vtO3glDQwyFDY5cTymz4E
2022-07-02T12:50:56	Footloose	Kenny Loggins	USSM18400107	6W2VbtvMrDXm5vYeB7amkO	3Y3xIwWyq5wnNHPp5gPjOW
2022-07-02T12:47:17	Hold On, I'm Comin'	Sam & Dave	USAT20001059	6PgVDY8GTkxF3GmhVGPzoB	2BVYdY4PyfCF9z4NrkhEB2
2022-07-02T12:31:57	Kill Of The Night	Gin Wigmore	AUUM71101239	5ITUN3ieNCoYMquXVn7ySW	4Gzfk9Lxm67nBs7E9BZjzG
2022-07-02T12:26:21	Right Back Where We Started From	Maxine Nightingale	GBAYE7500076	00s8dO3RWrFkBqC9JIy6ag	6jQ9UtYXqNfVnPkrH1Xxwi
2022-07-02T12:10:41	Short Change Hero	The Heavy	GBCFB0901504	7qxDU2QyH24KHW0OSGotVw	0bZCak2tcRMY1dzEIuwF42
2022-07-01T13:36:37	Say So	Doja Cat	USRC11903454	3Dv1eDb0MEgF93GpLXlucZ	5cj0lLjcoR7YOSnhnX0Po5
2022-07-01T13:31:38	Flawless	Dorothy	QMJMT1701525	1Q7Z7PQlHkuKF1F9fK5VOd	6IOvhXyk5edbA2DVaeP9Up
2022-07-01T13:27:35	Santé	Stromae	BET672100001	3vXnuFnC5RhPGwsFi0ORcI	5j4HeCoUlzhfWtjAfM1acR
2022-07-01T13:24:25	Glitter & Gold	Barns Courtney	GBUM71507092	1Mf27cnAF1Q6Ko83XTM5d1	5tFRohaO5yEsuJxmMnlCO9
2022-07-01T13:21:28	Sweet Dreams Seven Nation Army Mashup	Pomplamoose, Sarah Dugas	QZGWW1968320	4qLaxJOMGv9DyxuayDw60n	5dHfLBNU8zoypgKefzEB1c,00MWO9aNCxqV0zfezWZ5j6
2022-07-01T12:10:42	Footloose	Kenny Loggins	USSM18400107	6W2VbtvMrDXm5vYeB7amkO	3Y3xIwWyq5wnNHPp5gPjOW
2022-07-01T12:06:13	Sister	The Black Keys	USNO11100279	5LCuFER5mMzL0fGNpClksf	7mnBLXK823vNxN3UWB7Gfz
2022-07-01T12:02:47	Right Back Where We Started From	Maxine Nightingale	GBAYE7500076	00s8dO3RWrFkBqC9JIy6ag	6jQ9UtYXqNfVnPkrH1Xxwi
2022-06-30T21:34:46	Beyond the Sea	Bobby Darin	USEW10000026	3KzgdYUlqV6TOG7JCmx2Wg	0EodhzA6yW1bIdD5B4tcmJ
2022-06-30T21:28:10	Unwind Yourself	Marva Whitney	USUM71809373	0h7pMUK2EKEj7E4gGvhDO5	691nF1fI0SKCfsIypzFr7h
2022-06-30T21:25:33	Istanbul (Not Constantinople)	They Might Be Giants	USEE10181576	63vL5oxWrlvaJ0ayNaQnbX	6zB02lwP6L6ZH32nggQiJT
2022-06-30T21:22:59	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-06-30T21:19:36	Footloose	Kenny Loggins	USSM18400107	6W2VbtvMrDXm5vYeB7amkO	3Y3xIwWyq5wnNHPp5gPjOW
2022-06-30T16:49:16	Footloose	Kenny Loggins	USSM18400107	6W2VbtvMrDXm5vYeB7amkO	3Y3xIwWyq5wnNHPp5gPjOW
2022-06-30T16:45:51	Comin' Home Baby	Mel Tormé	USAT20200991	71tjsDvB4EMJqNG8EMmFnb	4X8QFzZ1HqwPfwDfyjtwXC
2022-06-30T15:11:05	Dancing in the Moonlight	Toploader	GBBBL9902165	3Fzlg5r1IjhLk2qRw667od	6xeFne1rkxMhKSW3ipvkdV
2022-06-30T15:05:30	I Was Made For Lovin' You	KISS	USPR39330175	07q0QVgO56EorrSGHC48y3	07XSN3sPlIlB2L2XNcTwJw
2022-06-30T15:00:35	Sunny	Boney M.	DED168000002	3pf96IFggfQuT6Gafqx2rt	54R6Y0I7jGUCveDTtI21nb
2022-06-30T14:56:32	Won't Be Long - As heard in the Netflix series The Umbrella Academy	Aretha Franklin	USSM11100601	2LGyCIiVEF4ao8awkeS4dI	7nwUJBm0HE4ZxD3f5cy5ok
2022-06-30T14:52:05	Mad About You	Hooverphonic	BEU010001061	5drK2kTE2mrUdV33iHWyrx	5EP020iZcwBqHRnJftibXX
2022-06-30T14:46:44	Dancing with Myself - 2001 Remaster	Billy Idol, Generation X	GBAYK0100065	7fJnj6rso7N95oztvsxrWD	7lzordPuZEXxwt9aoVZYmG,1inWec2E2UgfzMAhwjgTXe
2022-06-30T14:42:57	Happy Together (feat. Ray Toro)	Gerard Way, Ray Toro	USRE11900098	0n0XAmYCMWlzj3W9VdMejw	4YZ5ECfbM2xSTSQTJGBbO5,7vtO3glDQwyFDY5cTymz4E
2022-06-30T14:38:22	Footloose	Kenny Loggins	USSM18400107	6W2VbtvMrDXm5vYeB7amkO	3Y3xIwWyq5wnNHPp5gPjOW
2022-06-30T14:32:49	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-06-29T22:01:37	Poker Face	Lady Gaga	USUM70824409	1QV6tiMFM6fSOKOGLMHYYg	1HY2Jd0NmPuamShAr6KMms
2022-06-29T21:56:24	It's Called: Freefall	Rainbow Kitten Surprise	USAT21800165	474uVhyGgK5MtY9gMcDgGl	4hz8tIajF2INpgM0qzPJz2
2022-06-29T21:48:30	Survivor	Nathaniel Rateliff & The Night Sweats	USC4R2107143	2565zrwkcli0D88IVw2rCg	02seUFsFQP7TH4hLrTj77o
2022-06-29T21:32:36	Right Back Where We Started From	Maxine Nightingale	GBAYE7500076	00s8dO3RWrFkBqC9JIy6ag	6jQ9UtYXqNfVnPkrH1Xxwi
2022-06-29T21:19:57	Crystalised	The xx	GBBKS0900025	5UBBJnFxsfjFxfrtvErQoH	3iOvXCl6edW5Um0fXEBRXy
2022-06-28T22:40:11	Dark Side	Bishop Briggs	QM7G91600088	6FFrva3VXMwabDvuHkX4ZU	0yb46jwm7gqbZXVXZQ8Z1e
