listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-23T21:38:00	Love Me Like You	Little Mix	GBHMU1500047	6L2uVVPJA9WcDc7zCZ4DHN	3e7awlrlDSwF3iM0WBjGMp
2022-07-23T21:36:32	r u ok	Tate McRae	USRC12003896	7rq1zCf90CnU7OalBLIgNp	45dkTj5sMRSjrmBSBeiHym
2022-07-23T21:33:26	Golden	Harry Styles	USSM11912586	45S5WTQEGOB1VHr1Q4FuPl	6KImCVD70vtIoJWnq6nGn3
2022-07-23T21:29:57	pov	Ariana Grande	USUM72020441	3UoULw70kMsiVXxW0L3A33	66CXWjxzNUsdJxJ2JdwvnR
2022-07-23T21:26:35	Kiss Me More (feat. SZA)	Doja Cat, SZA	USRC12100543	3DarAbFujv6eYNliUTyqtz	5cj0lLjcoR7YOSnhnX0Po5,7tYKF4w9nC0nq9CsPZTHyP
2022-07-23T21:23:06	deja vu	Olivia Rodrigo	USUG12101240	6HU7h9RYOaPRFeh0R3UeAr	1McMsnEElThX1knmY4oliG
2022-07-23T21:09:29	Sunroof	Nicky Youre, dazy	USQX92202129	4h4QlmocP3IuwYEj2j14p8	7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x
2022-07-23T21:06:45	Looking Out for You	Joy Again	GBJET1500070	3jfZ9M23l0L7RxzYMTgBTv	4jCIAMb0zEArF3GYEYzoDk
2022-07-23T21:00:43	good 4 u	Olivia Rodrigo	USUG12101245	4ZtFanR9U6ndgddUvNcjcG	1McMsnEElThX1knmY4oliG
2022-07-23T20:57:44	Blank Space	Taylor Swift	USCJY1431309	1u8c2t2Cy7UBoG4ArRcF5g	06HL4z0CvFAxyc27GXpf02
2022-07-23T20:53:13	They Don't Know About Us	One Direction	GBHMU1200368	6M31fPFCYB8Job3MCjjrDV	4AK6F7OLvEQ5QYCBNiQWHq
2022-07-23T20:49:52	305	Shawn Mendes	USUM72018798	5ld8E3DVBXCCWQ54yrkWVp	7n2wHs1TKAczGzO7Dd2rGr
2022-07-23T20:46:10	Are You Bored Yet? (feat. Clairo)	Wallows, Clairo	USAT21812258	57RA3JGafJm5zRtKJiKPIm	0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag
2022-07-23T20:43:12	Easy (with Kacey Musgraves feat. Mark Ronson)	Troye Sivan, Kacey Musgraves, Mark Ronson	AUUM72000950	4XWaUb7mKRcJR5RPp4IIDr	3WGpXCj9YhhfX11TToZcXP,70kkdajctXSbqSMJbQO424,3hv9jJF3adDNsBSIQDqcjp
2022-07-23T19:15:53	Prom Queen	Beach Bunny	QZDA71885746	6MpCaSIOfqBqbMED4kXgNY	2vnB6tuQMaQpORiRdvXF9H
2022-07-23T19:15:51	22 (Taylor's Version)	Taylor Swift	USUG12103666	3yII7UwgLF6K5zW3xad3MP	06HL4z0CvFAxyc27GXpf02
2022-07-23T19:12:01	Golden	Harry Styles	USSM11912586	45S5WTQEGOB1VHr1Q4FuPl	6KImCVD70vtIoJWnq6nGn3
2022-07-23T19:08:32	Loverboy	A-Wall	QZFZ41979172	0qXP5fMhxGzxALOkXYUxfP	56OjNTX2bkrdGcB0staUOV
2022-07-23T19:04:47	Sweet Melody	Little Mix	GBHMU2000062	76Tuo484SLohJakHLnGI3B	3e7awlrlDSwF3iM0WBjGMp
2022-07-23T19:01:13	Wait a Minute!	WILLOW	QMJMT1500801	0y60itmpH0aPKsFiGxmtnh	3rWZHrfrsPBxVy692yAIxF
2022-07-23T18:57:56	Good Days	SZA	USRC12004189	3YJJjQPAbDT7mGpX3WtQ9A	7tYKF4w9nC0nq9CsPZTHyP
2022-07-23T18:53:17	Sue Me	Sabrina Carpenter	USHR11838862	3WVhkjB7Y4xFruqoCAajBb	74KM79TiuVKeVCqs8QtB0B
2022-07-23T18:50:18	gold rush	Taylor Swift	USUG12004702	5BK0uqwY9DNfZ630STAEaq	06HL4z0CvFAxyc27GXpf02
2022-07-23T18:47:12	Butter - Megan Thee Stallion Remix	BTS, Megan Thee Stallion	QMFME2195608	474VqnPDr0251lsQBB8sQB	3Nrfpe0tUJi4K4DXYWgMUX,181bsRPaVXVlUKXrxwZfHK
2022-07-23T18:41:21	Greek Tragedy - Oliver Nelson TikTok Remix	The Wombats, Oliver Nelson	GBAHT2100017	64rqvMhAPLLEag310IG3z9	0Ya43ZKWHTKkAbkoJJkwIB,4QAp87iZerUP9PKxtLhmW1
2022-07-23T18:36:14	34+35	Ariana Grande	USUM72020423	6Im9k8u9iIzKMrmV7BWtlF	66CXWjxzNUsdJxJ2JdwvnR
2022-07-23T18:33:20	blind	ROLE MODEL	USUM72010617	0NuWgxEp51CutD2pJoF4OM	1dy5WNgIKQU6ezkpZs4y8z
2022-07-23T18:29:31	Love Story (Taylor’s Version)	Taylor Swift	USUG12100342	6YvqWjhGD8mB5QXcbcUKtx	06HL4z0CvFAxyc27GXpf02
2022-07-23T18:25:35	Late Night Talking	Harry Styles	USSM12200610	1qEmFfgcLObUfQm0j1W2CK	6KImCVD70vtIoJWnq6nGn3
2022-07-23T18:22:36	Our Song	Anne-Marie, Niall Horan	GBAHS2100222	3fGW43fnu3OHEw6ohTC2Bw	1zNqDE7qDGCsyzJwohVaoX,1Hsdzj7Dlq2I7tHP7501T4
2022-07-23T18:19:53	Levitating	Dua Lipa	GBAHT1901299	39LLxExYz6ewLAcYrzQQyP	6M2wZ9GZgrQXHCFfjv46we
2022-07-23T18:16:29	nothing else i could do	ella jane	QZ93L2033810	6qtoHId8ZoJ3J5JG6eOqJB	3gBjSrNsYzzbeo0nwsL21J
2022-07-23T18:13:38	pov	Ariana Grande	USUM72020441	3UoULw70kMsiVXxW0L3A33	66CXWjxzNUsdJxJ2JdwvnR
