listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-04T21:02:10	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:31:54	Take It Easy	Imagine Dragons	USUM72205469	6Y2Iom5hrfZyhBRGqcrJdc	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:29:14	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:26:33	Crushed	Imagine Dragons	USUM72205468	6rBsmp96jxTRpFqQEfxAdY	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:23:23	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:20:41	Blur	Imagine Dragons	USUM72205466	5i6V88QD3nt9at4915JISY	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:17:45	I Don't Like Myself	Imagine Dragons	USUM72205465	3soSAbnGLuJeARGmegvMFJ	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:14:40	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:11:29	Symphony	Imagine Dragons	USUM72205463	2ThaHV10xrAcL2WfqXyLnp	53XhwfbYqKCa1cC15pYq2q
2022-07-04T20:08:33	Bones	Imagine Dragons	USUM72201759	54ipXppHLA8U4yqpOFTUhr	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:39:27	Let You Down	NF	USUM71708226	52okn5MNA47tk87PeZJLEL	6fOMl44jA4Sp5b9PpYCkzz
2022-07-04T01:35:54	My Blood	Twenty One Pilots	USAT21810686	5HeKOKc4phmLn8e4I7EkzD	3YQKmKGau1PzlVlkL1iodx
2022-07-04T01:32:04	Demons	Imagine Dragons	USUM71201071	5qaEfEh1AtSdrdrByCP7qR	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:29:07	They Don't Know You Like I Do	Imagine Dragons	USUM72205479	7KGwRAF99Ryell3B2T4DKy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:24:50	Continual (feat. Cory Henry)	Imagine Dragons, Cory Henry	USUM72205478	2EhE42VQTKvn6ok6wtA9U8	53XhwfbYqKCa1cC15pYq2q,21SOnTj5ECwVXeBUTRcP3s
2022-07-04T01:20:59	I Wish	Imagine Dragons	USUM72205477	1X9hG9ChkrwhViamDCZTy9	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:17:32	Younger	Imagine Dragons	USUM72205476	3BprrMTQ3IlFvHW8oFTTQ1	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:14:21	Tied	Imagine Dragons	USUM72205475	35CZvVV7UzYgydaVpNW4Kp	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:10:19	Sirens	Imagine Dragons	USUM72205474	3IkEM7cjZ8FZtmVFq1q03c	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:07:44	Peace Of Mind	Imagine Dragons	USUM72205473	3bwvtkLyVe7YWrKRlViloR	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:04:49	Ferris Wheel	Imagine Dragons	USUM72205472	1qaWM3wK6aZZALpAPVdZ6D	53XhwfbYqKCa1cC15pYq2q
2022-07-04T01:01:26	I'm Happy	Imagine Dragons	USUM72205471	0z2bufPrU83RRPRaboj3B7	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:58:21	Waves	Imagine Dragons	USUM72205470	0YbFEoJi7Esa7lhIrEpBjl	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:54:35	Take It Easy	Imagine Dragons	USUM72205469	6Y2Iom5hrfZyhBRGqcrJdc	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:51:57	Crushed	Imagine Dragons	USUM72205468	6rBsmp96jxTRpFqQEfxAdY	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:48:48	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:46:06	Blur	Imagine Dragons	USUM72205466	5i6V88QD3nt9at4915JISY	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:43:10	I Don't Like Myself	Imagine Dragons	USUM72205465	3soSAbnGLuJeARGmegvMFJ	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:40:05	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:36:54	Symphony	Imagine Dragons	USUM72205463	2ThaHV10xrAcL2WfqXyLnp	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:33:58	Bones	Imagine Dragons	USUM72201759	54ipXppHLA8U4yqpOFTUhr	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:30:25	Demons	Imagine Dragons	USUM71201071	5qaEfEh1AtSdrdrByCP7qR	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:27:27	They Don't Know You Like I Do	Imagine Dragons	USUM72205479	7KGwRAF99Ryell3B2T4DKy	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:23:10	Continual (feat. Cory Henry)	Imagine Dragons, Cory Henry	USUM72205478	2EhE42VQTKvn6ok6wtA9U8	53XhwfbYqKCa1cC15pYq2q,21SOnTj5ECwVXeBUTRcP3s
2022-07-04T00:19:20	I Wish	Imagine Dragons	USUM72205477	1X9hG9ChkrwhViamDCZTy9	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:15:52	Younger	Imagine Dragons	USUM72205476	3BprrMTQ3IlFvHW8oFTTQ1	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:12:41	Tied	Imagine Dragons	USUM72205475	35CZvVV7UzYgydaVpNW4Kp	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:08:39	Sirens	Imagine Dragons	USUM72205474	3IkEM7cjZ8FZtmVFq1q03c	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:06:03	Peace Of Mind	Imagine Dragons	USUM72205473	3bwvtkLyVe7YWrKRlViloR	53XhwfbYqKCa1cC15pYq2q
2022-07-04T00:03:09	Ferris Wheel	Imagine Dragons	USUM72205472	1qaWM3wK6aZZALpAPVdZ6D	53XhwfbYqKCa1cC15pYq2q
2022-07-03T17:03:14	I'm Happy	Imagine Dragons	USUM72205471	0z2bufPrU83RRPRaboj3B7	53XhwfbYqKCa1cC15pYq2q
2022-07-03T17:00:10	Waves	Imagine Dragons	USUM72205470	0YbFEoJi7Esa7lhIrEpBjl	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:56:24	Take It Easy	Imagine Dragons	USUM72205469	6Y2Iom5hrfZyhBRGqcrJdc	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:53:46	Crushed	Imagine Dragons	USUM72205468	6rBsmp96jxTRpFqQEfxAdY	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:50:37	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:47:55	Blur	Imagine Dragons	USUM72205466	5i6V88QD3nt9at4915JISY	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:45:00	I Don't Like Myself	Imagine Dragons	USUM72205465	3soSAbnGLuJeARGmegvMFJ	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:41:54	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:41:05	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:40:55	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:38:36	Symphony	Imagine Dragons	USUM72205463	2ThaHV10xrAcL2WfqXyLnp	53XhwfbYqKCa1cC15pYq2q
2022-07-03T16:35:41	Bones	Imagine Dragons	USUM72201759	54ipXppHLA8U4yqpOFTUhr	53XhwfbYqKCa1cC15pYq2q
2022-07-03T00:05:49	This Is War	Thirty Seconds To Mars	USVI20900430	2D52zjCyqEIQa221lhw6uk	0RqtSIYZmd4fiBKVFqyIqD
2022-07-02T17:12:09	My Blood	Twenty One Pilots	USAT21810686	5HeKOKc4phmLn8e4I7EkzD	3YQKmKGau1PzlVlkL1iodx
2022-07-02T17:08:19	Bones	Imagine Dragons	USUM72201759	0HqZX76SFLDz2aW8aiqi7G	53XhwfbYqKCa1cC15pYq2q
2022-07-02T17:05:34	They Don't Know You Like I Do	Imagine Dragons	USUM72205479	7KGwRAF99Ryell3B2T4DKy	53XhwfbYqKCa1cC15pYq2q
2022-07-02T17:01:16	Continual (feat. Cory Henry)	Imagine Dragons, Cory Henry	USUM72205478	2EhE42VQTKvn6ok6wtA9U8	53XhwfbYqKCa1cC15pYq2q,21SOnTj5ECwVXeBUTRcP3s
2022-07-02T16:57:27	I Wish	Imagine Dragons	USUM72205477	1X9hG9ChkrwhViamDCZTy9	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:53:59	Younger	Imagine Dragons	USUM72205476	3BprrMTQ3IlFvHW8oFTTQ1	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:50:47	Tied	Imagine Dragons	USUM72205475	35CZvVV7UzYgydaVpNW4Kp	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:46:46	Sirens	Imagine Dragons	USUM72205474	3IkEM7cjZ8FZtmVFq1q03c	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:44:10	Peace Of Mind	Imagine Dragons	USUM72205473	3bwvtkLyVe7YWrKRlViloR	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:41:16	Ferris Wheel	Imagine Dragons	USUM72205472	1qaWM3wK6aZZALpAPVdZ6D	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:37:52	I'm Happy	Imagine Dragons	USUM72205471	0z2bufPrU83RRPRaboj3B7	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:34:47	Waves	Imagine Dragons	USUM72205470	0YbFEoJi7Esa7lhIrEpBjl	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:31:01	Take It Easy	Imagine Dragons	USUM72205469	6Y2Iom5hrfZyhBRGqcrJdc	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:28:23	Crushed	Imagine Dragons	USUM72205468	6rBsmp96jxTRpFqQEfxAdY	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:25:14	Higher Ground	Imagine Dragons	USUM72205467	66N0XT7yr2VuFxrMc8piUy	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:22:33	Blur	Imagine Dragons	USUM72205466	5i6V88QD3nt9at4915JISY	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:19:37	I Don't Like Myself	Imagine Dragons	USUM72205465	3soSAbnGLuJeARGmegvMFJ	53XhwfbYqKCa1cC15pYq2q
2022-07-02T16:16:31	Sharks	Imagine Dragons	USUM72205464	7sA2SKTo1QbTSSYn5YvJC4	53XhwfbYqKCa1cC15pYq2q
