listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-09T21:19:50	Impossible	James Arthur	GBHMU1200338	5yVIlYEHZxQVLyInCdldoS	4IWBUUAFIplrNtaOHcJPRM
2022-05-08T12:54:23	Shut Up and Dance	WALK THE MOON	USRC11401949	4kbj5MwxO1bq9wjT5g9HaA	6DIS6PRrLS3wbnZsf7vYic
2022-05-08T12:52:17	Spirits	The Strumbellas	CA6MD1500001	6yDXmurL5FA9Rjn94cRp2g	6ujr1NkqbZpYOhquczUUfl
2022-05-08T12:47:08	Reality	Lost Frequencies, Janieck	NLF711502765	1Mys1gf9SkMBAVGGxpkJ7d	7f5Zgnp2spUuuzKplmRkt7,1bZDq4po4dMIpN74Zendm0
2022-05-08T12:44:29	Shut Up and Dance	WALK THE MOON	USRC11401949	4kbj5MwxO1bq9wjT5g9HaA	6DIS6PRrLS3wbnZsf7vYic
2022-05-08T12:39:21	Living On My Own - No More Brothers Radio Mix	Freddie Mercury, Serge Ramaekers, Carl Ward, Colin Peter	GBUM71107006	06yKyyDsxcGICRoLyafHtW	4M1FpEWs2PeYfJe7xxJfhH,7aIIdJYBBYHUWotpZSggUk,4y5wqoJUmlvr9xV6l5lO4b,2Zq5OUwXVGPIPw6aBrVIFq
2022-05-08T12:35:44	Slow Hands	Niall Horan	USUG11700631	2cOUlop2ZakjOKe4WinesN	1Hsdzj7Dlq2I7tHP7501T4
2022-05-08T12:31:01	Sopra	Gazzelle	ITIWE1800060	3Cbaa4ZmODhKEGSkMsbkOO	7KFOc3T4Xo8DVZt4PWw2qN
2022-05-08T12:27:19	Fuori noi (feat. Gazzelle)	Zero Assoluto, Gazzelle	ITSXH2000009	2vacw8sjzUg9k6nK4fFkDR	3bf7Y2it29DeOjXpIibCOe,7KFOc3T4Xo8DVZt4PWw2qN
2022-05-08T12:23:46	thank u, next	Ariana Grande	USUM71819361	3e9HZxeyfWwjeyPAMmWSSQ	66CXWjxzNUsdJxJ2JdwvnR
2022-05-08T12:19:54	When I Was Your Man	Bruno Mars	USAT21206701	0nJW01T7XtvILxQgC5J7Wh	0du5cEVh5yTK9QJze8zA0C
2022-05-08T12:16:22	Brividi	Mahmood, BLANCO	ITUM72200040	1ZMGp9MTXbtAPvcKa0U3zS	06nvjg4wBANK6DCHjqtPNd,1MRiIeZbc0cRuxOafDUCtH
2022-05-08T12:13:03	Qué Pena	Maluma, J Balvin	USSD11900171	5099x34vBakWpGkHourFxP	1r4hJ1h58CWwUQe3MxPuau,1vyhD5VmyZ7KMfW5gqLgo5
2022-05-08T12:08:15	So Am I	Ava Max	USAT21900569	2Xnv3GntqbBH1juvUYSpHG	4npEfmQ6YuiwW1GpUmaq3F
2022-05-03T18:38:57	Change My Mind	One Direction	GBHMU1200367	23eQyAz9tzvrKsG0kAnrja	4AK6F7OLvEQ5QYCBNiQWHq
