listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-28T03:31:24	Wake Me up When September Ends	Green Day	USRE10400992	3ZffCQKLFLUvYM59XKLbVm	7oPftvlwr6VrsViSDV7fJY
2022-05-28T03:27:27	A Sky Full of Stars	Coldplay	GBAYE1400217	0FDzzruyVECATHXKHFs9eJ	4gzpq5DPGxSnKTe4SA8HAU
2022-05-28T03:22:59	Here Without You	Boyce Avenue	USM951100031	3Fwdij9seLaCGs4yOCQcJM	7CQwac16i1W5ej8YpuL3dv
2022-05-27T23:50:50	Wolves (with NAV)	Pop Smoke, NAV	USUM72003037	1dnsojUNfvhiztcITLzruj	0eDvMgVFoNV3TpwtrVCoTj,7rkW85dBwwrJtlHRDkJDAC
2022-05-27T23:47:35	Element	Pop Smoke	USUM72002041	57BGVV6wcyhbn3hsjlqEZB	0eDvMgVFoNV3TpwtrVCoTj
2022-05-27T02:13:38	Here Without You	Boyce Avenue	USM951100031	3Fwdij9seLaCGs4yOCQcJM	7CQwac16i1W5ej8YpuL3dv
2022-05-27T02:12:36	Love Yourself	Justin Bieber	USUM71516761	50kpGaPAhYJ3sGmk6vplg0	1uNFoZAHBGtllmzznpCI3s
2022-05-27T02:08:42	S2	Bispo	PTBM12000081	5ST37xjKMW3WL0a723EN1b	3LZCMaZWwvhYyQeEfWgVdY
2022-05-27T02:06:08	Bad Liar	Imagine Dragons	USUM71816161	2RSHsoi04658QL5xgQVov3	53XhwfbYqKCa1cC15pYq2q
2022-05-27T02:01:47	Diz-Me Que Sim	4Taste	PTFA10800726	2K7rnJCn30fS39C4eakuWe	0qrfmTq2F6RkLpMs7ulwiK
2022-05-27T01:59:05	Jealous	Labrinth	GBHMU1400291	4G92yYrUs0cvY7G41YRI0z	2feDdbD5araYcm6JhFHHw7
2022-05-27T01:54:17	Dá-me Um Abraço	Miguel Gameiro	PTIP11000011	324M4IuiOPMsseUtBHLLoR	3c36Iqp2Pd26nnJtkmDBd3
2022-05-27T01:50:12	How to Save a Life	The Fray	USSM10601178	5fVZC9GiM4e8vu99W0Xf6J	0zOcE3mg9nS6l3yxt1Y0bK
2022-05-27T01:45:48	Because of You	Kelly Clarkson	GBCTA0400265	0gJvqi9QyASOCtJu99tytc	3BmGtnKgCSGYIUhmivXKWX
2022-05-27T01:42:08	Love Me Like You Do	Boyce Avenue	USM951500004	5LHruF9uFyPxGpimaknrU8	7CQwac16i1W5ej8YpuL3dv
2022-05-27T01:38:49	Rewrite The Stars (with James Arthur & Anne-Marie)	James Arthur, Anne-Marie	USAT21811554	6mQLN3zRtAp6ovjusyYKrV	4IWBUUAFIplrNtaOHcJPRM,1zNqDE7qDGCsyzJwohVaoX
2022-05-27T01:29:08	Shallow	Lady Gaga, Bradley Cooper	USUM71813192	2VxeLyX666F8uXCJ0dZF8B	1HY2Jd0NmPuamShAr6KMms,4VIvfOurcf0vuLRxLkGnIG
2022-05-27T01:23:45	Before You Go	Lewis Capaldi	DEUM71905868	2gMXnyrvIjhVBUZwvLZDMP	4GNC7GD6oZMSxPGyXy4MNB
2022-05-27T00:57:40	Before You Go	Lewis Capaldi	DEUM71905868	2gMXnyrvIjhVBUZwvLZDMP	4GNC7GD6oZMSxPGyXy4MNB
2022-05-27T00:54:05	Trap Queen	Fetty Wap	QM7XC1400004	0TzxcB6dK46vgXZT2P8qeR	6PXS4YHDkKvl1wkIl4V8DL
2022-05-27T00:50:23	Blinding Lights	The Weeknd	USUG11904206	0VjIjW4GlUZAMYd2vXMi3b	1Xyo4u8uXC1ZmMpatF05PJ
2022-05-26T15:53:37	Não Tens Visto	Wet Bed Gang	ES71G1730552	3WzINtpiKu6mwJu8ax7EdC	5jfz7uWPwf03hdEewW8AI8
2022-05-23T22:52:21	Meu Ego	Deejay Telio, Deedz B	ES71G1875730	4g7pN0tzE26Hv4HM3UTwfO	7BWNRZyZ9mhgp5t0m7Ny0n,3uFX3kMxtOUFMDaJoFPJwo
2022-05-23T15:30:06	Yea Yea	Pop Smoke	USUM72002027	0bjgQ24UZGwKikldIyEOgf	0eDvMgVFoNV3TpwtrVCoTj
