listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-28T00:34:17	ACORDA PEDRINHO	Jovem Dionisio	BCDJT2200002	2sUhjzuc6w4SRFwoC3LvXZ	4m5LghDfOKFZNEBZ0GO1OQ
2022-05-28T00:19:49	Irresponsável	Wet Bed Gang	ES71G1927904	1AgqELuodwiIUbJhXM74Jx	5jfz7uWPwf03hdEewW8AI8
2022-05-28T00:09:46	Waves - Robin Schulz Radio Edit	Mr. Probz, Robin Schulz	NLB8R1400002	1HFfMOxCAT4GAwaPfCdmUs	33W1pnW9zScZtYTnAoWnOT,3t5xRXzsuZmMDkQzgOX35S
2022-05-28T00:06:04	2step	Ed Sheeran	GBAHS2100677	2SUxn2O9NHL6GHGQFgwCY0	6eUKZXaKkcviH0Ku9w2n3V
2022-05-28T00:00:26	Wandered To LA (with Justin Bieber)	Juice WRLD, Justin Bieber	USUG12105746	2DQayQSTaomynGyTLXzGs0	4MCBfE4596Uoi2O4DtmEMz,1uNFoZAHBGtllmzznpCI3s
2022-05-27T23:53:27	ACORDA PEDRINHO	Jovem Dionisio	BCDJT2200002	2sUhjzuc6w4SRFwoC3LvXZ	4m5LghDfOKFZNEBZ0GO1OQ
2022-05-27T23:48:44	Tempo	FRANKIEONTHEGUITAR, T-Rex, LON3R JOHNY, Bispo	PT9GN2000003	19gFXFDAFUdsuaiAorKEbr	4p2ytjUztJseG5ujVkv5Po,6QHREBOQktWsYBfrxW93rk,1fV7Au7ymGP3uhDV1TfjSd,3LZCMaZWwvhYyQeEfWgVdY
2022-05-27T23:35:19	THATS WHAT I WANT	Lil Nas X	USSM12105732	0e8nrvls4Qqv5Rfa2UhqmO	7jVv8c5Fj3E9VhNjxT4snq
2022-05-27T23:32:54	Borboletas	Gama WNTD	GBLFP2116211	1h1JMmAzXR6lWJ7KnJQkU7	0T49oz78JYl4FkVJPGlJiD
2022-05-27T23:29:13	Let Her Go	Passenger	GBMQN1100004	7DFNE7NO0raLIUbgzY2rzm	0gadJ2b9A4SKsB1RFkBb66
2022-05-27T23:24:59	U Are My High	DJ Snake	USUG12103122	3S7A85bAWOd6ltk6r2ANOI	540vIaP2JwjQb9dm3aArA4
2022-05-27T23:16:02	Shivers	Ed Sheeran	GBAHS2100671	50nfwKoDiSYg8zOCREWAm5	6eUKZXaKkcviH0Ku9w2n3V
2022-05-27T23:12:28	Heroes Tonight	Janji, Johnning	GB2LD0902006	5fOjFkFA0k5MTOo1LmnVTO	5VXPJC0PNpJbzB10A39G8E,1yPdXrLhRc50YbwiwCr1uN
2022-05-27T23:08:50	...And to Those I Love, Thanks for Sticking Around	$uicideboy$	QZAPK1900020	30QR0ndUdiiMQMA9g1PGCm	1VPmR4DJC1PlOtd0IADAO0
2022-05-27T23:05:58	Phoenix	League of Legends, Cailin Russo, Chrissy Costanza	NLRD51859891	6zAiRKvAMlXHxEtyO4yxIO	47mIJdHORyRerp4os813jD,2org0PubBAxTvjVvLo9PJ0,2zmjYl582zO64LcLQtOEuv
2022-05-27T23:02:40	Hate The Other Side (with Marshmello & The Kid Laroi)	Juice WRLD, Marshmello, The Kid LAROI, Polo G	USUG12002092	0ada5XsQGLPUVbmTCkAP49	4MCBfE4596Uoi2O4DtmEMz,64KEffDW9EtZ1y2vBYgq8T,2tIP7SsRs7vjIcLrU85W8J,6AgTAQt8XS6jRWi4sX7w49
2022-05-27T23:00:00	Romance de Cinema	Domingues	PT4IJ2000011	0WmSoWksyfhCME62WhkP2U	7BcPoZhXI08icbiq1mpxFx
2022-05-27T22:55:57	Won't Go Home Without You	Maroon 5	USUM70731562	6WEBwvsmpaoGxka0tSh5a7	04gDigrS5kc9YWfZHwBETP
